62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
42917,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45,27.5,17.5,61.11%,,8.5,1,4.5,13.5,5,4.5,1.5,6.5
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,76,62,14,81.58%,,21,6,8,27,2,3.5,1,7.5
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,88.5,72,16.5,81.36%,,15,17.5,14.5,25,5.5,3,1.5,6.5
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25,16.5,8.5,66.00%,,5,3,3.5,5,0,1,2.5,5
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27.5,22,5.5,80.00%,,2,2,6.5,11.5,2,1.5,1,1
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46,31,15,67.39%,,4.5,6,15,5.5,3.5,3,3,5.5
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38.5,34,4.5,88.31%,,7.5,8,8.5,10,4,0,0,0.5
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,53,38,15,71.70%,,5.5,5,10,17.5,2.5,5.5,4,3
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38.5,31,7.5,80.52%,,7,0,9,15,3,3,0,1.5
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,89.5,79,10.5,88.27%,,27,10.5,13.5,28,3.5,4.5,2,0.5
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,39,34.5,4.5,88.46%,,12,2.5,5,15,1,2,0.5,1
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,29.5,24.5,5,83.05%,,6,5.5,5.5,7.5,2,2,0,1
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,93,68.5,24.5,73.66%,,9.5,11,22,26,4.5,10,4.5,5.5
,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39.5,33.5,6,84.81%,,8,7.5,10.5,7.5,1,1.5,2,1.5
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34.5,21.5,13,62.32%,,7,2,4,8.5,3,5.5,0,4.5
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,70.5,45,25.5,63.83%,,12.5,7.5,10,15,8,3,5.5,9
,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,6.5,6.5,0,100.00%,,2.5,1,3,0,0,0,0,0
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,127,91.5,35.5,72.05%,,27.5,17,19.5,27.5,9,9.5,5.5,11.5
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,66,59,7,89.39%,,11.5,15,13.5,19,1,3.5,0.5,2
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,86,61,25,70.93%,,21.5,11.5,12,16,7.5,8,2,7.5
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,29.5,25.5,4,86.44%,,8,6.5,6,5,2,0.5,0.5,1
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,7,5.5,1.5,78.57%,,1,0.5,2,2,0.5,0.5,0.5,0
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34.5,29,5.5,84.06%,,2,5,8.5,13.5,1.5,3,1,0
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,15,9.5,5.5,63.33%,,1,1.5,3.5,3.5,2,1,0.5,2
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,95,68.5,26.5,72.11%,,14,8.5,17.5,28.5,9.5,4,5,8
,RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0,0,0,0
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44,34,10,77.27%,,8.5,5.5,9,11,5,1,3,1
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,102.5,65,37.5,63.41%,,11.5,7.5,11.5,34.5,6,12.5,8,11
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,74.5,69,5.5,92.62%,,29,9,12.5,18.5,0.5,2,0.5,2.5
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28,21,7,75.00%,,4.5,3,2.5,11,3,1.5,2,0.5
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,127,106.5,20.5,83.86%,,28,12,24.5,42,3.5,10,4.5,2.5
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,16.5,14,2.5,84.85%,,3.5,3.5,2,5,2,0.5,0,0
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,122.5,88.5,34,72.24%,,19.5,13,16.5,39.5,10,9.5,6.5,8
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,55,46,9,83.64%,,9.5,4,13,19.5,2.5,2,2,2.5
,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,63,44.5,18.5,70.63%,,8,13,9,14.5,7.5,2,4,5
,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,17,10.5,6.5,61.76%,,2.5,1,3,4,2.5,1,2,1
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35,31,4,88.57%,,10,5,4,12,2,0.5,1.5,0
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46.5,41,5.5,88.17%,,12.5,4,5.5,19,3.5,0,1,1
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,83,68.5,14.5,82.53%,,30,8.5,10,20,2.5,6,3,3
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29,27,2,93.10%,,16,3,4,4,1,1,0,0
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,72.5,58.5,14,80.69%,,15.5,13.5,11,18.5,7,1,4,2
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,137.5,110.5,27,80.36%,,19.5,15,26.5,49.5,9,7,8.5,2.5
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,ADMITTED,ALL CANCERS,53,37.5,15.5,70.75%,,12,4,8,13.5,7,3.5,2,3
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,7.5,7.5,0,100.00%,,0,0.5,5,2,0,0,0,0
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,9.5,9,0.5,94.74%,,1,0,0,8,0,0,0.5,0
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,57,44,13,77.19%,,12,6.5,9,16.5,2.5,4,2,4.5
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39.5,35,4.5,88.61%,,8,3.5,10.5,13,0.5,1.5,2,0.5
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,61,43,18,70.49%,,2.5,5.5,7.5,27.5,3.5,3.5,2.5,8.5
,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44,32.5,11.5,73.86%,,8.5,4,7.5,12.5,1.5,3.5,0.5,6
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34,32.5,1.5,95.59%,,11,4.5,10,7,0,1.5,0,0
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,76.5,52,24.5,67.97%,,7,11.5,16.5,17,10,7,2,5.5
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,68.5,57,11.5,83.21%,,15,7.5,14,20.5,3,5,1.5,2
,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42,40.5,1.5,96.43%,,23,5,5,7.5,0.5,0.5,0,0.5
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,137,118,19,86.13%,,50,12,23,33,7,2,5.5,4.5
,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,88,76,12,86.36%,,23.5,13.5,20.5,18.5,4,2.5,4,1.5
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,55.5,46.5,9,83.78%,,20,6,6,14.5,2.5,1.5,3,2
,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0,0.5,0,0,0,0
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,10.5,6.5,4,61.90%,,2.5,2.5,0.5,1,1,2.5,0,0.5
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47,39,8,82.98%,,11,6,11,11,0,1.5,3,3.5
,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,77,63.5,13.5,82.47%,,13,10,16,24.5,6,4.5,1,2
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,45.5,34.5,11,75.82%,,8.5,3,5.5,17.5,5,4,0.5,1.5
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,23,21.5,1.5,93.48%,,10.5,5.5,3.5,2,0.5,0,1,0
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43,34,9,79.07%,,6.5,2.5,8.5,16.5,1,2.5,1,4.5
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42.5,33.5,9,78.82%,,3.5,5.5,7,17.5,3,3.5,2,0.5
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,119.5,90,29.5,75.31%,,20,10.5,19.5,40,8,12,3,6.5
,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,119.5,103.5,16,86.61%,,47,9.5,15,32,7,4,3,2
,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1.5,1.5,0,100.00%,,0,0,0.5,1,0,0,0,0
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,68.5,55.5,13,81.02%,,11,7.5,11,26,5.5,1,1,5.5
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,91,72.5,18.5,79.67%,,32,10,18.5,12,3.5,1.5,6,7.5
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56,50.5,5.5,90.18%,,22.5,3,11.5,13.5,3,0,0,2.5
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,98,74,24,75.51%,,16,8.5,12.5,37,7,5,5.5,6.5
,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,20,16.5,3.5,82.50%,,9.5,0.5,1.5,5,2.5,1,0,0
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48,38.5,9.5,80.21%,,12,6,2,18.5,1.5,3,1.5,3.5
,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,5.5,3.5,2,63.64%,,0,0.5,1,2,0.5,0.5,0,1
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,95,85.5,9.5,90.00%,,45,12,4.5,24,4,1,2.5,2
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,118.5,103.5,15,87.34%,,57,21.5,12,13,6,7,0,2
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,104,80,24,76.92%,,22,16.5,14.5,27,5,7,6.5,5.5
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,25.5,22.5,3,88.24%,,5.5,0,5,12,0.5,0.5,0,2
,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,7,5.5,1.5,78.57%,,0,0.5,3,2,0,1,0,0.5
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35.5,28,7.5,78.87%,,10,0.5,8,9.5,1.5,3,1,2
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38.5,32,6.5,83.12%,,4,7,6,15,4,2,0,0.5
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23.5,19.5,4,82.98%,,2.5,2,5.5,9.5,0.5,1.5,0.5,1.5
,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38.5,34,4.5,88.31%,,11.5,10,6,6.5,1,0.5,1,2
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,46,39,7,84.78%,,11,8,3.5,16.5,0.5,2,3,1.5
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,110.5,85,25.5,76.92%,,25.5,13,11,35.5,8.5,9.5,3,4.5
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47,36.5,10.5,77.66%,,12,7.5,8,9,2,3,3.5,2
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,68.5,60,8.5,87.59%,,7.5,7.5,8,37,2.5,1,1,4
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,89,72.5,16.5,81.46%,,18,10,13,31.5,8.5,1.5,4.5,2
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,10.5,9,1.5,85.71%,,1.5,1.5,2.5,3.5,0,0,1,0.5
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23.5,20,3.5,85.11%,,4.5,1,8,6.5,0.5,0.5,0.5,2
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43.5,34.5,9,79.31%,,9.5,3,7,15,1.5,2.5,2,3
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,22.5,18,4.5,80.00%,,6.5,1.5,2.5,7.5,2,1,0.5,1
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46.5,33,13.5,70.97%,,5.5,2.5,11.5,13.5,5,6.5,0.5,1.5
,RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,50.5,44,6.5,87.13%,,15,2.5,12.5,14,2.5,1,1,2
,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,21.5,19.5,2,90.70%,,4,5.5,4.5,5.5,0,0,0.5,1.5
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,65.5,57,8.5,87.02%,,17,13.5,8,18.5,4.5,1.5,1.5,1
,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,21,19,2,90.48%,,6,4.5,0.5,8,0,1.5,0,0.5
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40,32.5,7.5,81.25%,,5.5,6,8,13,3,3,1.5,0
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,17.5,13,4.5,74.29%,,0.5,1,4,7.5,0.5,1.5,1,1.5
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,0,0,0,1,0,0,0,0
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,57.5,43,14.5,74.78%,,10,8,10,15,2,4.5,3,5
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28,27.5,0.5,98.21%,,10,7.5,6,4,0.5,0,0,0
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,112,89.5,22.5,79.91%,,26.5,14.5,22,26.5,4,7.5,6.5,4.5
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,27.5,22.5,5,81.82%,,5,2,6,9.5,2,1.5,0,1.5
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,23.5,18,5.5,76.60%,,6.5,2,6,3.5,2,1,2,0.5
,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1.5,1.5,0,100.00%,,0,1,0.5,0,0,0,0,0
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,28.5,4.5,86.36%,,9.5,3.5,7.5,8,2.5,1.5,0,0.5
,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,69.5,57.5,12,82.73%,,20,7,18.5,12,4,4.5,2,1.5
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,50,40,10,80.00%,,5.5,8,12,14.5,4,4,0.5,1.5
,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,3,1.5,1.5,50.00%,,0,0,0,1.5,0,0,0,1.5
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,ALL CANCERS,54.5,40.5,14,74.31%,,7.5,6,9,18,2.5,3,2,6.5
,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0,0,0,0
,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,24.5,21,3.5,85.71%,,9,1,6,5,1.5,1,0,1
,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44.5,38,6.5,85.39%,,8,7,10.5,12.5,1.5,1.5,1,2.5
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,65.5,43,22.5,65.65%,,10,7,9,17,7.5,6,2,7
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,60.5,38,22.5,62.81%,,8.5,2.5,8,19,3.5,8,3,8
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,61.5,54,7.5,87.80%,,8.5,6,17.5,22,1,4,2,0.5
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,65.5,52.5,13,80.15%,,21.5,4.5,7,19.5,4.5,4,1.5,3
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52,31.5,20.5,60.58%,,6,4,13,8.5,4,8,2.5,6
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,77.5,57,20.5,73.55%,,13.5,8.5,16,19,10.5,1.5,2.5,6
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,ALL CANCERS,50.5,39.5,11,78.22%,,8.5,5.5,8.5,17,2.5,1,2.5,5
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,ALL CANCERS,110,90,20,81.82%,,26,10,29.5,24.5,6,7,2.5,4.5
,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37.5,33,4.5,88.00%,,10,6.5,5,11.5,4,0,0.5,0
