62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: March 2017,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,68,59,9,86.76%,,24.5,4.5,7.5,22.5,4,1.5,1.5,2
,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23.5,22.5,1,95.74%,,9.5,2.5,6,4.5,0.5,0,0.5,0
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46,42,4,91.30%,,12.5,1,4.5,24,2.5,0.5,0.5,0.5
,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0,0.5,0,0,0,0
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,84.5,67,17.5,79.29%,,23,6.5,16.5,21,4.5,5.5,1.5,6
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,66.5,58,8.5,87.22%,,20,10,15.5,12.5,3,3,1,1.5
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33.5,25.5,8,76.12%,,7,4,7,7.5,3,4,1,0
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56,48.5,7.5,86.61%,,19,6.5,8,15,1,1.5,2.5,2.5
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,63,49.5,13.5,78.57%,,10,9,7.5,23,3,5.5,2,3
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,28.5,10.5,73.08%,,8,5,4.5,11,1.5,0.5,0.5,8
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28.5,25.5,3,89.47%,,4,4.5,5.5,11.5,2,0,0,1
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44,35,9,79.55%,,6.5,4.5,7.5,16.5,2,2,1,4
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,63.5,49.5,14,77.95%,,19.5,7.5,6.5,16,4.5,3,1,5.5
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,81.5,57.5,24,70.55%,,20,13.5,9,15,8.5,7,2,6.5
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36,34,2,94.44%,,8,6,6,14,0,0,0,2
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,79,70,9,88.61%,,24,16,11,19,2.5,1,3,2.5
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,37,34,3,91.89%,,8,5.5,6,14.5,0.5,2,0.5,0
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,30,26,4,86.67%,,5,6.5,5,9.5,0.5,0.5,1,2
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,106.5,77.5,29,72.77%,,22,10,12.5,33,8.5,6.5,7,7
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31,25.5,5.5,82.26%,,8,5,4,8.5,1,1,2,1.5
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36.5,32.5,4,89.04%,,8,5,7,12.5,0,3,0.5,0.5
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,46,37,9,80.43%,,6.5,8,8,14.5,0.5,3,3,2.5
,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,19,16.5,2.5,86.84%,,7,0.5,3.5,5.5,1.5,1,0,0
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,149.5,117,32.5,78.26%,,31,15,29,42,9.5,5.5,6,11.5
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,63,52.5,10.5,83.33%,,14.5,9.5,10.5,18,2,4.5,3,1
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,83.5,63,20.5,75.45%,,33,7,8,15,8,1.5,5,6
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,33.5,29.5,4,88.06%,,7,5.5,5.5,11.5,2.5,1.5,0,0
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,94.5,88.5,6,93.65%,,38,8.5,21,21,1,1,2,2
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,51,41.5,9.5,81.37%,,10.5,6.5,6.5,18,3.5,1,2,3
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,22,18.5,3.5,84.09%,,5,2,5.5,6,0,0,1,2.5
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,87.5,61.5,26,70.29%,,10,11.5,14,26,7.5,5,5.5,8
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40,35.5,4.5,88.75%,,7,2,11,15.5,0.5,2.5,1,0.5
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,74,48,26,64.86%,,10,1.5,9,27.5,7.5,8,7,3.5
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,68,59,9,86.76%,,24,12,10,13,4,2,0.5,2.5
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,30,3,90.91%,,7,6,8,9,2,0.5,0,0.5
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,111.5,100,11.5,89.69%,,14,18.5,33.5,34,4,3,2,2.5
,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ADMITTED,ALL CANCERS,20,15.5,4.5,77.50%,,3,4,4.5,4,2.5,0.5,0,1.5
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,9.5,7.5,2,78.95%,,3,0,1,3.5,0.5,1,0.5,0
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,100.5,77,23.5,76.62%,,19,7,13,38,5.5,8,4,6
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,63.5,51.5,12,81.10%,,5.5,7.5,16,22.5,4,3,2.5,2.5
,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,57.5,44.5,13,77.39%,,13,11,6,14.5,6,3.5,1.5,2
,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,10,8,2,80.00%,,1,2,3,2,1.5,0,0,0.5
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32,28.5,3.5,89.06%,,10,2,5.5,11,0.5,0,1,2
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39.5,35.5,4,89.87%,,13,3,7,12.5,1,1.5,1.5,0
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,75,61.5,13.5,82.00%,,15.5,12.5,12,21.5,5.5,4.5,1.5,2
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22,19.5,2.5,88.64%,,10,2,2.5,5,0,1.5,0,1
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,87.5,74,13.5,84.57%,,19,15,16.5,23.5,4.5,4,3.5,1.5
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,131.5,102.5,29,77.95%,,22.5,19.5,22.5,38,10,6.5,5,7.5
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,ADMITTED,ALL CANCERS,56.5,44.5,12,78.76%,,13.5,6.5,8.5,16,3.5,3.5,5,0
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,6.5,5,1.5,76.92%,,1,0,2.5,1.5,0,0,0.5,1
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,10.5,8.5,2,80.95%,,0,0,1,7.5,0,0,1.5,0.5
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,56,41.5,14.5,74.11%,,15,1,10.5,15,2.5,1.5,4.5,6
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36.5,31,5.5,84.93%,,6.5,7,8,9.5,0.5,2.5,0,2.5
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,65,47.5,17.5,73.08%,,4,6.5,10,27,6,3.5,1.5,6.5
,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41,26.5,14.5,64.63%,,8,2,8.5,8,4.5,1.5,1.5,7
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27,26,1,96.30%,,10.5,2,8.5,5,1,0,0,0
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,85,65,20,76.47%,,16,14,16,19,8.5,3,6,2.5
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,79,66.5,12.5,84.18%,,16,10,17.5,23,5,1,3.5,3
,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30,25.5,4.5,85.00%,,6,1,13,5.5,2.5,0,1,1
,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,0,0,0,1,0,0,0,0
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,119,89.5,29.5,75.21%,,28,12,19,30.5,11.5,5.5,3,9.5
,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,108.5,99,9.5,91.24%,,32.5,17,18,31.5,1,1,3.5,4
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,64,54.5,9.5,85.16%,,19.5,9,12,14,7,2.5,0,0
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,24.5,21.5,3,87.76%,,3,3.5,6.5,8.5,0.5,0,1,1.5
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56.5,51.5,5,91.15%,,13,12,12.5,14,2,1.5,0,1.5
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,45,35,10,77.78%,,5.5,5,10.5,14,1,2.5,3,3.5
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,33.5,32.5,1,97.01%,,17,6,7.5,2,0.5,0,0,0.5
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47.5,38.5,9,81.05%,,11,5,4,18.5,1,3.5,3,1.5
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,51,42.5,8.5,83.33%,,8,4.5,14,16,2,3.5,2,1
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,112,79.5,32.5,70.98%,,16.5,12,18,33,11,7,6.5,8
,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,150,127.5,22.5,85.00%,,55.5,9,28,35,6.5,3.5,8,4.5
,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,5,4,1,80.00%,,0.5,0,0,3.5,0,0.5,0,0.5
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,71,52,19,73.24%,,14.5,7.5,13,17,6.5,5,3.5,4
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,62,57,5,91.94%,,15,4.5,14,23.5,3,0.5,1,0.5
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,102.5,79,23.5,77.07%,,33,7.5,13,25.5,5.5,4,6.5,7.5
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,58,50.5,7.5,87.07%,,27.5,7.5,7.5,8,3,2,2,0.5
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,85.5,73.5,12,85.96%,,15.5,8,11.5,38.5,6.5,1,1.5,3
,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25.5,20.5,5,80.39%,,9,2,3,6.5,3,0,1,1
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,61.5,55.5,6,90.24%,,9.5,9.5,12,24.5,2,2,1,1
,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,6.5,3,3.5,46.15%,,0.5,0,1,1.5,1.5,1.5,0,0.5
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,90.5,83,7.5,91.71%,,54,7,7,15,1.5,1,2,3
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,123,110.5,12.5,89.84%,,47,23.5,16,24,5,4,2,1.5
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,94,74,20,78.72%,,21.5,7.5,9,36,6.5,2.5,5.5,5.5
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,30,26.5,3.5,88.33%,,8,3,9,6.5,1.5,1,0,1
,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,5,4,1,80.00%,,0,0,2,2,0.5,0,0,0.5
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39.5,29.5,10,74.68%,,10.5,5,5.5,8.5,1,3.5,1,4.5
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44.5,38.5,6,86.52%,,8,7,13,10.5,3.5,1.5,1,0
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28.5,25.5,3,89.47%,,5,2,6.5,12,1,0.5,1,0.5
,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41.5,34.5,7,83.13%,,7.5,8.5,10,8.5,4,2,0.5,0.5
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,68,60.5,7.5,88.97%,,10,10.5,11,29,1.5,0,1,5
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,111,93.5,17.5,84.23%,,17,14.5,25.5,36.5,6.5,3,4.5,3.5
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,53.5,50,3.5,93.46%,,16,14.5,8,11.5,1,1.5,0,1
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,81,71,10,87.65%,,19,16,11,25,3,4,0.5,2.5
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,103,87,16,84.47%,,16,14,24.5,32.5,6.5,3,1.5,5
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,14.5,14.5,0,100.00%,,5,2,3,4.5,0,0,0,0
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,26,7,78.79%,,9,0.5,11,5.5,1.5,2.5,2,1
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48,34,14,70.83%,,8.5,8,7.5,10,5.5,2.5,0.5,5.5
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,23,18,5,78.26%,,6,1,4,7,1,3,1,0
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46,39,7,84.78%,,11.5,6,7.5,14,1.5,1,0.5,4
,RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,52,50,2,96.15%,,17,5.5,13,14.5,1.5,0,0.5,0
,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,31,2,93.94%,,6.5,5.5,5.5,13.5,1.5,0.5,0,0
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,59.5,53,6.5,89.08%,,20,13,13,7,0,2.5,0.5,3.5
,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,12,11.5,0.5,95.83%,,0.5,2.5,3,5.5,0,0,0,0.5
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,53.5,45,8.5,84.11%,,11.5,11.5,13.5,8.5,3.5,1,1.5,2.5
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,17,11.5,5.5,67.65%,,0.5,1.5,1.5,8,2,1,1.5,1
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0.5,0,0,0,0,0
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,55,48,7,87.27%,,10,6,7,25,1,1,1.5,3.5
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,21,20,1,95.24%,,5,3.5,4,7.5,0,0.5,0,0.5
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,114.5,98.5,16,86.03%,,22.5,8.5,28,39.5,8,4.5,1.5,2
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,29.5,27.5,2,93.22%,,9,3.5,8.5,6.5,0,0,1,1
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,31,24,7,77.42%,,7,5,4,8,1.5,4,0.5,1
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35,31,4,88.57%,,16,3,4.5,7.5,1,0.5,0,2.5
,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,62,53.5,8.5,86.29%,,30.5,4.5,3.5,15,2,3.5,2.5,0.5
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43.5,36.5,7,83.91%,,5,10,8,13.5,2,2,1,2
,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1.5,1.5,0,100.00%,,0,0.5,0,1,0,0,0,0
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,ALL CANCERS,67.5,54,13.5,80.00%,,13.5,6,10.5,24,5,3,2,3.5
,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,15.5,15,0.5,96.77%,,8,1,1,5,0,0,0.5,0
,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49,42,7,85.71%,,9,7,12,14,2,1,2.5,1.5
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,81.5,59.5,22,73.01%,,8,8,19.5,24,7.5,8,4,2.5
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,72,45.5,26.5,63.19%,,10,4.5,7,24,6.5,5.5,5,9.5
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,64.5,54.5,10,84.50%,,9,7.5,17,21,2,3.5,3,1.5
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,85,59.5,25.5,70.00%,,16.5,4.5,14.5,24,10,3.5,4.5,7.5
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,61,42,19,68.85%,,11.5,3,8,19.5,2,7.5,4,5.5
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,85.5,71,14.5,83.04%,,31.5,9.5,12,18,5.5,1.5,2.5,5
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,ALL CANCERS,57,38,19,66.67%,,4,2.5,9.5,22,8.5,2,3,5.5
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,ALL CANCERS,111,90,21,81.08%,,16,6,28.5,39.5,11,4.5,1,4.5
,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41,36.5,4.5,89.02%,,10,2,6.5,18,0,2,1,1.5
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ADMITTED,ALL CANCERS,114.5,79.5,35,69.43%,,15,6,20,38.5,9,7,6,13
,RBK,WALSALL HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,31,27,4,87.10%,,6,2.5,5.5,13,0,1,3,0
,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25.5,19,6.5,74.51%,,6,2,5,6,3,0,1.5,2
,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,37.5,33.5,4,89.33%,,9,6.5,7,11,2,1,0,1
,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52.5,43,9.5,81.90%,,8.5,7.5,13.5,13.5,5,2,0.5,2
