62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: March 2016,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,35,28,7,80.00%,,10,2,5.5,10.5,1.5,3,1,1.5
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,63,60.5,2.5,96.03%,,16.5,10,20,14,1,0,0.5,1
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,50.5,43,7.5,85.15%,,12,7,11.5,12.5,2.5,2.5,0,2.5
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,35,24,11,68.57%,,6.5,5,4,8.5,4.5,4,0,2.5
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,70.5,53.5,17,75.89%,,10,11,13.5,19,5,1.5,4,6.5
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40,35.5,4.5,88.75%,,11,6,12.5,6,2,0,2,0.5
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,70.5,44.5,26,63.12%,,3,2.5,11,28,6,6.5,4.5,9
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,77,70,7,90.91%,,27.5,8,17.5,17,4,0,0.5,2.5
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25,24,1,96.00%,,2.5,3,8,10.5,0.5,0.5,0,0
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,111.5,101,10.5,90.58%,,20.5,20,28.5,32,4.5,1,3.5,1.5
,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ADMITTED,ALL CANCERS,18.5,15.5,3,83.78%,,3,1,5.5,6,0,1,1,1
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,10,7.5,2.5,75.00%,,1,0,3.5,3,1,0.5,0.5,0.5
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,91,73,18,80.22%,,19,7,13,34,4,6.5,3.5,4
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,43.5,37.5,6,86.21%,,6,3,12,16.5,0,3,1,2
,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,51.5,47.5,4,92.23%,,10.5,10,12,15,1.5,1,0.5,1
,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,16.5,14,2.5,84.85%,,4,1.5,3.5,5,0.5,0,0.5,1.5
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40.5,37,3.5,91.36%,,10,2.5,9.5,15,1,0,1,1.5
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37.5,31.5,6,84.00%,,8,5.5,5,13,3,0.5,1,1.5
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,67.5,57.5,10,85.19%,,16.5,9.5,16,15.5,4,2.5,3,0.5
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35,34.5,0.5,98.57%,,10,4,6.5,14,0,0,0,0.5
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,67,55.5,11.5,82.84%,,21.5,7,14,13,4.5,1.5,3.5,2
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,112.5,98.5,14,87.56%,,19.5,19,22,38,6,2.5,5,0.5
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,ADMITTED,ALL CANCERS,60.5,51.5,9,85.12%,,13.5,9,7,22,2,1.5,2.5,3
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,9.5,7,2.5,73.68%,,2.5,1.5,2,1,1,0.5,0.5,0.5
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18,15.5,2.5,86.11%,,2,1,1,11.5,0,1.5,1,0
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,45.5,37.5,8,82.42%,,15.5,2,7.5,12.5,2.5,2.5,1.5,1.5
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34.5,31,3.5,89.86%,,8,7,7.5,8.5,0.5,2,0,1
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,59,45,14,76.27%,,3,9,10.5,22.5,5.5,3,1,4.5
,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29.5,18,11.5,61.02%,,3,2,7,6,4.5,0.5,0.5,6
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,20.5,19,1.5,92.68%,,2.5,3.5,6,7,0.5,0,1,0
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,54.5,36.5,18,66.97%,,5,5.5,9.5,16.5,5.5,4,4,4.5
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,77.5,70,7.5,90.32%,,19,10,15.5,25.5,2,3.5,2,0
,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28.5,25,3.5,87.72%,,4.5,1,10,9.5,0,0,1.5,2
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,100,83,17,83.00%,,23.5,11,18.5,30,6,5,3,3
,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,113.5,96,17.5,84.58%,,35,20.5,18,22.5,2,7,1.5,7
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,57.5,46.5,11,80.87%,,11,5.5,14,16,0,5,2,4
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,14,13.5,0.5,96.43%,,2,2,3.5,6,0.5,0,0,0
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45.5,39,6.5,85.71%,,7,7,12.5,12.5,1.5,0.5,3,1.5
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,60,48.5,11.5,80.83%,,13,4,14,17.5,4,5,0,2.5
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,27.5,25.5,2,92.73%,,11,3,8,3.5,1,0,0.5,0.5
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43.5,39,4.5,89.66%,,6,1,6.5,25.5,1,2.5,0,1
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43.5,38,5.5,87.36%,,6,6.5,6,19.5,1.5,2,1,1
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,84.5,68.5,16,81.07%,,21,7,17.5,23,5,3.5,3,4.5
,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,115.5,98.5,17,85.28%,,38,12.5,21,27,8.5,1.5,1,6
,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,3.5,2,1.5,57.14%,,0,0,0.5,1.5,0.5,1,0,0
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,52,43,9,82.69%,,9,4,10.5,19.5,2,2,2.5,2.5
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49.5,40.5,9,81.82%,,4,9,12,15.5,2,2,1.5,3.5
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,83,68.5,14.5,82.53%,,30,6.5,7.5,24.5,2,7,2,3.5
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,51,44.5,6.5,87.25%,,9,9,12,14.5,3.5,1.5,1.5,0
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,66.5,51.5,15,77.44%,,5,10,17.5,19,4,5,4.5,1.5
,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,17,15.5,1.5,91.18%,,7.5,2,2.5,3.5,0.5,0,0.5,0.5
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49.5,30,19.5,60.61%,,3,6,9.5,11.5,8.5,4,3,4
,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,10,7,3,70.00%,,1,0.5,0.5,5,1.5,0,0,1.5
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,59,48,11,81.36%,,14,11.5,9.5,13,4,1.5,1,4.5
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,99,88,11,88.89%,,44,13.5,17,13.5,2,5,3.5,0.5
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,78,61,17,78.21%,,17,6,13,25,2.5,3.5,5,6
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,35,32,3,91.43%,,8,3.5,6.5,14,1,0,1,1
,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,1.5,1.5,0,100.00%,,0.5,0,1,0,0,0,0,0
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25,18,7,72.00%,,4,0.5,0.5,13,3,0.5,1,2.5
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,50,43.5,6.5,87.00%,,5.5,8,18.5,11.5,4.5,2,0,0
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28,24,4,85.71%,,5.5,3,4.5,11,1,2,0.5,0.5
,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,34,5,87.18%,,9,5,8,12,2,2,1,0
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,31,28.5,2.5,91.94%,,3,4,6.5,15,2,0,0,0.5
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,93,70.5,22.5,75.81%,,16,12,18,24.5,6.5,3,4,9
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,37,2,94.87%,,9.5,10,7.5,10,0,0,2,0
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,70.5,59.5,11,84.40%,,10,5.5,16,28,4,0,3,4
,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48.5,42,6.5,86.60%,,14,2,9.5,16.5,1,1,1,3.5
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,92.5,68.5,24,74.05%,,22,15,9,22.5,8,8,4.5,3.5
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,7.5,6.5,1,86.67%,,0,0.5,2.5,3.5,0,1,0,0
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,21.5,17,4.5,79.07%,,5,3,4,5,1,0,0.5,3
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47.5,39,8.5,82.11%,,11.5,7,9.5,11,4,3,1,0.5
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,19.5,15.5,4,79.49%,,4,0,4.5,7,1.5,1,1,0.5
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,51,43,8,84.31%,,8.5,4,10.5,20,3.5,3,1,0.5
,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,41,36.5,4.5,89.02%,,16,8,4,8.5,0,1,2,1.5
,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26.5,24,2.5,90.57%,,6,2.5,6,9.5,2,0,0.5,0
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,53.5,46.5,7,86.92%,,9,8,12.5,17,3.5,2,1,0.5
,RDR,SUSSEX COMMUNITY NHS TRUST,ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0,0,0.5,0
,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25,24.5,0.5,98.00%,,10.5,2,4,8,0.5,0,0,0
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,70,57.5,12.5,82.14%,,22,6.5,12.5,16.5,4,2,2.5,4
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18.5,12.5,6,67.57%,,2.5,0.5,2.5,7,1.5,2.5,1.5,0.5
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,7.5,3.5,4,46.67%,,2.5,0.5,0.5,0,1,1,1,1
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,57.5,42.5,15,73.91%,,9,12,8,13.5,3.5,3,4,4.5
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26.5,24,2.5,90.57%,,12,3,2,7,0,0,1.5,1
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,87.5,73,14.5,83.43%,,14,12,17.5,29.5,1,6,3.5,4
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,33,24,9,72.73%,,4,4,7,9,4.5,2,1.5,1
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,32,28.5,3.5,89.06%,,12,4,5.5,7,1.5,0,1,1
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24.5,23.5,1,95.92%,,6.5,6,3.5,7.5,0,0,0,1
,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,57,50.5,6.5,88.60%,,22,6,9.5,13,2.5,1.5,2,0.5
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46.5,37,9.5,79.57%,,7.5,6,9.5,14,2.5,2.5,1,3.5
,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1.5,1.5,0,100.00%,,1,0,0.5,0,0,0,0,0
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,ALL CANCERS,66.5,46,20.5,69.17%,,5,9.5,10,21.5,7.5,3,2.5,7.5
,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0,0,0,0
,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,25.5,23,2.5,90.20%,,13.5,2.5,4,3,2,0,0.5,0
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,79,58,21,73.42%,,18.5,4,14,21.5,4,7,3.5,6.5
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,61,43,18,70.49%,,10.5,7,9,16.5,4.5,5,5.5,3
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,61,55.5,5.5,90.98%,,12.5,6,9,28,0.5,2.5,2.5,0
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,84,70.5,13.5,83.93%,,20,11.5,13.5,25.5,4.5,1,3,5
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40,29,11,72.50%,,6,3.5,12.5,7,2.5,4,2.5,2
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,63.5,56.5,7,88.98%,,20.5,15,5.5,15.5,2.5,2,1,1.5
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,ALL CANCERS,60,49.5,10.5,82.50%,,11.5,7.5,8,22.5,1,0.5,0.5,8.5
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,ALL CANCERS,122.5,93,29.5,75.92%,,25,15.5,25.5,27,11,6,3,9.5
,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37.5,27,10.5,72.00%,,4.5,3.5,9,10,2.5,4.5,1,2.5
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ADMITTED,ALL CANCERS,103.5,88,15.5,85.02%,,17,4,17,50,1,5,4.5,5
,RBK,WALSALL HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,36,30,6,83.33%,,12,2,6,10,1.5,1,3,0.5
,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18.5,16,2.5,86.49%,,6.5,1.5,5,3,0.5,0.5,0.5,1
,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,29.5,26.5,3,89.83%,,5.5,7,6.5,7.5,0,2,0,1
