31-DAY (DIAGNOSIS TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,
PERIOD: July 2015,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,
Footnotes: See bottom of page,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 31 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,
E18000003,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,106,106,0,100.00%,,106,0,0,0,0
E18000006,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,159,150,9,94.34%,,150,4,2,1,2
E18000002,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,106,104,2,98.11%,,104,1,0,0,1
E18000007,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,9,9,0,100.00%,,9,0,0,0,0
E18000004,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,73,73,0,100.00%,,73,0,0,0,0
E18000001,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,99,98,1,98.99%,,98,1,0,0,0
E18000006,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,144,131,13,90.97%,,131,6,6,1,0
E18000002,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,73,73,0,100.00%,,73,0,0,0,0
E18000001,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,157,157,0,100.00%,,157,0,0,0,0
E18000007,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,32,31,1,96.88%,,31,1,0,0,0
E18000008,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,70,69,1,98.57%,,69,1,0,0,0
E18000004,RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,218,210,8,96.33%,,210,3,3,1,1
E18000003,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,79,77,2,97.47%,,77,1,1,0,0
E18000010,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,72,68,4,94.44%,,68,2,1,0,1
E18000006,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,84,82,2,97.62%,,82,0,0,1,1
E18000002,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,45,45,0,100.00%,,45,0,0,0,0
E18000008,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,194,170,24,87.63%,,170,11,4,7,2
E18000002,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,130,129,1,99.23%,,129,0,1,0,0
E18000008,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,155,146,9,94.19%,,146,1,3,5,0
E18000007,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,30,29,1,96.67%,,29,1,0,0,0
E18000008,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,91,91,0,100.00%,,91,0,0,0,0
E18000001,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,97,97,0,100.00%,,97,0,0,0,0
E18000005,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,47,47,0,100.00%,,47,0,0,0,0
E18000010,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,195,194,1,99.49%,,194,0,1,0,0
E18000007,RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23,23,0,100.00%,,23,0,0,0,0
E18000010,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,103,99,4,96.12%,,99,2,1,1,0
E18000007,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,253,242,11,95.65%,,242,3,5,1,2
E18000009,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,115,113,2,98.26%,,113,1,0,0,1
E18000003,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,50,50,0,100.00%,,50,0,0,0,0
E18000005,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,224,217,7,96.88%,,217,2,2,3,0
E18000009,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,99,97,2,97.98%,,97,2,0,0,0
E18000006,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ADMITTED,ALL CANCERS,33,33,0,100.00%,,33,0,0,0,0
E18000007,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22,22,0,100.00%,,22,0,0,0,0
E18000003,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,179,175,4,97.77%,,175,0,3,0,1
E18000007,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,188,180,8,95.74%,,180,2,3,1,2
E18000006,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,123,123,0,100.00%,,123,0,0,0,0
E18000009,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,39,38,1,97.44%,,38,1,0,0,0
E18000006,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,80,80,0,100.00%,,80,0,0,0,0
E18000004,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,63,63,0,100.00%,,63,0,0,0,0
E18000007,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,198,197,1,99.49%,,197,1,0,0,0
E18000007,RAX,KINGSTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,67,66,1,98.51%,,66,0,1,0,0
E18000002,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,193,189,4,97.93%,,189,2,1,0,1
E18000003,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,391,380,11,97.19%,,380,3,5,0,3
E18000007,RJ2,LEWISHAM HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,74,74,0,100.00%,,74,0,0,0,0
E18000002,RBQ,LIVERPOOL HEART AND CHEST NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49,49,0,100.00%,,49,0,0,0,0
E18000002,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24,24,0,100.00%,,24,0,0,0,0
N/A,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,112,108,4,96.43%,,108,2,1,0,1
E18000006,RC9,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,70,70,0,100.00%,,70,0,0,0,0
E18000008,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,129,126,3,97.67%,,126,2,1,0,0
E18000008,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0
E18000002,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44,44,0,100.00%,,44,0,0,0,0
E18000006,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,152,139,13,91.45%,,139,5,2,0,6
E18000003,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,146,143,3,97.95%,,143,1,1,0,1
E18000009,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40,39,1,97.50%,,39,0,1,0,0
E18000007,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18,17,1,94.44%,,17,1,0,0,0
E18000006,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,247,236,11,95.55%,,236,3,3,3,2
E18000010,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,211,187,24,88.63%,,187,9,6,5,4
E18000002,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,83,82,1,98.80%,,82,1,0,0,0
E18000007,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,31,31,0,100.00%,,31,0,0,0,0
E18000001,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,97,97,0,100.00%,,97,0,0,0,0
E18000004,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,117,110,7,94.02%,,110,3,2,1,1
E18000010,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,45,43,2,95.56%,,43,1,1,0,0
E18000003,RJL,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,90,90,0,100.00%,,90,0,0,0,0
E18000001,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,89,89,0,100.00%,,89,0,0,0,0
E18000004,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,292,284,8,97.26%,,284,3,2,1,2
E18000009,RBF,NUFFIELD ORTHOPAEDIC CENTRE NHS TRUST,ADMITTED,ALL CANCERS,1,0,1,0.00%,,0,1,0,0,0
E18000009,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,235,229,6,97.45%,,229,1,4,1,0
E18000006,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,10,10,0,100.00%,,10,0,0,0,0
E18000002,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,90,90,0,100.00%,,90,0,0,0,0
E18000006,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,100,100,0,100.00%,,100,0,0,0,0
E18000010,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,225,216,9,96.00%,,216,4,3,0,2
E18000010,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,115,115,0,100.00%,,115,0,0,0,0
E18000009,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,176,173,3,98.30%,,173,1,2,0,0
E18000008,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46,46,0,100.00%,,46,0,0,0,0
E18000009,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,135,128,7,94.81%,,128,5,1,0,1
E18000007,RT3,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,33,0,100.00%,,33,0,0,0,0
E18000010,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,149,147,2,98.66%,,147,0,2,0,0
E18000010,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,218,188,30,86.24%,,188,3,11,13,3
E18000007,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,184,184,0,100.00%,,184,0,0,0,0
E18000002,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,96,92,4,95.83%,,92,0,1,0,3
E18000007,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,8,8,0,100.00%,,8,0,0,0,0
E18000008,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,156,149,7,95.51%,,149,4,0,1,2
E18000010,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,ADMITTED,ALL CANCERS,77,75,2,97.40%,,75,1,1,0,0
E18000002,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,55,53,2,96.36%,,53,0,0,2,0
E18000010,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,74,74,0,100.00%,,74,0,0,0,0
E18000005,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,118,115,3,97.46%,,115,2,1,0,0
E18000003,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,7,7,0,100.00%,,7,0,0,0,0
E18000003,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,350,332,18,94.86%,,332,10,7,1,0
E18000004,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,79,77,2,97.47%,,77,0,0,1,1
E18000005,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,134,129,5,96.27%,,129,2,3,0,0
E18000010,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,106,106,0,100.00%,,106,0,0,0,0
E18000001,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,170,161,9,94.71%,,161,1,3,2,3
E18000001,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,20,20,0,100.00%,,20,0,0,0,0
E18000005,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,54,54,0,100.00%,,54,0,0,0,0
E18000006,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,19,19,0,100.00%,,19,0,0,0,0
E18000002,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,30,30,0,100.00%,,30,0,0,0,0
E18000007,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,129,127,2,98.45%,,127,2,0,0,0
E18000002,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,175,173,2,98.86%,,173,0,0,0,2
E18000002,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52,51,1,98.08%,,51,0,1,0,0
E18000008,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,95,94,1,98.95%,,94,1,0,0,0
E18000002,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30,30,0,100.00%,,30,0,0,0,0
E18000010,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,114,113,1,99.12%,,113,1,0,0,0
E18000002,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,81,78,3,96.30%,,78,1,1,1,0
E18000002,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,17,16,1,94.12%,,16,0,0,0,1
E18000005,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,104,104,0,100.00%,,104,0,0,0,0
E18000007,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47,47,0,100.00%,,47,0,0,0,0
E18000001,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,304,299,5,98.36%,,299,2,2,1,0
E18000006,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,53,53,0,100.00%,,53,0,0,0,0
E18000006,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,71,69,2,97.18%,,69,1,0,1,0
E18000003,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,67,66,1,98.51%,,66,0,1,0,0
E18000010,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,126,120,6,95.24%,,120,3,0,1,2
E18000007,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,157,156,1,99.36%,,156,0,0,1,0
E18000005,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,15,15,0,100.00%,,15,0,0,0,0
E18000005,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,ALL CANCERS,128,120,8,93.75%,,120,2,0,2,4
E18000002,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,11,11,0,100.00%,,11,0,0,0,0
E18000007,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,23,23,0,100.00%,,23,0,0,0,0
E18000004,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,147,141,6,95.92%,,141,2,1,3,0
E18000007,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,205,184,21,89.76%,,184,6,7,5,3
E18000005,RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,213,200,13,93.90%,,200,4,7,2,0
E18000002,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,184,182,2,98.91%,,182,2,0,0,0
E18000009,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,221,213,8,96.38%,,213,3,3,1,1
E18000005,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,196,190,6,96.94%,,190,2,2,2,0
E18000010,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,199,192,7,96.48%,,192,5,1,1,0
E18000005,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,ALL CANCERS,176,175,1,99.43%,,175,1,0,0,0
E18000004,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,ALL CANCERS,242,233,9,96.28%,,233,4,1,3,1
E18000002,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,99,98,1,98.99%,,98,0,0,1,0
E18000005,RBK,WALSALL HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,65,65,0,100.00%,,65,0,0,0,0
E18000002,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,20,20,0,100.00%,,20,0,0,0,0
E18000006,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,79,78,1,98.73%,,78,0,1,0,0
E18000007,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,26,25,1,96.15%,,25,1,0,0,0
E18000006,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,96,96,0,100.00%,,96,0,0,0,0
E18000008,RYR,WESTERN SUSSEX HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,163,162,1,99.39%,,162,0,0,0,1
E18000010,RA3,WESTON AREA HEALTH NHS TRUST,ADMITTED,ALL CANCERS,32,32,0,100.00%,,32,0,0,0,0
E18000002,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,109,103,6,94.50%,,103,3,1,2,0
E18000005,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,164,160,4,97.56%,,160,1,2,0,1
E18000002,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,66,66,0,100.00%,,66,0,0,0,0
E18000005,RLQ,WYE VALLEY NHS TRUST,ADMITTED,ALL CANCERS,65,62,3,95.38%,,62,2,0,0,1
E18000010,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,69,68,1,98.55%,,68,1,0,0,0
E18000003,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,157,153,4,97.45%,,153,3,0,1,0
N/A,NVM,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,9,9,0,100.00%,,9,0,0,0,0
N/A,NV3,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,49,48,1,97.96%,,48,1,0,0,0
,,,,,,,,,,,,,,
,,ALL ENGLISH PROVIDERS,ADMITTED,ALL CANCERS,16477,15994,483,97.07%,,15994,187,140,85,71
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PART B:NON ADMITTED CARE,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 31 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,
ONS AREA ID (1),ODS CODE (2),PROVIDER,CARE SETTING (3),CANCER TYPE (4),TOTAL,WITHIN 31 DAYS,AFTER 31 DAYS,,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,AFTER 62 DAYS
E18000002,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,29,29,0,100.00%,,29,0,0,0,0
E18000003,RCF,AIREDALE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,25,25,0,100.00%,,25,0,0,0,0
E18000008,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,62,62,0,100.00%,,62,0,0,0,0
E18000007,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",NON-ADMITTED,ALL CANCERS,81,81,0,100.00%,,81,0,0,0,0
