62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: May 2016,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,54.5,41.5,13,76.15%,,10,3,8.5,20,3.5,4,1.5,4
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,76,62,14,81.58%,,21,12,11.5,17.5,6,2.5,3,2.5
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33.5,27.5,6,82.09%,,5,5,4,13.5,1.5,1,3.5,0
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38,32.5,5.5,85.53%,,4,5,9.5,14,3.5,0.5,1,0.5
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,60,51,9,85.00%,,13,7.5,14.5,16,4,3.5,0,1.5
,RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0.5,0,0,0
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36.5,32.5,4,89.04%,,9,1.5,5,17,1,0.5,0.5,2
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29.5,23,6.5,77.97%,,7,2,3.5,10.5,1,2.5,2.5,0.5
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30.5,23,7.5,75.41%,,8,1,4,10,2.5,1.5,1.5,2
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32.5,24,8.5,73.85%,,5,1.5,5.5,12,2,5,1.5,0
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,59.5,42.5,17,71.43%,,17,7.5,7,11,6.5,6.5,2.5,1.5
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22,19,3,86.36%,,6,2,2,9,1,1,1,0
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,90.5,77,13.5,85.08%,,30,16,15,16,5,4,1.5,3
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,37.5,32,5.5,85.33%,,6.5,6,8,11.5,3,1,0.5,1
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,34.5,29,5.5,84.06%,,4.5,5,7,12.5,0.5,3,1,1
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,81.5,69.5,12,85.28%,,19,15.5,9.5,25.5,5.5,2.5,1.5,2.5
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45,40,5,88.89%,,10.5,7,13,9.5,1.5,0,1.5,2
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,30.5,8.5,78.21%,,6.5,4,9.5,10.5,3.5,2.5,1.5,1
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,23.5,21,2.5,89.36%,,5,4,4,8,0,1,0.5,1
,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,13,10.5,2.5,80.77%,,4.5,1,0.5,4.5,1.5,0.5,0.5,0
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,117,89.5,27.5,76.50%,,27,12,15,35.5,13.5,8,1,5
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,63.5,49.5,14,77.95%,,13,5.5,12.5,18.5,3.5,5,1,4.5
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,78.5,59.5,19,75.80%,,22,13,10.5,14,6.5,4.5,3.5,4.5
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,26.5,22,4.5,83.02%,,5.5,3.5,2.5,10.5,0.5,0.5,0.5,3
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,88,83,5,94.32%,,37,13,12.5,20.5,2,0,1.5,1.5
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,28.5,4.5,86.36%,,6,9,4,9.5,2,1,0.5,1
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,12,10.5,1.5,87.50%,,0.5,0.5,4.5,5,1,0.5,0,0
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,70.5,56.5,14,80.14%,,13,9,12,22.5,2,4,1,7
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36.5,32,4.5,87.67%,,9,5,8,10,1.5,1.5,1.5,0
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,69,46,23,66.67%,,5.5,2.5,14.5,23.5,7,5.5,5,5.5
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,68,60.5,7.5,88.97%,,23,9,15,13.5,2.5,4,1,0
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,14.5,13.5,1,93.10%,,5,1,7,0.5,0,0.5,0,0.5
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,106,95.5,10.5,90.09%,,17.5,19,28.5,30.5,3,2.5,2.5,2.5
,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ADMITTED,ALL CANCERS,19.5,16.5,3,84.62%,,3,3.5,4,6,0.5,2.5,0,0
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,12,10,2,83.33%,,3,0.5,1,5.5,1,0.5,0.5,0
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,93.5,75.5,18,80.75%,,17,7,12.5,39,4.5,6,4,3.5
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,54.5,33.5,21,61.47%,,6.5,0.5,11.5,15,4,7,3.5,6.5
,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,57.5,47,10.5,81.74%,,13,9.5,14.5,10,8,1,1.5,0
,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,11.5,8,3.5,69.57%,,1,2.5,0,4.5,1,1,1,0.5
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,34.5,4.5,88.46%,,14,5,5,10.5,1.5,1,1,1
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48.5,42.5,6,87.63%,,3.5,2,9,28,2,1.5,1.5,1
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,78.5,64.5,14,82.17%,,16.5,11,16.5,20.5,6,3.5,3.5,1
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26.5,24,2.5,90.57%,,9.5,3,5,6.5,1.5,0,0.5,0.5
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,60,45.5,14.5,75.83%,,11.5,8.5,7.5,18,8.5,2,3,1
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,121,104.5,16.5,86.36%,,20.5,19,24.5,40.5,6.5,3.5,2.5,4
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,ADMITTED,ALL CANCERS,49,41,8,83.67%,,9.5,7,10.5,14,3.5,2.5,0.5,1.5
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,15,13.5,1.5,90.00%,,6,1,2.5,4,1,0.5,0,0
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,10,8.5,1.5,85.00%,,1,0,0.5,7,0.5,0,1,0
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,55,41.5,13.5,75.45%,,12,7.5,10,12,2,4,4.5,3
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34.5,30.5,4,88.41%,,8,2,6,14.5,1,0,0.5,2.5
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,74.5,56.5,18,75.84%,,8,4,11,33.5,4,4,3,7
,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,22,11,66.67%,,1,5,6,10,3,2.5,2.5,3
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24.5,23,1.5,93.88%,,3,6,6,8,0,1,0.5,0
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,61,39.5,21.5,64.75%,,8,4.5,11.5,15.5,11.5,6.5,2.5,1
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,54,46.5,7.5,86.11%,,14,7,10,15.5,2.5,3,1,1
,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28,24,4,85.71%,,6,6,5,7,2,2,0,0
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,117.5,98.5,19,83.83%,,36,9.5,12,41,9.5,1.5,5.5,2.5
,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,84,67,17,79.76%,,26.5,12,12,16.5,7.5,4,2.5,3
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,61.5,48,13.5,78.05%,,16.5,5,6.5,20,5.5,3,2.5,2.5
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,15.5,11,4.5,70.97%,,3,2.5,2.5,3,2,1,0.5,1
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36,34,2,94.44%,,11.5,4,3,15.5,0,1,0.5,0.5
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,46,34.5,11.5,75.00%,,8,9,7,10.5,3.5,1,4.5,2.5
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,29.5,25.5,4,86.44%,,7.5,7,7,4,2.5,1,0,0.5
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,64.5,49.5,15,76.74%,,8,8,5.5,28,1.5,4,2,7.5
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32,27,5,84.38%,,4,7.5,8.5,7,0,1.5,2.5,1
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,102,75.5,26.5,74.02%,,15.5,12.5,22.5,25,9.5,6,4,7
,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,122,98.5,23.5,80.74%,,50,9.5,15,24,6,7.5,3.5,6.5
,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,3,1.5,1.5,50.00%,,0,0,0,1.5,0.5,0.5,0,0.5
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,70,67,3,95.71%,,13.5,5.5,13.5,34.5,1,0,0,2
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,53.5,44.5,9,83.18%,,14,5,10,15.5,4.5,2.5,1,1
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,81,59.5,21.5,73.46%,,14.5,13.5,9,22.5,4,7,5.5,5
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49.5,43,6.5,86.87%,,8.5,9.5,5.5,19.5,0.5,2,2.5,1.5
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,61,48.5,12.5,79.51%,,7,5,10,26.5,3.5,7,1.5,0.5
,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,17,10.5,6.5,61.76%,,6.5,1.5,0,2.5,1.5,1,3,1
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47,36,11,76.60%,,10,3.5,9.5,13,5,1,1,4
,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,9,5.5,3.5,61.11%,,0,0,2,3.5,2,0.5,0.5,0.5
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,77.5,65,12.5,83.87%,,19,9,12,25,2.5,4,2,4
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,131,107,24,81.68%,,56,11,19.5,20.5,8.5,4.5,6.5,4.5
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,83.5,64.5,19,77.25%,,13,3,14.5,34,8.5,2.5,4,4
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,19.5,16.5,3,84.62%,,4,3,4,5.5,0.5,0.5,1.5,0.5
,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0,0.5,0,0,0,0
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47.5,40.5,7,85.26%,,11,2,7.5,20,0.5,0.5,2.5,3.5
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36.5,30.5,6,83.56%,,7,0,11.5,12,3.5,1,1,0.5
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24,20.5,3.5,85.42%,,8,1.5,3.5,7.5,2,0.5,0.5,0.5
,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,30,3,90.91%,,10,10.5,7.5,2,1.5,0.5,0,1
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,41.5,36.5,5,87.95%,,10.5,3.5,6.5,16,1.5,1,1.5,1
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,104,75.5,28.5,72.60%,,11.5,11.5,22,30.5,6,9,5.5,8
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44.5,40,4.5,89.89%,,11,11.5,2.5,15,1,1,0,2.5
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,67,49,18,73.13%,,7,8,11.5,22.5,3,6.5,7,1.5
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,105.5,88.5,17,83.89%,,28,15,19,26.5,6,3.5,2.5,5
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,7.5,6,1.5,80.00%,,0,2,0.5,3.5,1,0.5,0,0
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34,29.5,4.5,86.76%,,7,2,9,11.5,1,1.5,0,2
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,50.5,33.5,17,66.34%,,9,5,11,8.5,4,5,5,3
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,22,16,6,72.73%,,5.5,2,1.5,7,4,0,2,0
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52,38,14,73.08%,,8,1,12,17,1,4.5,2.5,6
,RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,55,48.5,6.5,88.18%,,13.5,8,4,23,1,3,2.5,0
,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27,25,2,92.59%,,8.5,5.5,5,6,0,1.5,0,0.5
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,43,37.5,5.5,87.21%,,10.5,7.5,8,11.5,1.5,1,1.5,1.5
,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,15,14,1,93.33%,,1,2,3.5,7.5,0,0.5,0.5,0
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56.5,47,9.5,83.19%,,11.5,13,13,9.5,4,2,1.5,2
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,12.5,7,5.5,56.00%,,0.5,2,1,3.5,1.5,0.5,2,1.5
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,4.5,3.5,1,77.78%,,1,0,1.5,1,1,0,0,0
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,68.5,56.5,12,82.48%,,18,7,13,18.5,5.5,3.5,1.5,1.5
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,12.5,12,0.5,96.00%,,2,3,2,5,0,0.5,0,0
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,105.5,86.5,19,81.99%,,13,10,20,43.5,6.5,6,3.5,3
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,18.5,13,5.5,70.27%,,1,5.5,3,3.5,2,2.5,0.5,0.5
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,36.5,27,9.5,73.97%,,10,8,3.5,5.5,6,1.5,0.5,1.5
,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1.5,1.5,0,100.00%,,0,1,0,0.5,0,0,0,0
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,30,3,90.91%,,8,5,8.5,8.5,2,0.5,0.5,0
,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,55.5,47.5,8,85.59%,,21,6.5,6.5,13.5,2,1,4,1
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45.5,32.5,13,71.43%,,6.5,7,9.5,9.5,5,2.5,2,3.5
,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0,0.5,0,0
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,ALL CANCERS,54.5,34,20.5,62.39%,,6,4.5,9,14.5,2,6,5,7.5
,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,21.5,18.5,3,86.05%,,9,1,2.5,6,1,0.5,0.5,1
,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,51,45,6,88.24%,,6,8,14.5,16.5,1.5,1.5,2,1
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,75.5,54,21.5,71.52%,,9.5,6,14.5,24,8,3.5,3,7
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,51.5,35.5,16,68.93%,,5.5,3,6.5,20.5,5,2.5,4.5,4
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,62.5,56.5,6,90.40%,,18.5,7.5,10,20.5,2,1.5,1.5,1
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,53.5,44.5,9,83.18%,,8,4,13.5,19,3.5,4.5,0,1
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49,35.5,13.5,72.45%,,3,7,12,13.5,5,2,1.5,5
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,64.5,46,18.5,71.32%,,14.5,10,7,14.5,6,4.5,1.5,6.5
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,ALL CANCERS,53,41.5,11.5,78.30%,,3.5,6.5,9.5,22,3.5,6,1,1
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,ALL CANCERS,113.5,77,36.5,67.84%,,15.5,13,21,27.5,12,12.5,6.5,5.5
,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41,36,5,87.80%,,7,4,12.5,12.5,1,2,0,2
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ADMITTED,ALL CANCERS,96.5,64,32.5,66.32%,,12,9,12.5,30.5,13,7.5,7.5,4.5
,RBK,WALSALL HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,27.5,23.5,4,85.45%,,6,3.5,5,9,0,0,0.5,3.5
,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22,21.5,0.5,97.73%,,6.5,2,8,5,0,0,0,0.5
