62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
42552,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2,2,0,100.00%,,0,0,1,1,0,0,0,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49.5,34,15.5,68.69%,,17,3,4,10,7,3,2,3.5
,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29,27,2,93.10%,,5.5,0.5,7.5,13.5,0,2,0,0
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,59,53,6,89.83%,,13,4.5,20,15.5,1.5,1.5,2,1
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,63.5,48,15.5,75.59%,,13.5,10.5,10,14,4,1.5,5,5
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,58,47.5,10.5,81.90%,,15,13,6,13.5,3,5,1,1.5
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22,18.5,3.5,84.09%,,11,0,2,5.5,0,2,0,1.5
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49.5,45.5,4,91.92%,,15.5,6,10.5,13.5,2,0.5,0,1.5
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,65,46.5,18.5,71.54%,,7.5,4.5,14.5,20,5.5,6,1.5,5.5
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37.5,32,5.5,85.33%,,8.5,4.5,8.5,10.5,2.5,1,1.5,0.5
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27.5,22.5,5,81.82%,,6,1,4.5,11,1.5,1,0,2.5
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37.5,29,8.5,77.33%,,7,6.5,8.5,7,2,1.5,1,4
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42.5,38,4.5,89.41%,,12,4.5,8.5,13,3.5,0,1,0
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,57.5,40.5,17,70.43%,,17,5,9.5,9,5.5,5.5,2.5,3.5
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29,25,4,86.21%,,3,6,6,10,2.5,0.5,0.5,0.5
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,88,74.5,13.5,84.66%,,29,12,10,23.5,3,2.5,3,5
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,23,20,3,86.96%,,11,0.5,3,5.5,0,1,0.5,1.5
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,34.5,32.5,2,94.20%,,4,3,7,18.5,0,0.5,1,0.5
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,97.5,77,20.5,78.97%,,14,17,14.5,31.5,9,6.5,2,3
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,54,46.5,7.5,86.11%,,14.5,15.5,12,4.5,1.5,2.5,2.5,1
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33.5,28,5.5,83.58%,,10,7,7,4,1,1.5,0.5,2.5
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,28.5,21.5,7,75.44%,,7.5,3,4,7,1.5,2.5,2,1
,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,15,12,3,80.00%,,4.5,3,3.5,1,0,1,1.5,0.5
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,124.5,88.5,36,71.08%,,28,7,20.5,33,10.5,12,5,8.5
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,51.5,46.5,5,90.29%,,11,9,14.5,12,0,4,0.5,0.5
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,97,74,23,76.29%,,18.5,14,18.5,23,7.5,5,2,8.5
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,29,27,2,93.10%,,7.5,3,5.5,11,1,1,0,0
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,54.5,45.5,9,83.49%,,10.5,9,8.5,17.5,3.5,1.5,1.5,2.5
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30.5,27,3.5,88.52%,,6,4.5,6.5,10,2,0,1,0.5
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,14,10.5,3.5,75.00%,,2.5,0,4,4,2,0,0.5,1
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,94.5,59.5,35,62.96%,,15,3,12.5,29,7,12.5,7.5,8
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36,33,3,91.67%,,17,3,10,3,1,0.5,1.5,0
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,69.5,38.5,31,55.40%,,6.5,6,6.5,19.5,11.5,7.5,7,5
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52,43,9,82.69%,,9.5,7.5,11.5,14.5,4.5,1.5,0.5,2.5
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24.5,22,2.5,89.80%,,4,3,6,9,1,0,0,1.5
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,116.5,106.5,10,91.42%,,16.5,17,34.5,38.5,5.5,2,1.5,1
,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ADMITTED,ALL CANCERS,25,21.5,3.5,86.00%,,7,6,3,5.5,0.5,1,0,2
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18,16,2,88.89%,,4.5,1.5,3.5,6.5,1.5,0.5,0,0
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,95,74.5,20.5,78.42%,,20,5,14.5,35,7,5,2.5,6
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,44,34,10,77.27%,,10,5,5,14,2.5,2,2.5,3
,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,52,44,8,84.62%,,9,4,11,20,1.5,4.5,0.5,1.5
,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,10,7.5,2.5,75.00%,,2,1,3.5,1,1.5,1,0,0
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47.5,43.5,4,91.58%,,13.5,5,10.5,14.5,2.5,0,1,0.5
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29.5,27,2.5,91.53%,,3.5,1.5,10,12,0,1.5,0,1
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,53,41,12,77.36%,,8,8,10,15,6.5,2,2.5,1
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32,31,1,96.88%,,10,8.5,5,7.5,0.5,0.5,0,0
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,81.5,70,11.5,85.89%,,24.5,10.5,14,21,5,3,3,0.5
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,108.5,87.5,21,80.65%,,15,15,25.5,32,11,2,1.5,6.5
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,ADMITTED,ALL CANCERS,54,43.5,10.5,80.56%,,9,8,8.5,18,5,1.5,1.5,2.5
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,6.5,6,0.5,92.31%,,3.5,1,0.5,1,0,0.5,0,0
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,10,7.5,2.5,75.00%,,0,1,0,6.5,0,0,2,0.5
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,55,40.5,14.5,73.64%,,10.5,6,9,15,2,3,2.5,7
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43,39.5,3.5,91.86%,,13.5,7.5,9,9.5,0.5,1.5,0,1.5
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,57,39,18,68.42%,,6,2,8,23,4,3.5,6,4.5
,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28.5,18.5,10,64.91%,,4.5,1,2.5,10.5,3,3,1.5,2.5
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31.5,28.5,3,90.48%,,8,3.5,7,10,0,1,0.5,1.5
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,61.5,40.5,21,65.85%,,4.5,9.5,9,17.5,7.5,8,1,4.5
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,70,56,14,80.00%,,18,4,11,23,5.5,3,3.5,2
,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30.5,25.5,5,83.61%,,9,3,6,7.5,2,2,0,1
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,120.5,99.5,21,82.57%,,36,14,11,38.5,8,5,5.5,2.5
,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,104.5,85,19.5,81.34%,,23,18.5,15,28.5,9,7,3,0.5
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,55,43,12,78.18%,,17,10,3,13,1,5,5,1
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,18,15.5,2.5,86.11%,,3.5,1,3,8,0,1.5,0,1
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40,31,9,77.50%,,8,7,1,15,0.5,4,2,2.5
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,50,41,9,82.00%,,7.5,4.5,10.5,18.5,1.5,3.5,0,4
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,5.5,4,1.5,72.73%,,1,0,0.5,2.5,0.5,0.5,0,0.5
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52.5,45.5,7,86.67%,,7,9,11,18.5,1.5,3,0,2.5
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27,20,7,74.07%,,5.5,5,1.5,8,3.5,2,0.5,1
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,112.5,81.5,31,72.44%,,13,12,24.5,32,12.5,6.5,4.5,7.5
,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,128,94,34,73.44%,,40,9.5,20.5,24,14,5,5.5,9.5
,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,5,3.5,1.5,70.00%,,0,0,0.5,3,0.5,0.5,0,0.5
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,36.5,32.5,4,89.04%,,5.5,4.5,5,17.5,1,2,0,1
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43,33.5,9.5,77.91%,,5,3,7,18.5,2.5,2,0,5
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,103,77,26,74.76%,,17,30,13,17,9,5,6,6
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,70,63.5,6.5,90.71%,,27,11.5,8,17,1,2.5,0.5,2.5
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,78,63.5,14.5,81.41%,,13,2,16,32.5,4.5,4.5,2,3.5
,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,21,18.5,2.5,88.10%,,13.5,1,1,3,0.5,1,0.5,0.5
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56,42.5,13.5,75.89%,,5,7.5,13,17,7,5,1,0.5
,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,9.5,4,5.5,42.11%,,0,1,1.5,1.5,3,0.5,0.5,1.5
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,68,56,12,82.35%,,20,8,7,21,4,6,2,0
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,99.5,86,13.5,86.43%,,51.5,5,8.5,21,5,1.5,2.5,4.5
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,113,84.5,28.5,74.78%,,38.5,8,13.5,24.5,9.5,8.5,2,8.5
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,18,15,3,83.33%,,3,3,5.5,3.5,2,0,0,1
,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,4,1,3,25.00%,,0,0,0,1,0,2,1,0
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,64,47.5,16.5,74.22%,,15.5,2.5,8.5,21,4.5,3.5,1.5,7
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37.5,34,3.5,90.67%,,3,4,10,17,2,1.5,0,0
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23,20.5,2.5,89.13%,,4.5,5.5,4,6.5,1,0,1,0.5
,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30.5,28,2.5,91.80%,,5,10.5,4,8.5,1.5,0.5,0.5,0
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,44.5,39,5.5,87.64%,,7,5,7,20,1,0,1.5,3
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,96.5,81,15.5,83.94%,,15,13,19.5,33.5,2.5,6,3,4
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49,40,9,81.63%,,9,13,5,13,5,3,0.5,0.5
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,59.5,45.5,14,76.47%,,12,3,6,24.5,8,2,3.5,0.5
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,94,79,15,84.04%,,20.5,11,14.5,33,5,5,3,2
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,7.5,7.5,0,100.00%,,1,0,3.5,3,0,0,0,0
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27,25.5,1.5,94.44%,,8,5,4,8.5,0.5,0,0,1
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48,35,13,72.92%,,6,6,9,14,4,3,1,5
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,20,18,2,90.00%,,2,5.5,5.5,5,0.5,1.5,0,0
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47,43,4,91.49%,,3.5,6.5,15.5,17.5,1,1,0.5,1.5
,RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,42,38,4,90.48%,,10,8,10.5,9.5,1.5,0,0,2.5
,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25,22,3,88.00%,,8,3,7.5,3.5,0,0,2,1
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,38.5,34.5,4,89.61%,,9,9.5,4,12,1.5,0.5,0.5,1.5
,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18,16,2,88.89%,,5.5,3,3,4.5,0,0.5,1.5,0
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,72,61,11,84.72%,,17.5,10,12.5,21,5,3.5,1.5,1
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22,17.5,4.5,79.55%,,1.5,2,4,10,0.5,1,1,2
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0.5,0,0,0,0,0,0,0
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45,37,8,82.22%,,11,8,8,10,3.5,0.5,2,2
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22,20,2,90.91%,,8.5,4,2,5.5,1,1,0,0
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,88.5,80,8.5,90.40%,,20,7,19.5,33.5,3.5,1.5,0.5,3
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,29.5,25.5,4,86.44%,,7,6.5,9,3,3,1,0,0
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,37,30.5,6.5,82.43%,,9,6,4.5,11,2.5,2,1,1
,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0,0,0.5,0
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30.5,28,2.5,91.80%,,13.5,5,5,4.5,0,1,1,0.5
,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45.5,39,6.5,85.71%,,17,4.5,6,11.5,3,0.5,1,2
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48.5,39,9.5,80.41%,,2,8,10.5,18.5,3.5,3,2,1
,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1.5,0.5,1,33.33%,,0,0,0.5,0,0,0,0.5,0.5
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,ALL CANCERS,61.5,50.5,11,82.11%,,13,5,12,20.5,4.5,2.5,2.5,1.5
,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,12,11,1,91.67%,,3,3.5,3,1.5,0,0,0,1
,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41.5,36,5.5,86.75%,,6,6,7,17,2,0,0,3.5
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,64,46,18,71.88%,,15.5,3.5,7.5,19.5,6,5,3,4
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,62.5,44.5,18,71.20%,,7.5,7,10.5,19.5,4,4,2.5,7.5
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,51,48,3,94.12%,,8,9,13,18,0,1,1,1
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,80,65,15,81.25%,,11.5,16.5,15,22,6.5,4,2.5,2
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,65.5,56,9.5,85.50%,,11,7,12,26,3.5,1,2,3
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,68,50,18,73.53%,,14.5,8,9.5,18,7,6,3.5,1.5
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,ALL CANCERS,57,48,9,84.21%,,10.5,5,10,22.5,3.5,1,1.5,3
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,ALL CANCERS,109.5,85,24.5,77.63%,,21,16,15.5,32.5,8,9,2,5.5
,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41.5,32.5,9,78.31%,,5.5,7,6,14,3,3,1,2
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ADMITTED,ALL CANCERS,105,83.5,21.5,79.52%,,25,9,16.5,33,6,7,3.5,5
,RBK,WALSALL HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,30.5,27,3.5,88.52%,,8,3,6.5,9.5,0,1,2.5,0
,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,17,16,1,94.12%,,6,4,6,0,0,0,1,0
,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,35,30,5,85.71%,,7.5,6,10,6.5,1.5,1.5,0,2
,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40.5,35.5,5,87.65%,,4,2.5,14,15,2,1.5,0.5,1
,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,78.5,69,9.5,87.90%,,13,14.5,13,28.5,1.5,2,2.5,3.5
