62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
42887,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,55,43.5,11.5,79.09%,,13.5,5,5,20,1,4,4.5,2
,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,17.5,16.5,1,94.29%,,2.5,1,7.5,5.5,0.5,0.5,0,0
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,68.5,51.5,17,75.18%,,9.5,9.5,15,17.5,6,6,1,4
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,60.5,42,18.5,69.42%,,13.5,3.5,4,21,4.5,6,5,3
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,57,51,6,89.47%,,27,3,13,8,1.5,2,0,2.5
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38,27,11,71.05%,,8,7,5,7,1.5,2.5,3,4
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,62.5,55,7.5,88.00%,,13.5,10,12,19.5,1,1.5,3.5,1.5
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,74.5,51.5,23,69.13%,,12,6,15.5,18,8,6.5,3.5,5
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30.5,23,7.5,75.41%,,8.5,5,2.5,7,2.5,3,0.5,1.5
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,16.5,15,1.5,90.91%,,2,1,3,9,1,0,0,0.5
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32.5,23,9.5,70.77%,,3.5,4,5.5,10,2,3.5,1.5,2.5
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,53,37.5,15.5,70.75%,,10,5,8.5,14,1.5,7,4,3
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,73.5,55,18.5,74.83%,,15.5,11.5,7.5,20.5,8.5,4.5,3,2.5
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38.5,33,5.5,85.71%,,4,4,5,20,2,0,1,2.5
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,98.5,84,14.5,85.28%,,26.5,11,24,22.5,4,4.5,4.5,1.5
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,34.5,31,3.5,89.86%,,12,6.5,3.5,9,0,1,1.5,1
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,23.5,23,0.5,97.87%,,2.5,2,5.5,13,0,0,0,0.5
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,104,82,22,78.85%,,23,11,25,23,6,5,7,4
,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47.5,43.5,4,91.58%,,7.5,12,9,15,1.5,0,0.5,2
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38.5,35,3.5,90.91%,,11.5,5,4,14.5,1.5,1,0,1
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,55,33.5,21.5,60.91%,,8,4,6,15.5,5.5,2.5,4.5,9
,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,7.5,7.5,0,100.00%,,3,0.5,2,2,0,0,0,0
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,155,114.5,40.5,73.87%,,42,12,19,41.5,7,16,9,8.5
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,65,55,10,84.62%,,18.5,8.5,11,17,3,2,4,1
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,80.5,60,20.5,74.53%,,20.5,7,12.5,20,6.5,3,2.5,8.5
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,24.5,17.5,7,71.43%,,2,2.5,4,9,2.5,1.5,0.5,2.5
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,79,73.5,5.5,93.04%,,17,11.5,14.5,30.5,1,2,2.5,0
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44.5,32.5,12,73.03%,,6.5,9,4.5,12.5,5,3,3,1
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,17.5,16,1.5,91.43%,,3,2,3.5,7.5,0,0.5,1,0
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,84.5,54.5,30,64.50%,,13,11,8,22.5,11.5,7.5,4.5,6.5
,RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,4.5,4.5,0,100.00%,,4.5,0,0,0,0,0,0,0
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46,35.5,10.5,77.17%,,8,3,12.5,12,4,2.5,2,2
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,75.5,44,31.5,58.28%,,7.5,4.5,8,24,8.5,11,6,6
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,74.5,63,11.5,84.56%,,22,12.5,10,18.5,2.5,3.5,2.5,3
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25.5,22.5,3,88.24%,,8,4.5,3,7,0.5,1,0.5,1
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,132,113,19,85.61%,,27.5,28.5,14,43,6.5,12,0.5,0
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,12.5,8.5,4,68.00%,,2,2,2.5,2,0,1.5,0,2.5
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,90.5,62,28.5,68.51%,,23,5,9.5,24.5,12,6,4,6.5
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,58.5,50,8.5,85.47%,,9.5,4.5,10.5,25.5,1,1,3,3.5
,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,69,48,21,69.57%,,8,11.5,9.5,19,3.5,11,2,4.5
,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,12.5,10.5,2,84.00%,,7,2,1,0.5,0.5,0,1,0.5
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44.5,40.5,4,91.01%,,15,4,7.5,14,0,3,1,0
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47,42,5,89.36%,,20,3,6,13,0,4,0,1
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,82.5,69,13.5,83.64%,,17.5,14.5,12.5,24.5,5.5,2,2,4
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30.5,28,2.5,91.80%,,10.5,6,7,4.5,0,1,0,1.5
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,89.5,72,17.5,80.45%,,24.5,10,14.5,23,4.5,6.5,3,3.5
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,129.5,103,26.5,79.54%,,24,7,39.5,32.5,11,7.5,5.5,2.5
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,ADMITTED,ALL CANCERS,60.5,51.5,9,85.12%,,21,7.5,6.5,16.5,1.5,2,3,2.5
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,8.5,5.5,3,64.71%,,1.5,0,2,2,0.5,0,1,1.5
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,10.5,8,2.5,76.19%,,0,0,2,6,0.5,1.5,0,0.5
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,51.5,37.5,14,72.82%,,9.5,8,5,15,3,3.5,4,3.5
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,36,3,92.31%,,6.5,5,10.5,14,1,0,1.5,0.5
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,79.5,58.5,21,73.58%,,5,8,8,37.5,2.5,12,2.5,4
,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,27,12,69.23%,,7,2.5,3.5,14,2.5,5,2.5,2
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,20.5,20.5,0,100.00%,,5.5,4,5.5,5.5,0,0,0,0
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,88,63,25,71.59%,,19,11,11.5,21.5,7.5,8.5,4.5,4.5
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,74.5,61.5,13,82.55%,,22.5,7.5,15,16.5,6.5,3,1.5,2
,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,30,3,90.91%,,10,3,7,10,2.5,0,0,0.5
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,124.5,104.5,20,83.94%,,37.5,14,21,32,2.5,5.5,6,6
,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,96.5,79,17.5,81.87%,,16.5,12.5,21.5,28.5,6.5,5.5,2,3.5
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,43.5,35,8.5,80.46%,,12,8.5,6.5,8,1.5,3,2,2
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,21.5,19.5,2,90.70%,,1,2,7,9.5,0,0,1.5,0.5
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47.5,43.5,4,91.58%,,12.5,7,13.5,10.5,0.5,1.5,2,0
,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,72.5,59.5,13,82.07%,,16,6,11,26.5,4.5,2,3.5,3
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,51.5,38,13.5,73.79%,,4,4,10,20,4.5,2.5,3,3.5
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,32,28.5,3.5,89.06%,,20,3,2,3.5,2,1,0,0.5
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48.5,28.5,20,58.76%,,4,1,8.5,15,5,4.5,4.5,6
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,31.5,7.5,80.77%,,6,2.5,5,18,2,3,2,0.5
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,125,91.5,33.5,73.20%,,14.5,11.5,21.5,44,12,10,3,8.5
,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,133,114,19,85.71%,,47,9,28.5,29.5,8.5,7,1.5,2
,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,7,4.5,2.5,64.29%,,0,0,0,4.5,0,1,0.5,1
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,60.5,42,18.5,69.42%,,11,3.5,7.5,20,6.5,5,2,5
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,81,69,12,85.19%,,29,12,11,17,2.5,2,2,5.5
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,60,55.5,4.5,92.50%,,25.5,6,12.5,11.5,3,0,0.5,1
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,77.5,59.5,18,76.77%,,17,9,11.5,22,9,3,2.5,3.5
,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,15,10,5,66.67%,,5.5,1,2.5,1,3.5,1.5,0,0
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,54,45.5,8.5,84.26%,,8,5,13,19.5,3.5,2,2.5,0.5
,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,5,3,2,60.00%,,0,0,0.5,2.5,1,1,0,0
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,112,95,17,84.82%,,50,14,14,17,3,5.5,4.5,4
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,125.5,101,24.5,80.48%,,45.5,22,13,20.5,7,6.5,5.5,5.5
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,100.5,81,19.5,80.60%,,25,9.5,12.5,34,5.5,4.5,4.5,5
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,34,27.5,6.5,80.88%,,4.5,4.5,11.5,7,0.5,3.5,2,0.5
,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,5,3.5,1.5,70.00%,,0.5,0,0,3,0,0,0,1.5
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44,37.5,6.5,85.23%,,6.5,8,5.5,17.5,1,3.5,1,1
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39.5,31.5,8,79.75%,,9,6,7,9.5,2.5,2,2,1.5
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22.5,15.5,7,68.89%,,4,2.5,2,7,1.5,2.5,0,3
,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38.5,36,2.5,93.51%,,12,8,8,8,0,1.5,0,1
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,56.5,49,7.5,86.73%,,16.5,9.5,5.5,17.5,2,2,2.5,1
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,127,94.5,32.5,74.41%,,25,10.5,24,35,10.5,12.5,4,5.5
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,61,53.5,7.5,87.70%,,18,14.5,6.5,14.5,3,2,2,0.5
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,69,48,21,69.57%,,3,7,16,22,6.5,7,5,2.5
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,100.5,89.5,11,89.05%,,26.5,13,19.5,30.5,5.5,1,4,0.5
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,3,2.5,0.5,83.33%,,0,0,0.5,2,0.5,0,0,0
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43.5,38.5,5,88.51%,,7,4,11.5,16,2,1.5,0.5,1
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31.5,20,11.5,63.49%,,3,2,7.5,7.5,3,3,2,3.5
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,14.5,9.5,5,65.52%,,2,2,0,5.5,0.5,1.5,0.5,2.5
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,50,42.5,7.5,85.00%,,7.5,8,10,17,2.5,3.5,1,0.5
,RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,50.5,48.5,2,96.04%,,8.5,14,10.5,15.5,1,1,0,0
,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,17,15.5,1.5,91.18%,,3.5,4.5,3,4.5,1,0.5,0,0
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,69,61,8,88.41%,,16.5,11,15,18.5,5,1.5,0,1.5
,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18.5,16.5,2,89.19%,,7.5,4,2.5,2.5,0.5,0.5,0.5,0.5
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41.5,30.5,11,73.49%,,9,3,10,8.5,0.5,5.5,1,4
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,10.5,8,2.5,76.19%,,1.5,0,3,3.5,0.5,1,0.5,0.5
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,0.5,0,0.5,0,0,0,0,0
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,58.5,46.5,12,79.49%,,14.5,5,5,22,3.5,3,3,2.5
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25.5,21,4.5,82.35%,,10.5,2,2,6.5,0.5,0,1,3
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,117.5,102,15.5,86.81%,,35,11,23,33,4.5,4,3.5,3.5
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,19.5,16,3.5,82.05%,,2.5,3,2.5,8,1,1.5,0,1
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,28.5,22.5,6,78.95%,,11,1,4,6.5,2,1,2.5,0.5
,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2.5,1,1.5,40.00%,,0,1,0,0,0,1,0,0.5
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43.5,40,3.5,91.95%,,15,4,8,13,1.5,1,1,0
,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,84.5,73.5,11,86.98%,,30.5,11,11.5,20.5,3.5,3,3.5,1
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44.5,32.5,12,73.03%,,6,1.5,11.5,13.5,3,2.5,3,3.5
,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,3,2.5,0.5,83.33%,,0,0,1.5,1,0,0,0,0.5
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,ALL CANCERS,72,49.5,22.5,68.75%,,6,8,15,20.5,7,5.5,3.5,6.5
,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,13,12,1,92.31%,,7,2,1.5,1.5,0,0,0,1
,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46,35,11,76.09%,,8,2,8,17,1.5,5,2.5,2
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,79.5,54,25.5,67.92%,,13,11,9.5,20.5,6,6.5,4,9
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,79.5,49,30.5,61.64%,,11.5,3.5,10.5,23.5,4,8.5,3.5,14.5
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,55.5,49,6.5,88.29%,,11.5,5,8,24.5,2.5,3,0.5,0.5
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,74,61,13,82.43%,,18.5,5.5,8,29,4,3.5,2,3.5
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,70.5,43,27.5,60.99%,,16,4.5,9,13.5,6.5,8.5,10.5,2
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,86,70.5,15.5,81.98%,,27,11.5,6,26,6,3,3,3.5
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,ALL CANCERS,64,53,11,82.81%,,9,6,16,22,4,2.5,1.5,3
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,ALL CANCERS,128.5,94,34.5,73.15%,,20.5,13,26,34.5,12.5,11.5,3,7.5
,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45,35,10,77.78%,,6.5,6.5,9.5,12.5,4.5,3.5,2,0
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ADMITTED,ALL CANCERS,131.5,101.5,30,77.19%,,31,8,19,43.5,14.5,7.5,4,4
,RBK,WALSALL HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,32.5,29.5,3,90.77%,,13,4,3.5,9,1,2,0,0
,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26,20,6,76.92%,,6,2.5,5,6.5,1.5,1,2.5,1
,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,50.5,41,9.5,81.19%,,9.5,6,13,12.5,2.5,4,0.5,2.5
,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34.5,30.5,4,88.41%,,10,4,4.5,12,1,1.5,0,1.5
