62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
Oct-15,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56.5,49,7.5,86.73%,,14,3,12.5,19.5,3.5,1.5,1.5,1
,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28,25,3,89.29%,,7,8,6,4,1.5,1,0,0.5
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,61.5,55.5,6,90.24%,,5,13,12.5,25,0,1.5,0.5,4
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,64,46,18,71.88%,,9.5,4.5,7.5,24.5,8,4,2,4
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,52.5,46,6.5,87.62%,,15,6.5,11,13.5,0.5,3,2.5,0.5
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23,17.5,5.5,76.09%,,5,1.5,5.5,5.5,1,1,0.5,3
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52,47,5,90.38%,,6,8.5,13,19.5,1,1.5,1,1.5
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,75,59.5,15.5,79.33%,,8.5,4.5,27,19.5,5.5,2,5.5,2.5
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39.5,30.5,9,77.22%,,12.5,1,3,14,2,0.5,3.5,3
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,19.5,16,3.5,82.05%,,1.5,3,2,9.5,1,0,1.5,1
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45.5,41,4.5,90.11%,,12,5,14,10,1,1.5,0.5,1.5
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,27.5,11.5,70.51%,,5.5,6.5,5,10.5,1.5,3,4,3
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,64.5,43,21.5,66.67%,,11.5,7,9.5,15,4,5.5,6.5,5.5
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42,33.5,8.5,79.76%,,11,5,5,12.5,2,3,1,2.5
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,86,72,14,83.72%,,28,9,22,13,2.5,7,1.5,3
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,35.5,30.5,5,85.92%,,7,6.5,10.5,6.5,0.5,1,2.5,1
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,22.5,19,3.5,84.44%,,1,4.5,5.5,8,0,1.5,0,2
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,100.5,87,13.5,86.57%,,27.5,21.5,10.5,27.5,3.5,4,1.5,4.5
,RWV,DEVON PARTNERSHIP NHS TRUST,ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0.5,0,0,0
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46,37,9,80.43%,,3,9,17,8,1.5,2,3,2.5
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30.5,27,3.5,88.52%,,10,3,3,11,0.5,1,1,1
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,36,27,9,75.00%,,5,3.5,2.5,16,1.5,1,3,3.5
,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,14.5,11.5,3,79.31%,,2.5,2.5,4.5,2,0.5,0.5,0.5,1.5
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,113,77.5,35.5,68.58%,,14.5,11,17.5,34.5,5,7.5,7,16
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,47,41.5,5.5,88.30%,,12.5,8,10.5,10.5,0.5,1.5,2,1.5
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,69,47.5,21.5,68.84%,,14.5,10.5,11.5,11,4.5,5.5,3.5,8
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,20.5,15,5.5,73.17%,,2.5,4,3.5,5,1.5,0.5,1.5,2
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47.5,42.5,5,89.47%,,14,4.5,7,17,2,1.5,1.5,0
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41,34.5,6.5,84.15%,,7.5,7.5,8,11.5,1,1,3,1.5
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,20.5,17.5,3,85.37%,,5.5,5,1,6,1,1,0,1
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,95,70,25,73.68%,,8.5,8,19,34.5,11,4,4.5,5.5
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34,28.5,5.5,83.82%,,8,1,10,9.5,2.5,2,1,0
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,75.5,48.5,27,64.24%,,7,6.5,14,21,10.5,7,2,7.5
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,67,61.5,5.5,91.79%,,21,12,15,13.5,2.5,2,0,1
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30,27,3,90.00%,,8,4,5,10,1,0,2,0
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,105,84,21,80.00%,,24,8,18.5,33.5,9,3,3,6
,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31.5,29,2.5,92.06%,,7,4,5,13,0,0,1,1.5
,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ADMITTED,ALL CANCERS,20,14,6,70.00%,,3,2.5,1.5,7,3,0.5,1,1.5
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,10.5,9,1.5,85.71%,,3,0,4,2,0,0,1.5,0
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,94.5,63,31.5,66.67%,,20,8,7.5,27.5,2.5,10.5,7.5,11
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,53,48,5,90.57%,,9.5,5,11,22.5,2.5,0,1,1.5
,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,67.5,59.5,8,88.15%,,18.5,11.5,11,18.5,2,3,3,0
,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,18.5,14,4.5,75.68%,,4,3,2,5,3.5,0.5,0,0.5
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40.5,34,6.5,83.95%,,12,4,3,15,2,2,0.5,2
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43,35.5,7.5,82.56%,,4,2,9,20.5,2,2,0,3.5
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,81,77.5,3.5,95.68%,,30,16.5,10.5,20.5,1,2,0,0.5
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27.5,22.5,5,81.82%,,11,2.5,3,6,2,2,0,1
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,66,56,10,84.85%,,15.5,12,13.5,15,4,2.5,2,1.5
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,107.5,92,15.5,85.58%,,18,11.5,21.5,41,5.5,2.5,3,4.5
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,ADMITTED,ALL CANCERS,49,36,13,73.47%,,13.5,5.5,6.5,10.5,2,6,1.5,3.5
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,10.5,7.5,3,71.43%,,1,0.5,3.5,2.5,1.5,0.5,0,1
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18.5,12.5,6,67.57%,,2,1.5,0.5,8.5,1.5,3,0,1.5
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,47.5,38,9.5,80.00%,,5,4.5,6.5,22,4,1,1.5,3
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30.5,25.5,5,83.61%,,7.5,2,9,7,0,0,2,3
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,58.5,43,15.5,73.50%,,7,0,9.5,26.5,7,4.5,1.5,2.5
,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38.5,24.5,14,63.64%,,6.5,2,3,13,4.5,3,2,4.5
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24,21,3,87.50%,,5.5,5,2,8.5,0,0,1.5,1.5
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,66,43.5,22.5,65.91%,,6,8,13,16.5,10,3.5,2,7
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,73,58.5,14.5,80.14%,,14,7,14.5,23,3.5,7.5,0.5,3
,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30.5,25,5.5,81.97%,,6,4,7,8,1,2.5,0,2
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,106,82,24,77.36%,,29,13.5,14,25.5,5.5,8,4,6.5
,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,91.5,72.5,19,79.23%,,21,7.5,21,23,5.5,5,2.5,6
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,46.5,35.5,11,76.34%,,10,3,11.5,11,6.5,3.5,1,0
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,10.5,8,2.5,76.19%,,2,1,3,2,1,1.5,0,0
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38.5,33,5.5,85.71%,,14,7,5,7,0.5,0.5,1,3.5
,RV8,NORTH WEST LONDON HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0,0,0,0.5
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,44,40,4,90.91%,,11.5,9,7,12.5,2,1,0,1
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,26.5,22.5,4,84.91%,,9.5,3,3,7,1.5,1,1.5,0
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49.5,40,9.5,80.81%,,5,3,8,24,0,4,1,4.5
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35.5,29,6.5,81.69%,,6,4,6,13,4,1,0.5,1
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,108.5,85.5,23,78.80%,,14,7.5,26.5,37.5,7.5,4,6.5,5
,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,131.5,115.5,16,87.83%,,58,14.5,18.5,24.5,4.5,5,1,5.5
,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,3.5,2,1.5,57.14%,,0,0.5,0.5,1,1,0.5,0,0
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,55.5,46,9.5,82.88%,,14,3.5,11,17.5,1.5,2.5,2.5,3
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,58,53.5,4.5,92.24%,,11,7.5,14,21,0.5,1,2,1
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,99.5,75.5,24,75.88%,,25,19,11.5,20,7,9,2,6
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46.5,40,6.5,86.02%,,13.5,5,8.5,13,2.5,1,2,1
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,67,51.5,15.5,76.87%,,4.5,8,20.5,18.5,4,2.5,0.5,8.5
,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18.5,15.5,3,83.78%,,7.5,2.5,1.5,4,0.5,0.5,0.5,1.5
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,54.5,38,16.5,69.72%,,10,2,15.5,10.5,5,6,2.5,3
,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,9.5,4.5,5,47.37%,,0.5,0,1,3,1.5,1,1.5,1
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,72.5,58.5,14,80.69%,,21,11,8.5,18,5,2,1,6
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,141.5,120,21.5,84.81%,,49.5,19,28.5,23,3.5,6.5,3.5,8
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,83.5,54,29.5,64.67%,,14,4,19,17,4.5,6,7,12
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,25,20.5,4.5,82.00%,,3,4.5,5,8,0,1.5,0,3
,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,9,6.5,2.5,72.22%,,2,1,0,3.5,0,1,1,0.5
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46.5,39.5,7,84.95%,,6.5,6.5,8.5,18,2.5,3,0,1.5
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40,37,3,92.50%,,11,9,5.5,11.5,1,0,2,0
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27,25,2,92.59%,,7.5,2,10.5,5,0.5,0,1,0.5
,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30,29.5,0.5,98.33%,,14,6,4,5.5,0,0.5,0,0
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,49.5,39,10.5,78.79%,,9.5,6,7.5,16,1.5,1.5,1,6.5
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,110.5,81,29.5,73.30%,,11.5,18,18,33.5,7.5,10,3,9
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47,41,6,87.23%,,15.5,4,10,11.5,1,1.5,0.5,3
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,74,60,14,81.08%,,8.5,7,18,26.5,6.5,3.5,3,1
,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45,36.5,8.5,81.11%,,8,2,10.5,16,1.5,2,2,3
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,93.5,68,25.5,72.73%,,17,10,18,23,4.5,10,1.5,9.5
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,10.5,9.5,1,90.48%,,3,1,3,2.5,0.5,0.5,0,0
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,16.5,12.5,4,75.76%,,3,0,4.5,5,1.5,1,0,1.5
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33.5,21.5,12,64.18%,,6,3,5.5,7,1.5,5,1.5,4
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,22,18.5,3.5,84.09%,,7,1.5,3,7,3,0.5,0,0
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49,40,9,81.63%,,6,3,6,25,1.5,3.5,1,3
,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,57,51,6,89.47%,,17.5,9,10,14.5,2,1.5,1,1.5
,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,28,5,84.85%,,7.5,6,6,8.5,2,1.5,1,0.5
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,42,39.5,2.5,94.05%,,12,6,10,11.5,1,1.5,0,0
,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25,22.5,2.5,90.00%,,5,7.5,3,7,0,1,0.5,1
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,55.5,42.5,13,76.58%,,15,9,6,12.5,4.5,3.5,0,5
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,17.5,12.5,5,71.43%,,3,1,2.5,6,0.5,2,2,0.5
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,4,3,1,75.00%,,0.5,0,1,1.5,0.5,0.5,0,0
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52.5,45,7.5,85.71%,,11,6,15,13,2.5,4.5,0,0.5
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,20,17.5,2.5,87.50%,,12,1.5,1,3,0.5,2,0,0
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,103.5,89,14.5,85.99%,,18,16,11.5,43.5,5,3.5,2.5,3.5
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,31.5,25,6.5,79.37%,,10,1,3.5,10.5,5,1,0,0.5
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,29,24.5,4.5,84.48%,,4,6,3,11.5,1.5,1,1,1
,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,0,0,0,1,0,0,0,0
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30,26.5,3.5,88.33%,,4,4.5,6.5,11.5,1,0.5,0,2
,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,73,59.5,13.5,81.51%,,21.5,3,12.5,22.5,5,2,0,6.5
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48,38,10,79.17%,,8.5,4,12,13.5,3,1.5,3,2.5
,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,3.5,3.5,0,100.00%,,0,0,2,1.5,0,0,0,0
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,ALL CANCERS,60.5,43.5,17,71.90%,,8.5,9.5,7.5,18,4,8,4,1
,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0,0,0,0
,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,14,11,3,78.57%,,5,3,0,3,1.5,0,0.5,1
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,89.5,63.5,26,70.95%,,13,12,19,19.5,8.5,5.5,8,4
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37.5,22,15.5,58.67%,,3.5,3,2.5,13,3,4,3,5.5
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48.5,43.5,5,89.69%,,9,7.5,10,17,1.5,1,0,2.5
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56,42.5,13.5,75.89%,,13,5,12,12.5,6,3,4,0.5
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42,30.5,11.5,72.62%,,4.5,8,6.5,11.5,3.5,1.5,2.5,4
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,65.5,55.5,10,84.73%,,26.5,6,10,13,5,2,1.5,1.5
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,ALL CANCERS,56,47.5,8.5,84.82%,,11.5,5,11.5,19.5,2.5,1,2,3
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,ALL CANCERS,131,101.5,29.5,77.48%,,30.5,16,16.5,38.5,13,7,4,5.5
,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32,27,5,84.38%,,7,5,7,8,0,1.5,2,1.5
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ADMITTED,ALL CANCERS,106,76.5,29.5,72.17%,,18,8.5,18,32,11,8,5,5.5
,RBK,WALSALL HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,31.5,27.5,4,87.30%,,11.5,2,4,10,1.5,2,0,0.5
