62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
42644,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,28.5,26.5,2,92.98%,,4,5.5,6,11,0.5,1,0.5,0
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,22.5,17.5,5,77.78%,,1,1.5,5,10,2,1.5,0,1.5
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,72.5,57.5,15,79.31%,,13,8,14,22.5,4,3.5,4,3.5
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43.5,37.5,6,86.21%,,10.5,6.5,10.5,10,1,1.5,1.5,2
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25,19.5,5.5,78.00%,,4,1,3.5,11,3,0,1.5,1
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,46,26,20,56.52%,,11,0.5,8,6.5,4.5,6,2,7.5
,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,18.5,16.5,2,89.19%,,3.5,3,4,6,0.5,1,0,0.5
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,121.5,85,36.5,69.96%,,30.5,6.5,12.5,35.5,7,15,7,7.5
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,73.5,57.5,16,78.23%,,20,7.5,10,20,5,5,5,1
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,62.5,52.5,10,84.00%,,26,9.5,6.5,10.5,1.5,4,2,2.5
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,41.5,38,3.5,91.57%,,9,3,13,13,0,1,1,1.5
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,75.5,67.5,8,89.40%,,30.5,9,9.5,18.5,4,1.5,1,1.5
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38,32.5,5.5,85.53%,,9.5,2,7.5,13.5,3,1,0,1.5
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,20,16.5,3.5,82.50%,,6.5,3,2.5,4.5,2.5,0,0,1
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,73.5,57,16.5,77.55%,,9,0.5,20.5,27,6.5,4.5,1.5,4
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23,22,1,95.65%,,9,2,2,9,1,0,0,0
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,82,56.5,25.5,68.90%,,6,3,15,32.5,8.5,8,3.5,5.5
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,55.5,46,9.5,82.88%,,19.5,4,12,10.5,5,2.5,1.5,0.5
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,20.5,16.5,4,80.49%,,4.5,2.5,4,5.5,2.5,0,0.5,1
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2.5,1.5,1,60.00%,,0,1,0,0.5,0.5,0,0.5,0
,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ADMITTED,ALL CANCERS,23.5,21.5,2,91.49%,,7,3,4,7.5,1.5,0,0,0.5
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,11.5,8.5,3,73.91%,,4,1.5,1,2,1,1,0,1
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,82.5,61,21.5,73.94%,,14,12.5,12.5,22,3,9.5,4,5
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,73,60.5,12.5,82.88%,,14.5,12.5,11.5,22,1.5,3.5,2.5,5
,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,61,46.5,14.5,76.23%,,13,9,10,14.5,5,3,3,3.5
,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,18,16,2,88.89%,,4,0,5.5,6.5,0,1,0,1
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37,35,2,94.59%,,11,5,4,15,1.5,0,0,0.5
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36.5,31,5.5,84.93%,,9,3.5,8,10.5,2.5,2,0,1
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56.5,51,5.5,90.27%,,11.5,7,7,25.5,1.5,2,1,1
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26,22.5,3.5,86.54%,,10.5,3,3,6,1,0.5,2,0
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,64,58,6,90.63%,,14,7,15.5,21.5,1.5,1,2,1.5
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,115,90.5,24.5,78.70%,,17,13.5,32.5,27.5,11,5,3.5,5
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,ADMITTED,ALL CANCERS,56,46,10,82.14%,,13,4,13,16,3.5,2,4,0.5
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,10,8.5,1.5,85.00%,,2.5,1,1.5,3.5,0.5,0,0,1
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0,0.5,0,0,0,0
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,67,51,16,76.12%,,14,8.5,10,18.5,5.5,2.5,3.5,4.5
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25.5,21,4.5,82.35%,,8,2.5,4,6.5,0.5,0.5,2,1.5
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,66,48,18,72.73%,,7.5,4,10.5,26,5,7,2,4
,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44.5,34,10.5,76.40%,,2.5,5,12,14.5,1,2,2.5,5
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24.5,23,1.5,93.88%,,6.5,6,7,3.5,1,0,0,0.5
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,63,43,20,68.25%,,9.5,8.5,10,15,9,3.5,4.5,3
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,83.5,75,8.5,89.82%,,19,12,17.5,26.5,2.5,2.5,2,1.5
,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,20.5,17.5,3,85.37%,,4,4,4.5,5,1,1.5,0.5,0
,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2,2,0,100.00%,,0,0,1,1,0,0,0,0
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,108,82,26,75.93%,,34.5,8,17,22.5,4.5,9.5,3,9
,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,98.5,77.5,21,78.68%,,29,17.5,11,20,6.5,5,5.5,4
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,47.5,42,5.5,88.42%,,18,10,8,6,1,2,1,1.5
,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0,0.5,0,0,0,0
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,17,9,8,52.94%,,3,1,2,3,1.5,2.5,1.5,2.5
,RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0.5,0,0,0,0,0,0,0
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43,39.5,3.5,91.86%,,16.5,6,7.5,9.5,2.5,0,1,0
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,49,40,9,81.63%,,14,3.5,7.5,15,1.5,3,3.5,1
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,35.5,32,3.5,90.14%,,15,5,6.5,5.5,0.5,1.5,1,0.5
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,61,51.5,9.5,84.43%,,14,6,6.5,25,1,4,1.5,3
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32,27,5,84.38%,,4,4,7.5,11.5,2.5,2,0,0.5
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,77,61,16,79.22%,,16,12.5,15,17.5,3,6,4.5,2.5
,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,110.5,83.5,27,75.57%,,45,8,15.5,15,7.5,5.5,4,10
,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,5.5,4.5,1,81.82%,,0,0,0.5,4,0,1,0,0
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,58,46,12,79.31%,,14,10,5,17,4.5,3,1,3.5
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,55,52,3,94.55%,,18,5,9,20,0,1,1,1
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,101.5,73.5,28,72.41%,,17,12.5,27,17,7.5,4.5,3,13
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,50,44,6,88.00%,,18,7,8,11,2,2.5,1,0.5
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,87.5,72.5,15,82.86%,,20.5,10.5,13,28.5,5,3.5,2,4.5
,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,20.5,15,5.5,73.17%,,6,2.5,1.5,5,2,1,1.5,1
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,57.5,43,14.5,74.78%,,10,7,10,16,6.5,4.5,1.5,2
,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,5,4,1,80.00%,,0,0.5,0.5,3,0,0.5,0,0.5
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,95.5,84.5,11,88.48%,,42,11,13,18.5,5.5,1,2,2.5
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,128,99.5,28.5,77.73%,,47.5,17,13.5,21.5,5.5,6,4,13
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,80.5,62.5,18,77.64%,,16,9,12.5,25,4.5,6.5,2.5,4.5
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,34,27.5,6.5,80.88%,,8.5,6.5,6,6.5,2.5,1.5,2,0.5
,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,10,5.5,4.5,55.00%,,0,0,0.5,5,2,0.5,0,2
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,50,39,11,78.00%,,6,5,7,21,1.5,1,2,6.5
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38.5,32.5,6,84.42%,,8,6,8,10.5,4,1,1,0
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27,25.5,1.5,94.44%,,7,3.5,7,8,0,0,1,0.5
,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32,29.5,2.5,92.19%,,11.5,2,10.5,5.5,2,0.5,0,0
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,52.5,45.5,7,86.67%,,13,8,8,16.5,5.5,0,0,1.5
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,111.5,91.5,20,82.06%,,21.5,23,18.5,28.5,7,5.5,1.5,6
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49.5,39.5,10,79.80%,,8,7,11.5,13,4.5,3,1.5,1
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,63,53,10,84.13%,,10,7,8,28,1,5,2,2
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,99,76.5,22.5,77.27%,,26,16,12.5,22,8,5,5,4.5
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,13,11,2,84.62%,,1,0.5,3,6.5,1,0,1,0
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37,31,6,83.78%,,5.5,6,5.5,14,2.5,0.5,1.5,1.5
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38.5,30.5,8,79.22%,,9,5.5,4.5,11.5,1.5,1,3,2.5
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,15,13,2,86.67%,,3,2,2.5,5.5,0,1,1,0
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46.5,41,5.5,88.17%,,7.5,5,8.5,20,1.5,1.5,0.5,2
,RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,50.5,46.5,4,92.08%,,12,6,11,17.5,0,0.5,2.5,1
,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31,27.5,3.5,88.71%,,9.5,1,9,8,2,1,0.5,0
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,56.5,52,4.5,92.04%,,10.5,9.5,17.5,14.5,3,0.5,0,1
,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18.5,18,0.5,97.30%,,2.5,1.5,9,5,0,0,0.5,0
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,88,73,15,82.95%,,14.5,16.5,25.5,16.5,3.5,5,2.5,4
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18,13.5,4.5,75.00%,,0.5,0.5,2.5,10,1,1,1.5,1
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0,0.5,0,0,0,0
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44.5,36,8.5,80.90%,,8,5.5,7,15.5,4,2.5,0,2
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22,19.5,2.5,88.64%,,6,4,1.5,8,0,1.5,0,1
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,85,72,13,84.71%,,17.5,10.5,16,28,4.5,2.5,1.5,4.5
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,25,21,4,84.00%,,6.5,5,3,6.5,1.5,2,0,0.5
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,38,31.5,6.5,82.89%,,5,8,9,9.5,0,2.5,2.5,1.5
,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2,2,0,100.00%,,1,1,0,0,0,0,0,0
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36.5,32.5,4,89.04%,,13.5,7.5,4.5,7,2,2,0,0
,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,69.5,57.5,12,82.73%,,28,12,10.5,7,1,4.5,3.5,3
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,54,45,9,83.33%,,12,8,6.5,18.5,1.5,4,1,2.5
,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,3,1.5,1.5,50.00%,,0,0,1,0.5,0,0.5,0,1
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,ALL CANCERS,56.5,38.5,18,68.14%,,8,3.5,8,19,6.5,4,2,5.5
,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,15,13,2,86.67%,,6,1,2.5,3.5,0.5,0.5,0.5,0.5
,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,61,49,12,80.33%,,8,5,14,22,4,4,1,3
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,62,41,21,66.13%,,11,11,7.5,11.5,4,8,3,6
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,59.5,44,15.5,73.95%,,10,7,11.5,15.5,4.5,3.5,3,4.5
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,60,51,9,85.00%,,10,5.5,12,23.5,3,3.5,2.5,0
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,97,82,15,84.54%,,16.5,8,22.5,35,3,8,2.5,1.5
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,67.5,53,14.5,78.52%,,15,2.5,13,22.5,5,6,2.5,1
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,67.5,55,12.5,81.48%,,13.5,10.5,15.5,15.5,6.5,3,0.5,2.5
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,ALL CANCERS,58,44.5,13.5,76.72%,,10,2,8,24.5,4,4.5,3.5,1.5
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,ALL CANCERS,109,69,40,63.30%,,18,13.5,14.5,23,18,8,8,6
,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,54,42,12,77.78%,,10.5,3.5,7.5,20.5,5,3,3,1
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ADMITTED,ALL CANCERS,98,61,37,62.24%,,10,6,17,28,11,11.5,5,9.5
,RBK,WALSALL HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,34.5,31,3.5,89.86%,,16,6,3,6,1.5,1,1,0
,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,19,17.5,1.5,92.11%,,3,2,3.5,9,0.5,0,0,1
