62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,19.5,18,1.5,92.31%,,7.5,2.5,4,4,0.5,1,0,0
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,58.5,47,11.5,80.34%,,6,10,12.5,18.5,5,3,2,1.5
,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0.5,0,0,0,0,0,0
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,60.5,39,21.5,64.46%,,10.5,6,7.5,15,7.5,3,4,7
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,60,53,7,88.33%,,24,12,5,12,1,3,2.5,0.5
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35.5,23.5,12,66.20%,,10,3.5,5,5,2,6.5,1.5,2
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44,37.5,6.5,85.23%,,17,6,6,8.5,0.5,1.5,3.5,1
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45.5,34.5,11,75.82%,,9,6,9,10.5,1,4.5,3,2.5
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32,26,6,81.25%,,6,4,3,13,1.5,2.5,0,2
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18.5,15,3.5,81.08%,,4.5,2,3,5.5,0.5,0,2.5,0.5
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41.5,34.5,7,83.13%,,9,4,10,11.5,5,2,0,0
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40,31.5,8.5,78.75%,,10.5,5.5,11,4.5,3,2.5,0,3
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,74.5,49,25.5,65.77%,,24.5,8,6,10.5,10,5.5,4,6
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25,20.5,4.5,82.00%,,6,8,4,2.5,2,0.5,1,1
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,76.5,63.5,13,83.01%,,25,7,15,16.5,4.5,2.5,4,2
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,19.5,15.5,4,79.49%,,5,1,1.5,8,2.5,1,0,0.5
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,32.5,26,6.5,80.00%,,3,5.5,6.5,11,2,2,1.5,1
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,76,56.5,19.5,74.34%,,14,8.5,11,23,6,5.5,0.5,7.5
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32.5,29,3.5,89.23%,,9.5,3,9,7.5,0.5,0.5,1.5,1
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31.5,26.5,5,84.13%,,9.5,5,6,6,0.5,2,2,0.5
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,57,36,21,63.16%,,17,0,7.5,11.5,4.5,2.5,7.5,6.5
,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,19,17,2,89.47%,,6.5,4.5,1.5,4.5,0,0.5,1.5,0
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,121,85.5,35.5,70.66%,,27,10.5,15.5,32.5,7.5,8,12,8
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,51.5,40.5,11,78.64%,,18,6,8.5,8,3.5,1.5,2.5,3.5
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,75.5,55,20.5,72.85%,,22.5,11.5,10,11,1.5,6,2,11
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,26,20.5,5.5,78.85%,,6,2.5,5.5,6.5,2.5,1.5,0.5,1
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,67,62.5,4.5,93.28%,,27,10,13.5,12,0,0,2,2.5
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25.5,21.5,4,84.31%,,4,3.5,5,9,3,0.5,0.5,0
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,18,15,3,83.33%,,4,4.5,1,5.5,0,1.5,0.5,1
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,84.5,63.5,21,75.15%,,16,11.5,14,22,6.5,5.5,3,6
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34,28.5,5.5,83.82%,,11,7,4,6.5,1.5,2.5,1.5,0
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,73.5,44,29.5,59.86%,,6.5,5,3.5,29,10,7.5,4.5,7.5
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49,41,8,83.67%,,12,10,8.5,10.5,2.5,1.5,0.5,3.5
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22,16.5,5.5,75.00%,,5,3,0,8.5,1,0,2,2.5
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,100.5,87,13.5,86.57%,,20.5,17,25,24.5,5,6,2,0.5
,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ADMITTED,ALL CANCERS,17,14,3,82.35%,,3.5,5,1.5,4,1,1,0,1
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,12,11,1,91.67%,,1.5,3,0,6.5,0,0,1,0
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,81,64.5,16.5,79.63%,,20,9,12,23.5,4,5,4.5,3
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,56,43.5,12.5,77.68%,,14.5,4,9.5,15.5,4,4,2,2.5
,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,50,40.5,9.5,81.00%,,15,6,10.5,9,1.5,1.5,2.5,4
,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,10.5,9.5,1,90.48%,,3.5,3.5,2,0.5,1,0,0,0
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29.5,27.5,2,93.22%,,16,0,6,5.5,0.5,0.5,1,0
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36.5,29,7.5,79.45%,,8,4,7,10,3,2.5,2,0
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,80,66.5,13.5,83.13%,,25.5,7,13,21,3.5,6,0.5,3.5
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37.5,34.5,3,92.00%,,17,3.5,6,8,0,0.5,1.5,1
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,76,59,17,77.63%,,28,7,7,17,6,7.5,0.5,3
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,100.5,73,27.5,72.64%,,19,10,16.5,27.5,11.5,6.5,4,5.5
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,ADMITTED,ALL CANCERS,53,38.5,14.5,72.64%,,12.5,5.5,5.5,15,7.5,3.5,1.5,2
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,7,6,1,85.71%,,2,1.5,0.5,2,0.5,0.5,0,0
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,7.5,6,1.5,80.00%,,0,0,0.5,5.5,0,0.5,1,0
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,37,30,7,81.08%,,12.5,5,3.5,9,2.5,3,1.5,0
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22,18,4,81.82%,,6,4,3.5,4.5,0,1,1.5,1.5
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,67.5,41.5,26,61.48%,,7,4,8,22.5,5,6.5,5.5,9
,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34.5,24.5,10,71.01%,,9,3,6,6.5,2,3.5,0.5,4
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26,24,2,92.31%,,7.5,7,4,5.5,1,0.5,0,0.5
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,78.5,56,22.5,71.34%,,12.5,12,21.5,10,6,6,2.5,8
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,56.5,49,7.5,86.73%,,18,9,9.5,12.5,4,1.5,0.5,1.5
,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,20,17,3,85.00%,,6.5,2,4,4.5,1.5,1.5,0,0
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,97.5,71,26.5,72.82%,,27,12,7,25,8,8.5,5,5
,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,99,85,14,85.86%,,27.5,12.5,21,24,1.5,4.5,5.5,2.5
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,42.5,35.5,7,83.53%,,13,9.5,5,8,2.5,2,1.5,1
,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,0.5,0.5,50.00%,,0,0.5,0,0,0,0,0,0.5
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,15.5,12,3.5,77.42%,,2.5,0,2.5,7,1,1,0,1.5
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44.5,39.5,5,88.76%,,13,5.5,11.5,9.5,3.5,0,0,1.5
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,28.5,21,7.5,73.68%,,6.5,2,7,5.5,0.5,3.5,3.5,0
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,4.5,1.5,3,33.33%,,0,0,1,0.5,1,1,0.5,0.5
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40,30.5,9.5,76.25%,,5,4,4.5,17,2,4,3,0.5
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,27,6,81.82%,,10,2.5,5.5,9,2,1,1,2
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,97.5,72.5,25,74.36%,,19,10,20,23.5,7,8,1.5,8.5
,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,132,108,24,81.82%,,45,12,24.5,26.5,9.5,5.5,5.5,3.5
,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2.5,2.5,0,100.00%,,0,0,0.5,2,0,0,0,0
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,58.5,47.5,11,81.20%,,18,7,9.5,13,2,2,2,5
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34.5,28.5,6,82.61%,,9.5,3.5,6,9.5,1,3,0.5,1.5
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,101,74,27,73.27%,,26,11,14,23,7.5,9,6,4.5
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46.5,40.5,6,87.10%,,19.5,3,11,7,1.5,2,1.5,1
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,66,56.5,9.5,85.61%,,13,10.5,6.5,26.5,4,2.5,2,1
,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,14,11.5,2.5,82.14%,,6,1,3,1.5,0.5,0,0.5,1.5
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,51,42,9,82.35%,,10,5,8.5,18.5,1.5,5,0,2.5
,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,4,3,1,75.00%,,0.5,1,0,1.5,0.5,0.5,0,0
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,95.5,87,8.5,91.10%,,57,5,10,15,1.5,1.5,2,3.5
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,93.5,70,23.5,74.87%,,40,11.5,11,7.5,7.5,8,3,5
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,74,60.5,13.5,81.76%,,23.5,8.5,8,20.5,3,5.5,2.5,2.5
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,20.5,18,2.5,87.80%,,2,6,2,8,0,1,0.5,1
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28.5,23,5.5,80.70%,,5,4,4.5,9.5,0.5,0.5,2,2.5
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38.5,30.5,8,79.22%,,7,4,8,11.5,4.5,1,1.5,1
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27,22,5,81.48%,,6.5,1,4.5,10,0.5,3,0.5,1
,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25,21.5,3.5,86.00%,,5.5,5,6,5,0.5,1,1,1
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,54.5,42,12.5,77.06%,,10,10,5,17,2.5,4,2.5,3.5
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,107.5,89,18.5,82.79%,,29,16,18,26,9,6,0.5,3
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37,33,4,89.19%,,8.5,5.5,11,8,1,1,1,1
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,54,46.5,7.5,86.11%,,16,8,7,15.5,3,0,1.5,3
,RRE,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0,0,0,0.5
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,83,64.5,18.5,77.71%,,22,10.5,9,23,5,5.5,4.5,3.5
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,10.5,10.5,0,100.00%,,0.5,3,2.5,4.5,0,0,0,0
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23.5,18.5,5,78.72%,,3,2,6,7.5,2.5,1,1,0.5
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,26.5,12.5,67.95%,,10,0.5,6.5,9.5,4.5,3.5,2,2.5
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,13.5,11.5,2,85.19%,,4.5,2,2,3,0,0.5,0,1.5
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46,39.5,6.5,85.87%,,20.5,2.5,8,8.5,2.5,2.5,1,0.5
,RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,31.5,29.5,2,93.65%,,11,6.5,6,6,0,1,0.5,0.5
,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32.5,29.5,3,90.77%,,9.5,5.5,4,10.5,0,1,0,2
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,48,44,4,91.67%,,12,10.5,9,12.5,1.5,1,0,1.5
,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28.5,26,2.5,91.23%,,7,4.5,9,5.5,0.5,0.5,0,1.5
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,3.5,1,2.5,28.57%,,0.5,0,0,0.5,0,1.5,0.5,0.5
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,20,12,8,60.00%,,1,1.5,3,6.5,2,2,3,1
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,0.5,0,0,0.5,0,0,0,0
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,51.5,41.5,10,80.58%,,12,8,10.5,11,2.5,4.5,1.5,1.5
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27,25,2,92.59%,,9,3.5,6,6.5,1,1,0,0
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,75,63.5,11.5,84.67%,,17,14,10.5,22,7.5,1,1.5,1.5
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,34,30.5,3.5,89.71%,,12.5,3,7.5,7.5,1,1,0.5,1
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,20.5,12.5,8,60.98%,,7,0.5,2.5,2.5,1.5,2.5,1,3
,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0.5,0,0,0,0,0,0,0
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27.5,25,2.5,90.91%,,10.5,4,6.5,4,0,0.5,1,1
,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,62.5,49,13.5,78.40%,,29,3,7,10,3,5,4,1.5
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43.5,37,6.5,85.06%,,6.5,4.5,10,16,2,2,2,0.5
,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2.5,2,0.5,80.00%,,0,0,0,2,0,0,0.5,0
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,ALL CANCERS,60,46,14,76.67%,,16,5.5,12,12.5,4,4,2.5,3.5
,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,12,12,0,100.00%,,10,0,0,2,0,0,0,0
,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,3.5,1.5,2,42.86%,,0,0.5,0,1,0.5,0.5,0,1
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,63.5,37.5,26,59.06%,,9,5,13,10.5,8.5,7,3.5,7
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,63,44,19,69.84%,,12.5,7,7,17.5,6.5,3.5,1.5,7.5
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,63.5,51.5,12,81.10%,,13,7.5,9.5,21.5,5,1.5,2.5,3
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,66,48.5,17.5,73.48%,,16,4.5,9.5,18.5,7,1.5,3,6
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43.5,30.5,13,70.11%,,15,2.5,5,8,2,3.5,4.5,3
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,74.5,56.5,18,75.84%,,25,8.5,9,14,4,7,3.5,3.5
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,ALL CANCERS,53,44.5,8.5,83.96%,,7,3.5,11,23,2.5,4.5,1,0.5
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,ALL CANCERS,83,58.5,24.5,70.48%,,13.5,9.5,17.5,18,13,5.5,3,3
,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35,25,10,71.43%,,3.5,2.5,9.5,9.5,5.5,2.5,1,1
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ADMITTED,ALL CANCERS,124.5,83.5,41,67.07%,,31,4.5,16,32,11,17,4.5,8.5
,RBK,WALSALL HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,16,14,2,87.50%,,2,4,2.5,5.5,0,1,0.5,0.5
,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24.5,21.5,3,87.76%,,3,4,8,6.5,0,1.5,1.5,0
