62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: December 2015,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,82,71,11,86.59%,,26,10.5,15,19.5,2.5,3.5,2.5,2.5
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22,20.5,1.5,93.18%,,7,3.5,4,6,0,1,0.5,0
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,63,47.5,15.5,75.40%,,17,7.5,13,10,7,4,2.5,2
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,108.5,92.5,16,85.25%,,28,8.5,22,34,7,5,2,2
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,ADMITTED,ALL CANCERS,41,35,6,85.37%,,9,3,13.5,9.5,3,1.5,0.5,1
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,8,7,1,87.50%,,3,0.5,0.5,3,0,0,1,0
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,9,8.5,0.5,94.44%,,1.5,0.5,1,5.5,0,0,0.5,0
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,52.5,42.5,10,80.95%,,12,6,5.5,19,5,1,2.5,1.5
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32.5,29.5,3,90.77%,,8.5,5,9.5,6.5,1,0.5,0,1.5
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,76.5,57,19.5,74.51%,,4,6.5,14,32.5,7,5,0.5,7
,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36.5,26,10.5,71.23%,,5,3,9,9,3.5,3.5,1.5,2
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24,23,1,95.83%,,8,7.5,3.5,4,0,0,0,1
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,64,48.5,15.5,75.78%,,15.5,4,14.5,14.5,6.5,3,3,3
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,65.5,57,8.5,87.02%,,21.5,8,12,15.5,1.5,2.5,1,3.5
,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22,19.5,2.5,88.64%,,1,4.5,6,8,0,1,0.5,1
,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0.5,0,0,0,0,0,0
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,125,98,27,78.40%,,33.5,11.5,13,40,15,6.5,1,4.5
,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,85,74,11,87.06%,,13.5,10.5,16,34,4,3,1.5,2.5
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,44,32,12,72.73%,,7,5.5,10,9.5,4,3,3.5,1.5
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,15.5,13.5,2,87.10%,,4,2,2,5.5,0,0.5,0,1.5
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25,20.5,4.5,82.00%,,8.5,1,5,6,0.5,1.5,1.5,1
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,45,32,13,71.11%,,6,11,5,10,3,4,2.5,3.5
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,32,30.5,1.5,95.31%,,13,5.5,8.5,3.5,0,1,0,0.5
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52.5,47,5.5,89.52%,,9.5,5,6,26.5,0.5,2,0,3
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46.5,41,5.5,88.17%,,11.5,5,9,15.5,0,0.5,1.5,3.5
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,100.5,72.5,28,72.14%,,14.5,13,12.5,32.5,11,5.5,3.5,8
,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,78.5,63,15.5,80.25%,,26.5,5,8,23.5,8,4.5,0,3
,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2.5,1.5,1,60.00%,,0,0.5,0,1,0.5,0.5,0,0
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,46.5,43,3.5,92.47%,,8,10.5,9.5,15,0.5,1,1,1
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,69.5,62.5,7,89.93%,,17,5,15,25.5,2.5,1,2,1.5
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,101.5,79.5,22,78.33%,,18,13,14,34.5,7,6,2,7
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46.5,41,5.5,88.17%,,4,11,13.5,12.5,0.5,3.5,0.5,1
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,74,59.5,14.5,80.41%,,11.5,1,19,28,6,3,3,2.5
,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24,18,6,75.00%,,9.5,2.5,1,5,3,1.5,1,0.5
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52.5,36.5,16,69.52%,,7,4,12.5,13,4.5,4.5,2.5,4.5
,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,6.5,2.5,4,38.46%,,0.5,0.5,0.5,1,0.5,1,0.5,2
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,75.5,62.5,13,82.78%,,20,4,11,27.5,6.5,4,1,1.5
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,106,92.5,13.5,87.26%,,31,25,19.5,17,2.5,4,3.5,3.5
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,83,64.5,18.5,77.71%,,17,10,19.5,18,8,1.5,3,6
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,20.5,17,3.5,82.93%,,3.5,2.5,5,6,0.5,0.5,1,1.5
,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,6,5.5,0.5,91.67%,,0,1.5,2,2,0,0,0.5,0
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47,40,7,85.11%,,7.5,4.5,8,20,3,0.5,1,2.5
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35.5,29.5,6,83.10%,,2,5.5,4.5,17.5,2,3.5,0,0.5
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25.5,22.5,3,88.24%,,8.5,2,4.5,7.5,0,1,1,1
,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41.5,39,2.5,93.98%,,20,6,6,7,2.5,0,0,0
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,43,37,6,86.05%,,12,6,6.5,12.5,1.5,0,1,3.5
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,92,73.5,18.5,79.89%,,9.5,15,17,32,5,3.5,4.5,5.5
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35,26,9,74.29%,,8.5,5,5.5,7,3.5,1.5,2.5,1.5
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,83,67.5,15.5,81.33%,,10.5,11,16.5,29.5,2,7.5,1,5
,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42,37.5,4.5,89.29%,,8,3,9,17.5,0,3,0.5,1
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,117.5,96.5,21,82.13%,,19,16,22,39.5,7,6,3,5
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18,18,0,100.00%,,1.5,3,6.5,7,0,0,0,0
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,3.5,3.5,0,100.00%,,0,0,0.5,3,0,0,0,0
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49,41,8,83.67%,,11.5,11.5,7,11,1.5,1,4.5,1
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,22.5,20.5,2,91.11%,,6.5,1.5,5,7.5,2,0,0,0
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47,38.5,8.5,81.91%,,13.5,4,10.5,10.5,2,2.5,2,2
,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,46,39,7,84.78%,,13.5,9,5.5,11,1.5,1.5,0.5,3.5
,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26.5,25,1.5,94.34%,,6,2.5,6,10.5,0,0.5,0,1
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,47.5,43,4.5,90.53%,,9.5,7.5,12.5,13.5,0,1,2,1.5
,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33.5,31.5,2,94.03%,,11.5,5,5,10,0.5,1,0,0.5
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,66.5,62.5,4,93.98%,,15,14.5,12.5,20.5,3,0,0,1
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,21,17.5,3.5,83.33%,,1,3,5.5,8,1,0.5,0.5,1.5
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,4.5,3,1.5,66.67%,,1.5,0,0.5,1,0.5,0,0.5,0.5
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,60,56.5,3.5,94.17%,,21.5,13,10,12,0.5,1,1,1
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18,16.5,1.5,91.67%,,7,2,5,2.5,1,0.5,0,0
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,113,102.5,10.5,90.71%,,29.5,13.5,23.5,36,3.5,5,1,1
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,20,15.5,4.5,77.50%,,6.5,3,1.5,4.5,1,1,2.5,0
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,22,19.5,2.5,88.64%,,11,0,3.5,5,0.5,1.5,0,0.5
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32.5,32.5,0,100.00%,,9,5.5,11.5,6.5,0,0,0,0
,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,62,56,6,90.32%,,21,7,10,18,2,0,2,2
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43,37.5,5.5,87.21%,,5.5,3,11.5,17.5,1,1,1,2.5
,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2.5,2,0.5,80.00%,,0,0,0,2,0.5,0,0,0
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,ALL CANCERS,48,40.5,7.5,84.38%,,7,7,7.5,19,1.5,2,0,4
,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,22.5,22,0.5,97.78%,,8.5,5,5,3.5,0,0,0,0.5
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,75.5,60,15.5,79.47%,,12,13,12.5,22.5,3.5,2,2.5,7.5
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47.5,32.5,15,68.42%,,11,3.5,4,14,6,2.5,1,5.5
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,59,53.5,5.5,90.68%,,9,7,12,25.5,1.5,1.5,1,1.5
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,89.5,73.5,16,82.12%,,16.5,15,18.5,23.5,9.5,1,2,3.5
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,60.5,52,8.5,85.95%,,11.5,7,11,22.5,2,0,3,3.5
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,70.5,60,10.5,85.11%,,20.5,10,7.5,22,5.5,2,2,1
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,ALL CANCERS,63,46,17,73.02%,,11,6,11,18,6,4.5,2,4.5
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,ALL CANCERS,113,89.5,23.5,79.20%,,20.5,17.5,23.5,28,8,7,3,5.5
,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,36,3,92.31%,,9.5,4,7,15.5,2,0,1,0
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ADMITTED,ALL CANCERS,111.5,76.5,35,68.61%,,23.5,5,15,33,15,7.5,5,7.5
,RBK,WALSALL HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,32,28.5,3.5,89.06%,,9,5,6.5,8,1,0,0,2.5
,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,14,12,2,85.71%,,3.5,1,2.5,5,0.5,0,0,1.5
