62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: July 2015,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See bottom of page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 62 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
E18000007,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,25.5,20.5,5,80.39%,,3.5,1,10,6,1,1,1.5,1.5
E18000008,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,38.5,32.5,6,84.42%,,5,4,6,17.5,0,3,1.5,1.5
E18000004,RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,81,64,17,79.01%,,13,10,18,23,3.5,5.5,3.5,4.5
E18000003,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42.5,35,7.5,82.35%,,11,3,12,9,3,0.5,1,3
E18000010,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30.5,26.5,4,86.89%,,12,3,2,9.5,1,1,0,2
E18000006,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,35,27.5,7.5,78.57%,,12,4,5,6.5,2,3,1.5,1
E18000002,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,17.5,15.5,2,88.57%,,2.5,1.5,5,6.5,1.5,0,0,0.5
E18000008,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,97.5,62.5,35,64.10%,,13,6,12,31.5,6,1.5,11.5,16
E18000002,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,60.5,50.5,10,83.47%,,13.5,8.5,11,17.5,5.5,1,1.5,2
E18000008,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,102.5,74,28.5,72.20%,,25,18.5,16,14.5,8.5,6,2.5,11.5
E18000007,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,29,16,13,55.17%,,2.5,0.5,1.5,11.5,2,7.5,1,2.5
E18000008,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44,39.5,4.5,89.77%,,9,8,8.5,14,0,2,0,2.5
E18000001,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43,36.5,6.5,84.88%,,6,2.5,9,19,5,1,0,0.5
E18000005,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,16.5,14.5,2,87.88%,,8.5,4,0,2,0.5,0.5,1,0
E18000010,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,88.5,56,32.5,63.28%,,4.5,5,11,35.5,11,5,3,13.5
E18000010,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36.5,30.5,6,83.56%,,13,4,9,4.5,3,2,0,1
E18000007,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,90.5,57,33.5,62.98%,,11,6,13,27,8.5,7,7.5,10.5
E18000009,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,72,63.5,8.5,88.19%,,18,16,15,14.5,3,2,1.5,2
E18000003,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38,33.5,4.5,88.16%,,8,7,8.5,10,1,2,1,0.5
E18000005,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,106,80,26,75.47%,,18,11,18.5,32.5,8,8,3,7
E18000009,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,50.5,46.5,4,92.08%,,16,9,5.5,16,0,0,1,3
E18000006,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ADMITTED,ALL CANCERS,18.5,16,2.5,86.49%,,5,3,3,5,2,0.5,0,0
E18000007,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,16.5,15,1.5,90.91%,,5,4.5,1,4.5,1,0,0,0.5
E18000003,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,88,63,25,71.59%,,19.5,8,9,26.5,10,7.5,4.5,3
E18000007,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,58,44,14,75.86%,,6.5,5,9.5,23,1.5,5.5,4,3
E18000006,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,54,47,7,87.04%,,18,9.5,8,11.5,5,0.5,1,0.5
E18000009,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,20,15.5,4.5,77.50%,,4,5,1.5,5,2,1,1.5,0
E18000006,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37.5,34.5,3,92.00%,,10,8,10,6.5,1,0.5,1.5,0
E18000004,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,30,9,76.92%,,2.5,3.5,6,18,2,4,1,2
E18000007,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,93.5,84,9.5,89.84%,,35,11,14.5,23.5,3.5,1.5,2.5,2
E18000007,RAX,KINGSTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,36.5,31.5,5,86.30%,,11.5,7,4.5,8.5,3,1,1,0
E18000002,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,76.5,62.5,14,81.70%,,8.5,11,19.5,23.5,3.5,3.5,2.5,4.5
E18000003,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,145.5,123.5,22,84.88%,,23,24,26,50.5,2.5,5.5,4.5,9.5
E18000007,RJ2,LEWISHAM HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,54,44.5,9.5,82.41%,,13,6,13.5,12,3,2.5,2,2
E18000002,RBQ,LIVERPOOL HEART AND CHEST NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,9,7,2,77.78%,,0,3,1,3,0.5,1.5,0,0
E18000002,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,12.5,12.5,0,100.00%,,2.5,1.5,1,7.5,0,0,0,0
N/A,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,51.5,39.5,12,76.70%,,14,6,6,13.5,1.5,5,1,4.5
E18000006,RC9,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31.5,28.5,3,90.48%,,6,5.5,7.5,9.5,0,0,0,3
E18000008,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,65,50.5,14.5,77.69%,,4,12.5,7,27,4,3,5,2.5
E18000008,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2.5,1.5,1,60.00%,,0,0,0,1.5,0.5,0,0,0.5
E18000002,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25,24.5,0.5,98.00%,,7.5,4.5,9,3.5,0,0,0,0.5
E18000006,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,62.5,43.5,19,69.60%,,13.5,4.5,10.5,15,6,5,2.5,5.5
E18000003,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,76.5,68,8.5,88.89%,,12.5,9.5,13.5,32.5,3,3,2,0.5
E18000009,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26,21.5,4.5,82.69%,,3,4.5,5,9,3,1,0,0.5
E18000006,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,111.5,83,28.5,74.44%,,22,6.5,18.5,36,10,6,5.5,7
E18000010,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,98.5,82,16.5,83.25%,,24.5,9.5,22,26,5,5.5,3.5,2.5
E18000002,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,57,45.5,11.5,79.82%,,12,7,11,15.5,3,2.5,4,2
E18000007,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,10.5,9,1.5,85.71%,,1.5,0,0.5,7,0,0,0,1.5
E18000001,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40.5,33.5,7,82.72%,,5,11,5,12.5,3,2,1,1
E18000004,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,71,51,20,71.83%,,11.5,6.5,8.5,24.5,5,4,7.5,3.5
E18000010,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,27.5,21,6.5,76.36%,,7.5,3,5.5,5,3.5,1.5,0.5,1
E18000003,RJL,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44.5,38,6.5,85.39%,,9,3,8.5,17.5,2,2,0.5,2
E18000001,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46.5,41,5.5,88.17%,,7,9,14,11,3.5,2,0,0
E18000004,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,108.5,87,21.5,80.18%,,26,10,20,31,5,7,1,8.5
E18000009,RBF,NUFFIELD ORTHOPAEDIC CENTRE NHS TRUST,ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0,0,0,0.5
E18000009,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,129,112.5,16.5,87.21%,,54,10,19,29.5,7,3.5,4,2
E18000006,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0,0,0,0.5
E18000002,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,57.5,51.5,6,89.57%,,9,10,12,20.5,0.5,1.5,1.5,2.5
E18000006,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,63,56.5,6.5,89.68%,,16,6,12,22.5,1,1,2,2.5
E18000010,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,95,72.5,22.5,76.32%,,20,13.5,14,25,10,3.5,3,6
E18000010,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,55.5,42.5,13,76.58%,,10.5,2,18,12,3.5,2.5,3.5,3.5
E18000009,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,64.5,53.5,11,82.95%,,7,11.5,8.5,26.5,3.5,3,2.5,2
E18000008,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,14.5,13,1.5,89.66%,,4.5,2.5,3.5,2.5,1.5,0,0,0
E18000009,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,75.5,50.5,25,66.89%,,13.5,3,10,24,8.5,7,4,5.5
E18000007,RT3,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,5.5,3,2.5,54.55%,,0,0.5,0.5,2,0,0.5,0.5,1.5
E18000010,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,85,72,13,84.71%,,29,9,15,19,5,3.5,2,2.5
E18000010,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,106,81.5,24.5,76.89%,,27,16.5,24.5,13.5,8.5,1.5,4.5,10
E18000007,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,70,50.5,19.5,72.14%,,20.5,7,10.5,12.5,7,5.5,1,6
E18000002,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,22,17.5,4.5,79.55%,,4.5,3,5,5,1,2.5,0.5,0.5
E18000007,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,5,4.5,0.5,90.00%,,0.5,0,0,4,0,0.5,0,0
E18000008,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43,31,12,72.09%,,7,3,4.5,16.5,1,1.5,2.5,7
E18000010,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,ADMITTED,ALL CANCERS,33.5,33,0.5,98.51%,,11,5,6.5,10.5,0.5,0,0,0
E18000002,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24,23.5,0.5,97.92%,,8.5,6,3.5,5.5,0.5,0,0,0
E18000010,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37,35,2,94.59%,,10.5,10,8,6.5,1.5,0,0,0.5
E18000005,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,60.5,53.5,7,88.43%,,13.5,8,12,20,1,3,1,2
E18000003,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,104,79,25,75.96%,,16.5,8.5,21.5,32.5,9.5,5.5,3,7
E18000004,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56.5,47.5,9,84.07%,,9,10.5,9.5,18.5,5.5,0.5,1,2
E18000005,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,69,55,14,79.71%,,12.5,9.5,9.5,23.5,2,5,2,5
E18000010,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49,44,5,89.80%,,10,7,9.5,17.5,2,1,0,2
E18000001,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,110,87.5,22.5,79.55%,,27,11.5,23.5,25.5,5.5,7.5,2.5,7
E18000001,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,5,5,0,100.00%,,0.5,0,1,3.5,0,0,0,0
E18000005,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,27,6,81.82%,,6,2.5,2,16.5,0,2,1,3
E18000006,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,9,5.5,3.5,61.11%,,1,1,0.5,3,0.5,0.5,1,1.5
E18000002,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,22,19,3,86.36%,,2,3,6.5,7.5,1.5,0,0,1.5
E18000007,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,55,42.5,12.5,77.27%,,7,3,11,21.5,1.5,5,2.5,3.5
E18000002,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,44.5,39.5,5,88.76%,,7,6,11.5,15,0,2.5,1,1.5
E18000002,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27.5,24,3.5,87.27%,,4.5,6,4,9.5,2,0,0,1.5
E18000008,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,56,49.5,6.5,88.39%,,20,3.5,11,15,0.5,3,0.5,2.5
E18000008,RDR,SUSSEX COMMUNITY NHS TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0.5,0,0,0,0,0,0,0
E18000002,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,19,19,0,100.00%,,5,4,4,6,0,0,0,0
E18000010,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,76.5,63.5,13,83.01%,,16.5,14.5,10,22.5,5,2,1,5
E18000002,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18.5,15,3.5,81.08%,,3,3,1.5,7.5,0.5,0,1,2
E18000002,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2.5,0.5,2,20.00%,,0,0,0,0.5,0.5,0,0.5,1
E18000005,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46.5,41,5.5,88.17%,,10.5,9.5,12.5,8.5,1,2,0.5,2
E18000007,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,19.5,19.5,0,100.00%,,9,3.5,3.5,3.5,0,0,0,0
E18000001,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,104.5,90,14.5,86.12%,,18,19,14,39,4,5,0,5.5
E18000006,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,22,18,4,81.82%,,4.5,2,3.5,8,0.5,2.5,0.5,0.5
E18000006,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,35,27,8,77.14%,,10,1.5,4.5,11,1,0.5,0.5,6
E18000003,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,29.5,3.5,89.39%,,8.5,9,3,9,1.5,1.5,0.5,0
E18000010,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,66.5,54,12.5,81.20%,,28,2.5,6,17.5,2,1,3,6.5
E18000007,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49,41.5,7.5,84.69%,,7.5,6.5,10.5,17,3.5,2.5,0.5,1
E18000005,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,3,3,0,100.00%,,0,1.5,0,1.5,0,0,0,0
E18000005,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,ALL CANCERS,51,38,13,74.51%,,7.5,4.5,6.5,19.5,3,3,3.5,3.5
E18000002,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0,0,0,0
E18000007,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,10,8.5,1.5,85.00%,,7,0.5,1,0,1,0.5,0,0
E18000004,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,77.5,53,24.5,68.39%,,15,7,7.5,23.5,8.5,7,1.5,7.5
E18000007,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47.5,31,16.5,65.26%,,6.5,3,6,15.5,4.5,3,0,9
E18000005,RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,107,75,32,70.09%,,20.5,10.5,17,27,17,5,4.5,5.5
E18000002,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56,50.5,5.5,90.18%,,10.5,14.5,11.5,14,4.5,0.5,0,0.5
E18000009,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,80.5,64,16.5,79.50%,,18.5,11.5,12.5,21.5,6,1.5,4,5
