62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
42614,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26,21,5,80.77%,,5.5,3.5,6,6,2,0,2,1
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43,34,9,79.07%,,11,2,8,13,5,1,1.5,1.5
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,50,44.5,5.5,89.00%,,8,5.5,4,27,2,1.5,0,2
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,66.5,52,14.5,78.20%,,19,8,8,17,5.5,4,2.5,2.5
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,31.5,7.5,80.77%,,2,4.5,7,18,1,2.5,1.5,2.5
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,78.5,70.5,8,89.81%,,23.5,6.5,14.5,26,1,0.5,2.5,4
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,31,27.5,3.5,88.71%,,4,3.5,8,12,1.5,0.5,1,0.5
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,14,12.5,1.5,89.29%,,4,1,1,6.5,0,0,0,1.5
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,78,66.5,11.5,85.26%,,21,11.5,11,23,5.5,2,1.5,2.5
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31,26,5,83.87%,,5,1,9,11,0.5,1.5,1,2
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30,24,6,80.00%,,11.5,1,3.5,8,2.5,2,0,1.5
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,35.5,20,15.5,56.34%,,4,3,3,10,1,3.5,4.5,6.5
,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,19,16.5,2.5,86.84%,,11,0.5,2.5,2.5,1,1.5,0,0
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,134.5,93,41.5,69.14%,,25,10.5,22,35.5,11.5,15,6,9
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,55,45,10,81.82%,,15.5,4.5,12,13,2.5,1,4,2.5
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,86.5,62,24.5,71.68%,,16,16,9,21,5.5,7,3,9
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,29,25.5,3.5,87.93%,,6,4,2,13.5,2,1,0,0.5
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,77.5,71,6.5,91.61%,,27.5,18.5,9,16,2,1,1,2.5
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31,27,4,87.10%,,5,6,6.5,9.5,0.5,3,0.5,0
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,24.5,17.5,7,71.43%,,7.5,1,3,6,4,1,0,2
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,92.5,73,19.5,78.92%,,11,7,18,37,5.5,3.5,5,5.5
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39.5,33.5,6,84.81%,,9,8,9,7.5,3,2,1,0
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,72.5,43,29.5,59.31%,,2,2.5,10,28.5,9,7.5,3.5,9.5
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,65.5,60,5.5,91.60%,,17.5,12,15.5,15,2,0,3,0.5
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26,21.5,4.5,82.69%,,6.5,4,5.5,5.5,3,1,0,0.5
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,111.5,97,14.5,87.00%,,21,19,24.5,32.5,4,5,3.5,2
,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ADMITTED,ALL CANCERS,22.5,18.5,4,82.22%,,3.5,0,3,12,0,1.5,1,1.5
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,11,9.5,1.5,86.36%,,2,3.5,1,3,0,1,0.5,0
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,88.5,61.5,27,69.49%,,11,2.5,14.5,33.5,12,6.5,6,2.5
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,43.5,31,12.5,71.26%,,4.5,6,7,13.5,3.5,1.5,2,5.5
,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,69,58,11,84.06%,,11.5,12,13,21.5,3.5,5,1,1.5
,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,11,8.5,2.5,77.27%,,2,0,3,3.5,1.5,1,0,0
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36.5,31,5.5,84.93%,,7,3,8,13,2,2,0.5,1
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37,30,7,81.08%,,3,9,6,12,4,2,0,1
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,81.5,69.5,12,85.28%,,26,6,15,22.5,7.5,1,1,2.5
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34.5,31.5,3,91.30%,,14.5,5,4.5,7.5,1.5,1,0,0.5
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,72.5,64,8.5,88.28%,,20.5,5.5,13.5,24.5,4,1.5,1,2
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,123.5,93,30.5,75.30%,,23,18,23.5,28.5,7,13,6,4.5
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,ADMITTED,ALL CANCERS,64,52.5,11.5,82.03%,,16,10,6,20.5,3,2,3,3.5
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,6,5,1,83.33%,,1.5,1.5,1,1,0,0.5,0.5,0
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,12.5,12,0.5,96.00%,,2.5,1,2,6.5,0,0,0.5,0
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,40.5,31,9.5,76.54%,,7.5,6.5,5,12,7,1,1,0.5
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27.5,24,3.5,87.27%,,6.5,6,6,5.5,1,0.5,0,2
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,60.5,49.5,11,81.82%,,2,4,11.5,32,5.5,0.5,2.5,2.5
,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46,33,13,71.74%,,4,7.5,5.5,16,4,3.5,0.5,5
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,17.5,16.5,1,94.29%,,5.5,2,3.5,5.5,1,0,0,0
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,54,36,18,66.67%,,11,2,7.5,15.5,10,4.5,1,2.5
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,77,64.5,12.5,83.77%,,10,8,18,28.5,2.5,4,5,1
,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29,23.5,5.5,81.03%,,5.5,4,9,5,4,0.5,0,1
,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0.5,0,0,0
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,107.5,92.5,15,86.05%,,31.5,11.5,22,27.5,3.5,5.5,0.5,5.5
,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,105,84.5,20.5,80.48%,,35.5,13,11.5,24.5,7.5,7,4,2
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,36,30.5,5.5,84.72%,,9,9,9,3.5,3,2,0,0.5
,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0.5,0,0,0
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,13,8.5,4.5,65.38%,,1,2,0,5.5,2,0,1.5,1
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43,34.5,8.5,80.23%,,12.5,3.5,5,13.5,3.5,0.5,1.5,3
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,56,39,17,69.64%,,7,5,13,14,10,2.5,2.5,2
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,38.5,33.5,5,87.01%,,11,6.5,9.5,6.5,4.5,0,0,0.5
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43.5,38,5.5,87.36%,,6,4.5,7,20.5,3.5,1,0,1
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47,37,10,78.72%,,7.5,6,15,8.5,2,3,3.5,1.5
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,106,74,32,69.81%,,18,16,12,28,9,7.5,6.5,9
,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,131,93.5,37.5,71.37%,,38,15,24.5,16,14,7,5,11.5
,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,4.5,3.5,1,77.78%,,0,0,0.5,3,0,0,0,1
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,62,51.5,10.5,83.06%,,9.5,7.5,11.5,23,5,2,0.5,3
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,63,55,8,87.30%,,22,11,8.5,13.5,2.5,0.5,0,5
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,96,73.5,22.5,76.56%,,20.5,14,22.5,16.5,8.5,5.5,4,4.5
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,68,62,6,91.18%,,24.5,13,10.5,14,2,1.5,0.5,2
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,62,52.5,9.5,84.68%,,12,4,15.5,21,4,4.5,0,1
,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,17.5,12,5.5,68.57%,,4,3.5,1,3.5,2.5,1,1,1
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,67.5,55.5,12,82.22%,,10,5,16.5,24,4,4.5,1,2.5
,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,6.5,3.5,3,53.85%,,1,0,0.5,2,0,0,0.5,2.5
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,95,87,8,91.58%,,40,14,13,20,2.5,1.5,2.5,1.5
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,105,86.5,18.5,82.38%,,39.5,12,16,19,5,6.5,2,5
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,89.5,69.5,20,77.65%,,23.5,9,9,28,7.5,4.5,1.5,6.5
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,34,29,5,85.29%,,4,6,3.5,15.5,4,1,0,0
,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,5.5,4.5,1,81.82%,,0,0.5,0,4,0,1,0,0
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,53,38,15,71.70%,,6.5,3,10,18.5,2.5,4,2,6.5
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33.5,31.5,2,94.03%,,2.5,6,6.5,16.5,2,0,0,0
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25.5,20,5.5,78.43%,,7.5,2.5,2,8,1.5,0.5,3,0.5
,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38,31,7,81.58%,,11,6,5.5,8.5,2.5,2,0.5,2
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,41,36.5,4.5,89.02%,,6.5,5,8,17,0,1,1.5,2
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,117.5,95.5,22,81.28%,,19,11,23,42.5,8,6.5,3,4.5
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43.5,32,11.5,73.56%,,5.5,4.5,9,13,6,3,1.5,1
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,68.5,60.5,8,88.32%,,17,5,8.5,30,4,1,0,3
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,105.5,82.5,23,78.20%,,28.5,16,10.5,27.5,5,6.5,5,6.5
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,10,7.5,2.5,75.00%,,0,2,1,4.5,0,0,2,0.5
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23.5,21,2.5,89.36%,,4.5,1,10,5.5,1,0.5,0.5,0.5
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46.5,31,15.5,66.67%,,9,4,7,11,6,3,2,4.5
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,27,21,6,77.78%,,3,3,5,10,3,1,0,2
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47.5,40,7.5,84.21%,,5.5,6.5,8.5,19.5,2.5,4,1,0
,RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,43,40.5,2.5,94.19%,,19,4.5,6,11,1,0.5,0,1
,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26,23,3,88.46%,,6,1,6,10,0,1.5,0.5,1
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,75,64,11,85.33%,,17,18,11,18,4,1.5,2.5,3
,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22,19.5,2.5,88.64%,,2.5,1,5,11,1,1,0.5,0
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,76.5,60,16.5,78.43%,,11,10.5,19,19.5,6,4,2.5,4
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,19,13.5,5.5,71.05%,,1,0,2,10.5,1,1,1,2.5
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0,0.5,0,0
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,51,49,2,96.08%,,14,9,10,16,0.5,0.5,1,0
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18.5,14.5,4,78.38%,,6,1,3,4.5,1,2.5,0.5,0
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,106,88.5,17.5,83.49%,,24,9,24.5,31,6,4,3.5,4
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,20.5,17.5,3,85.37%,,1,3,6.5,7,0.5,0,2.5,0
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,29,24.5,4.5,84.48%,,9.5,2,5,8,0.5,1.5,1.5,1
,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2,2,0,100.00%,,0,2,0,0,0,0,0,0
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48,39,9,81.25%,,15.5,7.5,6,10,6.5,0.5,1,1
,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,72,53.5,18.5,74.31%,,24.5,6,8,15,7.5,3,2,6
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49.5,38,11.5,76.77%,,7.5,6.5,8.5,15.5,3,3,2.5,3
,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2,2,0,100.00%,,0,0,0.5,1.5,0,0,0,0
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,ALL CANCERS,47.5,38.5,9,81.05%,,13,2,5,18.5,3,3,1,2
,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,18.5,14.5,4,78.38%,,8.5,1.5,2,2.5,0.5,0.5,2,1
,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52.5,44.5,8,84.76%,,9.5,4,10,21,3,4,0,1
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,65.5,42,23.5,64.12%,,9.5,4,10.5,18,8,5,4.5,6
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47.5,31,16.5,65.26%,,6.5,4,7.5,13,3,5,1.5,7
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43.5,34,9.5,78.16%,,1.5,6.5,10,16,4,4.5,0,1
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,78.5,63,15.5,80.25%,,18,2,14.5,28.5,5,2.5,5,3
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,58,35,23,60.34%,,6,2,8,19,9,6.5,4.5,3
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,78.5,66,12.5,84.08%,,10,12.5,23.5,20,4,4.5,1.5,2.5
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,ALL CANCERS,38.5,31,7.5,80.52%,,5,5,6,15,3,1.5,1.5,1.5
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,ALL CANCERS,93.5,73.5,20,78.61%,,22.5,16,6,29,9.5,4,4.5,2
,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39.5,34,5.5,86.08%,,4,8,4.5,17.5,3,2,0,0.5
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ADMITTED,ALL CANCERS,93.5,56,37.5,59.89%,,11,4,12.5,28.5,14,12.5,5,6
,RBK,WALSALL HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,28,25,3,89.29%,,10.5,3.5,5.5,5.5,0,2.5,0,0.5
,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,21.5,20.5,1,95.35%,,5,6,1.5,8,0.5,0,0.5,0
,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,30.5,29,1.5,95.08%,,6,2,12.5,8.5,0,0,0,1.5
