62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: August 2015,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See bottom of page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 62 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
E18000002,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23,20.5,2.5,89.13%,,5.5,4.5,4,6.5,0.5,0.5,0,1.5
E18000003,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,58,49,9,84.48%,,9,8,13.5,18.5,3,2.5,0.5,3
E18000008,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,51,42,9,82.35%,,11,2,9,20,2.5,1.5,0.5,4.5
E18000009,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,47,38.5,8.5,81.91%,,17.5,3,14,4,2.5,2,1,3
E18000005,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,17,13,4,76.47%,,0,4.5,4,4.5,1,0,1.5,1.5
E18000003,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40.5,37,3.5,91.36%,,9.5,8,4,15.5,1,1,1,0.5
E18000006,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56.5,42,14.5,74.34%,,11,1.5,11,18.5,5.5,3.5,1.5,4
E18000002,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32,25.5,6.5,79.69%,,6.5,2.5,5,11.5,0,0.5,2.5,3.5
E18000007,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,7.5,5,2.5,66.67%,,3,0,2,0,0.5,0,0,2
E18000004,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34.5,29,5.5,84.06%,,8,5.5,7.5,8,1.5,2.5,0,1.5
E18000001,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37,28.5,8.5,77.03%,,3,8,6,11.5,2,4,0,2.5
E18000006,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,60,49,11,81.67%,,12.5,12.5,8,16,3,3.5,3,1.5
E18000002,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38,32.5,5.5,85.53%,,9.5,2,9,12,0.5,3,0,2
E18000001,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,73.5,64.5,9,87.76%,,25.5,12,15,12,2.5,0.5,2,4
E18000007,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,27,22,5,81.48%,,3.5,2,7.5,9,1,2,1.5,0.5
E18000008,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,31.5,27.5,4,87.30%,,5,3,3,16.5,0,1.5,1,1.5
E18000004,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,94.5,71,23.5,75.13%,,24,10.5,12,24.5,7,5,2,9.5
E18000003,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45,37.5,7.5,83.33%,,12,1.5,14.5,9.5,2.5,0.5,2.5,2
E18000010,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29.5,25.5,4,86.44%,,8,2,6,9.5,1,0.5,0,2.5
E18000006,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,19.5,14,5.5,71.79%,,2,2,4,6,3.5,0,1,1
E18000002,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,13,11,2,84.62%,,3.5,1,4,2.5,1,0.5,0,0.5
E18000008,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,107.5,72,35.5,66.98%,,13,7,16,36,7.5,9,5.5,13.5
E18000002,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,51,44.5,6.5,87.25%,,7.5,9.5,9.5,18,1,1,1,3.5
E18000008,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,76,53,23,69.74%,,9,16,14,14,8,7,1,7
E18000007,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,25.5,16,9.5,62.75%,,7,1.5,3.5,4,2,2.5,0.5,4.5
E18000008,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34,31,3,91.18%,,5.5,5,9.5,11,1.5,0,1.5,0
E18000001,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34,31,3,91.18%,,11.5,3.5,4,12,1,0,0.5,1.5
E18000005,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,20,19,1,95.00%,,5,3,2.5,8.5,0.5,0,0,0.5
E18000010,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,0.5,0.5,50.00%,,0,0,0,0.5,0.5,0,0,0
E18000010,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40.5,36,4.5,88.89%,,11,3,10,12,3,0,0.5,1
E18000007,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,70,46,24,65.71%,,6,6,7.5,26.5,5.5,9.5,2.5,6.5
E18000009,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,61.5,54.5,7,88.62%,,17,8,10.5,19,3,1.5,0,2.5
E18000003,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26,24,2,92.31%,,7.5,1.5,5.5,9.5,1.5,0,0,0.5
E18000005,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,117.5,94,23.5,80.00%,,21.5,12.5,37.5,22.5,5.5,5,7,6
E18000009,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36,32.5,3.5,90.28%,,9,6,9,8.5,1.5,0,0.5,1.5
E18000006,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ADMITTED,ALL CANCERS,30,26.5,3.5,88.33%,,7,6,6,7.5,2.5,1,0,0
E18000007,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18,16,2,88.89%,,3.5,2.5,3.5,6.5,1,0,1,0
E18000003,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,116,89,27,76.72%,,21.5,11,18,38.5,9,10,4.5,3.5
E18000007,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,45.5,37,8.5,81.32%,,3.5,9.5,7.5,16.5,3,2.5,0,3
E18000006,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,45,38,7,84.44%,,14,7,8,9,1.5,5,0,0.5
E18000009,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,14.5,12.5,2,86.21%,,5,3,2.5,2,0.5,0,1.5,0
E18000006,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42,36.5,5.5,86.90%,,14,4,6,12.5,0.5,4,1,0
E18000004,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29,19,10,65.52%,,6,1.5,2.5,9,3,1,2,4
E18000007,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,78,71,7,91.03%,,23.5,11,17,19.5,1.5,2,0.5,3
E18000007,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,27,6,81.82%,,11.5,0.5,3.5,11.5,0.5,1.5,1,3
E18000002,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,62.5,48.5,14,77.60%,,16,7.5,6.5,18.5,3,7,1.5,2.5
E18000003,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,103.5,86.5,17,83.57%,,20,8.5,21.5,36.5,7.5,4,2.5,3
E18000007,RJ2,LEWISHAM AND GREENWICH NHS TRUST,ADMITTED,ALL CANCERS,28,18.5,9.5,66.07%,,3,1,5,9.5,1,5,1.5,2
E18000002,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,13,10.5,2.5,80.77%,,0,3,4.5,3,0.5,1,0.5,0.5
E18000002,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,8.5,8,0.5,94.12%,,2.5,0,0,5.5,0,0.5,0,0
N/A,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,39,33,6,84.62%,,6,0.5,11,15.5,1,3,0,2
E18000006,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28,24.5,3.5,87.50%,,4.5,5,4.5,10.5,1,1,0,1.5
E18000008,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,57,40,17,70.18%,,4,4,9.5,22.5,7,2.5,4.5,3
E18000008,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,21.5,18,3.5,83.72%,,5,3.5,5,4.5,1,0.5,1,1
E18000002,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,17,17,0,100.00%,,5.5,4,4.5,3,0,0,0,0
E18000006,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,62.5,45.5,17,72.80%,,13,8,8.5,16,5,5,4,3
E18000003,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,75.5,67.5,8,89.40%,,15,11,10,31.5,1.5,1,2,3.5
E18000009,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,21.5,18,3.5,83.72%,,2,9,2,5,2,1,0,0.5
E18000007,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0,0,0,0
E18000006,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,107,86,21,80.37%,,33,10,17.5,25.5,8,8,2,3
E18000010,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,87,70,17,80.46%,,16,6,17.5,30.5,4.5,3.5,3,6
E18000002,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,53.5,42,11.5,78.50%,,11,2,12,17,3,1,2,5.5
E18000007,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,17.5,14.5,3,82.86%,,1,3.5,4,6,0.5,0,1,1.5
E18000001,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37,32.5,4.5,87.84%,,4,5,7,16.5,1,1.5,0,2
E18000004,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,46.5,37,9.5,79.57%,,6,5.5,12,13.5,2.5,3,1,3
E18000010,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,24.5,19,5.5,77.55%,,5,2.5,3,8.5,2,1,0,2.5
E18000003,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37.5,34,3.5,90.67%,,10.5,3,5.5,15,0,0,2.5,1
E18000001,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,32,7,82.05%,,11,4,6,11,2.5,0,1.5,3
E18000004,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,81.5,62.5,19,76.69%,,13.5,7.5,16,25.5,6,4,8,1
E18000009,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,125.5,111,14.5,88.45%,,55,12.5,14.5,29,9.5,2.5,0,2.5
E18000006,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2.5,2,0.5,80.00%,,0,0,0,2,0,0,0.5,0
E18000002,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,71,56.5,14.5,79.58%,,13.5,4.5,13.5,25,3.5,2.5,3,5.5
E18000006,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,68,62,6,91.18%,,9,13,17.5,22.5,2.5,1,2,0.5
E18000010,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,85.5,70.5,15,82.46%,,22.5,14,19.5,14.5,4.5,3.5,2,5
E18000010,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43,38.5,4.5,89.53%,,10,6,9.5,13,1.5,1.5,0,1.5
E18000009,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,75,62,13,82.67%,,6,7,17.5,31.5,4,5.5,2.5,1
E18000008,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,15.5,12,3.5,77.42%,,6.5,1.5,0,4,0,1.5,1,1
E18000009,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40.5,31.5,9,77.78%,,2,2.5,12.5,14.5,2,3,2,2
E18000007,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,4,2,2,50.00%,,0.5,0,0.5,1,0,0,0.5,1.5
E18000010,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,83.5,70,13.5,83.83%,,24,11,16.5,18.5,5,4,4,0.5
E18000010,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,119,95,24,79.83%,,34.5,21,18.5,21,8,3,1,12
E18000007,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,57,39.5,17.5,69.30%,,14.5,3,9.5,12.5,3.5,3,3,8
E18000002,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,21,16,5,76.19%,,2.5,5,4,4.5,2.5,2,0,0.5
E18000007,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,5,3,2,60.00%,,1,0,0.5,1.5,1,0,1,0
E18000008,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45,38.5,6.5,85.56%,,9.5,2.5,5.5,21,1,0.5,1.5,3.5
E18000010,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41.5,37,4.5,89.16%,,6,6,10.5,14.5,0,1,1.5,2
E18000002,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27,24,3,88.89%,,5.5,4,3.5,11,0.5,0.5,0.5,1.5
E18000010,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31.5,29,2.5,92.06%,,10,4,8,7,1,0,0,1.5
E18000005,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,43.5,38,5.5,87.36%,,11,3,6.5,17.5,0.5,0.5,1.5,3
E18000003,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,92,75.5,16.5,82.07%,,14,10.5,19,32,4.5,5,1.5,5.5
E18000004,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42,38.5,3.5,91.67%,,9,11.5,11.5,6.5,3,0,0.5,0
E18000005,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,59,43.5,15.5,73.73%,,13,5,12.5,13,6,4,0.5,5
E18000009,R1C,SOLENT NHS TRUST,ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0,0,0.5,0
E18000010,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30.5,25,5.5,81.97%,,6,2,3,14,1,2.5,0,2
E18000001,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,100,81.5,18.5,81.50%,,12.5,11.5,19,38.5,8,5,3,2.5
E18000001,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,8.5,7,1.5,82.35%,,2,1,3,1,1,0,0,0.5
E18000005,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32,27,5,84.38%,,4.5,1.5,5,16,1.5,2.5,0,1
E18000006,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42.5,33,9.5,77.65%,,11,2,8,12,4.5,2.5,2,0.5
E18000002,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,11.5,9.5,2,82.61%,,3.5,2.5,1,2.5,0,0.5,0.5,1
E18000007,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52,40.5,11.5,77.88%,,9,2,6.5,23,1.5,5,2.5,2.5
E18000002,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,34,30,4,88.24%,,8,7,7.5,7.5,1.5,0.5,0,2
E18000002,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22,21.5,0.5,97.73%,,4,3,3,11.5,0,0,0,0.5
E18000008,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,49,43.5,5.5,88.78%,,15,8.5,5.5,14.5,1,1.5,0.5,2.5
E18000008,RDR,SUSSEX COMMUNITY NHS TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0,0.5,0,0,0,0
E18000002,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24,21.5,2.5,89.58%,,7,5,2.5,7,1,1,0,0.5
E18000010,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,53.5,49,4.5,91.59%,,15,10.5,9.5,14,2.5,0,0.5,1.5
E18000002,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,16,12,4,75.00%,,1.5,1,1.5,8,1,1.5,0,1.5
E18000002,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,4,3,1,75.00%,,0.5,0,1,1.5,0,0.5,0.5,0
E18000005,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,58.5,50,8.5,85.47%,,17,7,16,10,2.5,1.5,2,2.5
E18000007,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25.5,23.5,2,92.16%,,10,3,3.5,7,0,2,0,0
E18000001,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,85.5,59,26.5,69.01%,,22.5,6,10,20.5,9,5,5,7.5
E18000006,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,19,16,3,84.21%,,5,1.5,4.5,5,1.5,1.5,0,0
E18000006,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,32.5,27,5.5,83.08%,,4,4,2.5,16.5,0,3.5,1,1
E18000005,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,0.5,0.5,50.00%,,0.5,0,0,0,0,0,0.5,0
E18000003,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30.5,26.5,4,86.89%,,9,7.5,6.5,3.5,0.5,2,0,1.5
E18000010,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,69.5,54.5,15,78.42%,,20,4,12.5,18,5.5,2,4.5,3
E18000007,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,57.5,48,9.5,83.48%,,11,6,12,19,3,1.5,1.5,3.5
E18000005,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,6.5,6.5,0,100.00%,,1,3,0.5,2,0,0,0,0
E18000005,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,ALL CANCERS,41.5,33.5,8,80.72%,,4,4.5,7.5,17.5,1.5,1,0,5.5
E18000002,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0,0,0,0
E18000007,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,7.5,7,0.5,93.33%,,5,1,1,0,0.5,0,0,0
E18000004,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,69,49.5,19.5,71.74%,,10,7,12,20.5,5,10.5,2,2
E18000007,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,60,40.5,19.5,67.50%,,11.5,4.5,6,18.5,4.5,6,0,9
E18000002,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52,46,6,88.46%,,13.5,5.5,13,14,1.5,1.5,1,2
E18000009,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,73,65.5,7.5,89.73%,,20,5,14.5,26,1,2.5,1,3
