62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: April 2016,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,63.5,53,10.5,83.46%,,21.5,5,8.5,18,4.5,2,1.5,2.5
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,104,88,16,84.62%,,17,14,24,33,7,5.5,1.5,2
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,ADMITTED,ALL CANCERS,48,39,9,81.25%,,12,5.5,7,14.5,3.5,3.5,1,1
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,8,5.5,2.5,68.75%,,3.5,0,1,1,2,0.5,0,0
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,13.5,12,1.5,88.89%,,1,1,2,8,0,1,0.5,0
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,48.5,36,12.5,74.23%,,8,5,9,14,5.5,2.5,2,2.5
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31,27,4,87.10%,,6,4,7.5,9.5,0,0,1,3
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,69.5,42,27.5,60.43%,,5.5,3,4,29.5,10.5,3.5,5,8.5
,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35.5,21,14.5,59.15%,,3.5,1.5,2.5,13.5,3,4,2.5,5
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23.5,20,3.5,85.11%,,4,3,6.5,6.5,1,0,1.5,1
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,61.5,44,17.5,71.54%,,8.5,5.5,10,20,6,6,3,2.5
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,74,69,5,93.24%,,14,9,13,33,2,1,0,2
,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26,19.5,6.5,75.00%,,5,3,6,5.5,4,0,0,2.5
,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2,2,0,100.00%,,0,0,2,0,0,0,0,0
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,102.5,82,20.5,80.00%,,37.5,12,12,20.5,9.5,3,3,5
,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,94.5,76.5,18,80.95%,,17.5,12.5,27,19.5,7.5,4,2.5,4
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,48,37.5,10.5,78.13%,,6,4,6,21.5,2.5,2.5,5.5,0
,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0.5,0,0,0
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,12.5,10,2.5,80.00%,,1.5,1,1,6.5,1.5,0,0.5,0.5
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32,26.5,5.5,82.81%,,6.5,2.5,6,11.5,1,2,1.5,1
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,43,33.5,9.5,77.91%,,7,6,12,8.5,4,2,1,2.5
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,24.5,22,2.5,89.80%,,5,6,7.5,3.5,0.5,0.5,1,0.5
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,51.5,39.5,12,76.70%,,5,5.5,8,21,3.5,5.5,0,3
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42,40.5,1.5,96.43%,,5,10,11,14.5,0.5,0,0.5,0.5
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,84.5,70.5,14,83.43%,,14.5,3,20.5,32.5,7.5,5,1,0.5
,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,102,83,19,81.37%,,38,4,15,26,9.5,5,2,2.5
,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,5,2.5,2.5,50.00%,,0,0,0,2.5,0.5,0.5,0.5,1
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,68,61.5,6.5,90.44%,,8,7,17.5,29,4.5,2,0,0
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,75,65,10,86.67%,,12,12,13,28,3.5,2.5,2,2
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,95,74.5,20.5,78.42%,,27,14.5,15,18,4,9.5,1.5,5.5
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56,49.5,6.5,88.39%,,16,12,7.5,14,0.5,3.5,1.5,1
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,69,51.5,17.5,74.64%,,5,1,17,28.5,8,5,2.5,2
,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,16,13.5,2.5,84.38%,,4.5,1.5,2.5,5,2,0,0.5,0
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43.5,30.5,13,70.11%,,10,3,8,9.5,8,1.5,2,1.5
,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,6.5,5,1.5,76.92%,,1,0,0.5,3.5,0,0.5,1,0
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,70,57,13,81.43%,,17,6,17,17,6,3.5,1.5,2
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,115,99,16,86.09%,,36,23,21.5,18.5,3,5.5,3.5,4
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,71,54.5,16.5,76.76%,,18.5,6.5,14,15.5,5,3,3.5,5
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,35,28,7,80.00%,,5,2.5,5,15.5,2,0.5,1,3.5
,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,1.5,0.5,1,33.33%,,0,0,0.5,0,0,1,0,0
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48.5,40,8.5,82.47%,,16,6,4.5,13.5,1.5,1.5,1,4.5
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44,40.5,3.5,92.05%,,6.5,5,13.5,15.5,1.5,1.5,0,0.5
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35.5,33,2.5,92.96%,,8,5.5,8.5,11,1,0,0,1.5
,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34,29,5,85.29%,,12,3,1,13,2,1,2,0
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,42,38,4,90.48%,,9,3,5,21,0.5,2,0.5,1
,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0,0,0,0
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,99,79.5,19.5,80.30%,,16,9.5,23,31,5.5,5,1,8
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46,39,7,84.78%,,14,7,6,12,4,1,1,1
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,65,55.5,9.5,85.38%,,10,9,7,29.5,2,5.5,0,2
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,98.5,79,19.5,80.20%,,19.5,12.5,23.5,23.5,6,7,3.5,3
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,9,9,0,100.00%,,0,0,2.5,6.5,0,0,0,0
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30,26,4,86.67%,,4.5,2,4,15.5,1.5,0.5,1.5,0.5
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29.5,21,8.5,71.19%,,4,2,6.5,8.5,3,3.5,0.5,1.5
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,17.5,16,1.5,91.43%,,3,3,1,9,0,0.5,0,1
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40,33.5,6.5,83.75%,,5.5,2.5,7,18.5,3.5,1,0,2
,RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,34.5,33.5,1,97.10%,,9.5,5.5,10,8.5,0.5,0.5,0,0
,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,30.5,2.5,92.42%,,7.5,6,6.5,10.5,1,0,1,0.5
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,43,36.5,6.5,84.88%,,10.5,7.5,6,12.5,2.5,2.5,0,1.5
,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25.5,24.5,1,96.08%,,9,2.5,3.5,9.5,0.5,0.5,0,0
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,72.5,63,9.5,86.90%,,27.5,9,11.5,15,5,1,1,2.5
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18,14.5,3.5,80.56%,,1,2.5,3.5,7.5,1.5,1.5,0,0.5
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1.5,1,0.5,66.67%,,0.5,0,0,0.5,0,0.5,0,0
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,68,61.5,6.5,90.44%,,18,6,10.5,27,1.5,3,1,1
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,21,19,2,90.48%,,8.5,2,2,6.5,2,0,0,0
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,90.5,80.5,10,88.95%,,19.5,9.5,16.5,35,3.5,2,3,1.5
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,34,25.5,8.5,75.00%,,2,6,6,11.5,2,1.5,3,2
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,36,31.5,4.5,87.50%,,8.5,7.5,10,5.5,3.5,0,0,1
,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0,0.5,0,0,0,0
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32,29.5,2.5,92.19%,,10.5,3,7,9,1,0.5,1,0
,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,76.5,64.5,12,84.31%,,30.5,10,10,14,6,3,0.5,2.5
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37.5,32.5,5,86.67%,,6.5,4,7,15,0.5,1.5,1.5,1.5
,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2,1.5,0.5,75.00%,,1,0,0,0.5,0.5,0,0,0
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,ALL CANCERS,50.5,38,12.5,75.25%,,6.5,2.5,11,18,2,1.5,2.5,6.5
,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,17,15.5,1.5,91.18%,,7.5,0.5,4,3.5,0,1.5,0,0
,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,51.5,41.5,10,80.58%,,6.5,6.5,9.5,19,2.5,4,1,2.5
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,68.5,48.5,20,70.80%,,16,6,9.5,17,3,4,7,6
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,54.5,38.5,16,70.64%,,7,3.5,8,20,4,1.5,3.5,7
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52,46.5,5.5,89.42%,,16,5,7,18.5,1.5,3.5,0.5,0
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,79.5,71.5,8,89.94%,,21.5,10,16,24,2,2.5,1,2.5
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,57,46.5,10.5,81.58%,,14,3.5,8,21,2,5,2.5,1
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,60.5,46.5,14,76.86%,,12,8,11.5,15,5.5,3.5,1,4
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,ALL CANCERS,53,41,12,77.36%,,7.5,4,10.5,19,4,2,4.5,1.5
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,ALL CANCERS,108.5,79.5,29,73.27%,,13,11,21,34.5,8,10.5,5.5,5
,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37,35.5,1.5,95.95%,,9.5,4,8,14,0,0,0.5,1
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ADMITTED,ALL CANCERS,98,69,29,70.41%,,19,6,14,30,15,3,4,7
,RBK,WALSALL HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,30,25,5,83.33%,,11,3.5,5,5.5,0,3.5,1,0.5
,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24.5,21,3.5,85.71%,,3,4,4.5,9.5,1.5,0.5,1,0.5
