62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: June 2015,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See bottom of page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 62 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
E18000010,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,81,60.5,20.5,74.69%,,15.5,8.5,13,23.5,8.5,2.5,3.5,6
E18000002,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36.5,32,4.5,87.67%,,7,4,7,14,0.5,2.5,0,1.5
E18000001,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,88.5,71.5,17,80.79%,,17.5,11,18,25,7.5,2.5,5.5,1.5
E18000008,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,70,66,4,94.29%,,23,10,11,22,2.5,1.5,0,0
E18000008,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26,22.5,3.5,86.54%,,4.5,2,8,8,1,0.5,1.5,0.5
E18000009,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,164,141.5,22.5,86.28%,,64,18,23.5,36,3,5.5,6.5,7.5
E18000004,RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,104,79.5,24.5,76.44%,,23.5,14,13,29,9,3.5,5,7
E18000001,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31.5,28.5,3,90.48%,,6,5,8.5,9,0,3,0,0
E18000010,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,89,57.5,31.5,64.61%,,11,6,13.5,27,7,11,2.5,11
E18000001,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,99,83,16,83.84%,,12,13.5,20,37.5,4.5,6,1.5,4
E18000007,RT3,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,8.5,3,5.5,35.29%,,0,0,0.5,2.5,2,1,1,1.5
E18000007,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,66,43.5,22.5,65.91%,,10,2,11,20.5,6.5,4,1.5,10.5
E18000005,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,51,29,22,56.86%,,4.5,0,11.5,13,5.5,6,2,8.5
E18000005,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1.5,1.5,0,100.00%,,0,0,0,1.5,0,0,0,0
E18000002,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,26.5,24,2.5,90.57%,,6,4,4,10,1.5,0,0.5,0.5
E18000003,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,134,106,28,79.10%,,21,21,25,39,7.5,10,5.5,5
E18000001,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34.5,26.5,8,76.81%,,7,4.5,8,7,2,3,1.5,1.5
E18000005,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,105,83,22,79.05%,,21.5,7,18.5,36,6,8,5.5,2.5
E18000007,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,9,6,3,66.67%,,2,0,3,1,2.5,0.5,0,0
E18000006,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,27.5,25,2.5,90.91%,,2.5,6,4.5,12,0,0,1.5,1
E18000006,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ADMITTED,ALL CANCERS,16,13,3,81.25%,,4,0.5,0,8.5,1,0.5,1.5,0
E18000007,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,8,8,0,100.00%,,5.5,1.5,0,1,0,0,0,0
E18000006,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,63,45.5,17.5,72.22%,,12,5.5,16,12,10,4.5,1.5,1.5
E18000002,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,22.5,18.5,4,82.22%,,2,3.5,7,6,1,0,0.5,2.5
E18000005,RQ3,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0,0,0,0
E18000007,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49,36.5,12.5,74.49%,,8.5,7,10.5,10.5,3,4,1.5,4
E18000008,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25.5,22,3.5,86.27%,,8.5,3.5,6.5,3.5,0.5,1.5,0.5,1
E18000008,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25.5,21.5,4,84.31%,,4.5,1,2.5,13.5,1,1,1,1
E18000003,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41,35.5,5.5,86.59%,,4,9,7.5,15,2,1,0.5,2
E18000010,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39.5,38,1.5,96.20%,,11,7,9,11,0.5,0,0.5,0.5
E18000004,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,59.5,47.5,12,79.83%,,8,7,12.5,20,4.5,3.5,1,3
E18000004,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49,34.5,14.5,70.41%,,7,1,9.5,17,4.5,4.5,3.5,2
E18000002,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,53.5,35.5,18,66.36%,,8,8,7,12.5,4.5,6.5,1.5,5.5
E18000005,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,79,73,6,92.41%,,22,8,20,23,1.5,1,2,1.5
E18000008,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,23.5,20,3.5,85.11%,,4.5,5,3,7.5,0.5,2,0.5,0.5
E18000009,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43.5,38,5.5,87.36%,,8,8,11,11,3.5,0.5,1,0.5
E18000010,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38,33,5,86.84%,,7,6,9,11,2,1,0,2
E18000002,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,30.5,2.5,92.42%,,8,3.5,8.5,10.5,1.5,0.5,0.5,0
E18000002,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41.5,37,4.5,89.16%,,15.5,4,8,9.5,3,0.5,1,0
E18000002,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27,23,4,85.19%,,1.5,4.5,7,10,0.5,2.5,0.5,0.5
E18000002,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56.5,47,9.5,83.19%,,8.5,11.5,8.5,18.5,2.5,4.5,2.5,0
E18000006,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,124,95,29,76.61%,,27,12,27.5,28.5,13.5,7,5,3.5
E18000005,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1.5,1.5,0,100.00%,,0,0,0,1.5,0,0,0,0
E18000005,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,20.5,19,1.5,92.68%,,8.5,2,2,6.5,1,0,0,0.5
E18000005,RLQ,WYE VALLEY NHS TRUST,ADMITTED,ALL CANCERS,36.5,34.5,2,94.52%,,10.5,6.5,7.5,10,1.5,0,0,0.5
E18000001,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33.5,26.5,7,79.10%,,5,2.5,4,15,0,3.5,1.5,2
E18000005,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,ALL CANCERS,57,44.5,12.5,78.07%,,9.5,6,9,20,2.5,5,3.5,1.5
E18000007,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,15.5,12.5,3,80.65%,,4,2,2,4.5,0,0,1,2
E18000005,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,ALL CANCERS,64,52,12,81.25%,,10.5,5,8,28.5,3,3.5,1,4.5
E18000010,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,101.5,81,20.5,79.80%,,25,13,10,33,10,1.5,3,6
E18000004,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46,38,8,82.61%,,14,5,9.5,9.5,1.5,2.5,0,4
E18000007,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,72,58.5,13.5,81.25%,,23,7.5,6,22,4,1.5,5.5,2.5
E18000002,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39.5,33,6.5,83.54%,,10.5,4,6.5,12,2.5,1,0.5,2.5
E18000002,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,12,12,0,100.00%,,3.5,1,4,3.5,0,0,0,0
E18000003,RJL,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48.5,40.5,8,83.51%,,5,5,10,20.5,0,4,0.5,3.5
E18000005,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34.5,27,7.5,78.26%,,7.5,2,7,10.5,2.5,3.5,1,0.5
E18000005,RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,124,95.5,28.5,77.02%,,32.5,12,16,35,8,7,5,8.5
E18000005,RJD,MID STAFFORDSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0,0,0,0.5
E18000005,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,20.5,17,3.5,82.93%,,3,2,4,8,0,2.5,1,0
E18000007,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,60.5,46,14.5,76.03%,,7,4,13,22,1,7,1.5,5
E18000007,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,33,25,8,75.76%,,4,2.5,10,8.5,2,2.5,0.5,3
E18000007,RJ2,LEWISHAM HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,61.5,49.5,12,80.49%,,15.5,3.5,6.5,24,4,4,1,3
E18000007,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,79.5,50.5,29,63.52%,,6.5,2.5,14,27.5,6,8.5,7,7.5
E18000009,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56,41.5,14.5,74.11%,,12,3,14,12.5,2,7,2,3.5
E18000009,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,77.5,61.5,16,79.35%,,3,5,16,37.5,4,5,2.5,4.5
E18000003,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,105,87.5,17.5,83.33%,,13,10,24.5,40,5,3.5,2,7
E18000009,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,80,69,11,86.25%,,17,10,20.5,21.5,6,1.5,1,2.5
E18000010,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,119,93,26,78.15%,,35.5,16.5,18,23,4.5,5.5,7,9
E18000006,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,65,50,15,76.92%,,13.5,6.5,14.5,15.5,2.5,2.5,4,6
E18000006,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,38,1,97.44%,,9.5,4,8.5,16,0.5,0,0,0.5
E18000006,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,47.5,40,7.5,84.21%,,15,3,14.5,7.5,3.5,0,1,3
E18000006,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49,42.5,6.5,86.73%,,18,3,5.5,16,3,1.5,2,0
E18000006,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,60.5,55.5,5,91.74%,,12.5,3,15,25,1.5,2,1,0.5
E18000006,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2.5,1,1.5,40.00%,,0,0,0,1,0.5,0,0.5,0.5
E18000007,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,8.5,7.5,1,88.24%,,1,1,1.5,4,0.5,0,0.5,0
E18000004,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38.5,34,4.5,88.31%,,10.5,4,11,8.5,3,0.5,0.5,0.5
E18000003,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28.5,26,2.5,91.23%,,13,5.5,4.5,3,0,1,1.5,0
E18000003,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35.5,31,4.5,87.32%,,9,4.5,12,5.5,1,0.5,1.5,1.5
E18000007,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ADMITTED,ALL CANCERS,83.5,62.5,21,74.85%,,8,10,15.5,29,7,7.5,1,5.5
E18000002,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,19.5,16.5,3,84.62%,,0,1,3,12.5,0,2.5,0.5,0
E18000002,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,4.5,3,1.5,66.67%,,0,1.5,0.5,1,0,0.5,0.5,0.5
E18000002,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37,32,5,86.49%,,7.5,5,11.5,8,2,0.5,0.5,2
E18000010,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,69.5,53.5,16,76.98%,,21,5,11,16.5,5,3,1.5,6.5
E18000001,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,7,5.5,1.5,78.57%,,0,0.5,0.5,4.5,1.5,0,0,0
E18000010,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,75.5,61,14.5,80.79%,,26,10,9.5,15.5,4,2.5,1.5,6.5
E18000008,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,6.5,5,1.5,76.92%,,0,1,1,3,0,0.5,1,0
E18000006,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,75.5,50,25.5,66.23%,,15,7,11.5,16.5,8.5,7,1.5,8.5
E18000006,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31.5,17.5,14,55.56%,,5,1.5,3.5,7.5,6,3.5,1.5,3
E18000009,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25.5,22.5,3,88.24%,,5,5,4,8.5,0,1,0,2
E18000009,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39.5,39.5,0,100.00%,,13,6,10.5,10,0,0,0,0
E18000010,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56,53,3,94.64%,,10.5,12,15.5,15,1.5,0.5,1,0
E18000010,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,ADMITTED,ALL CANCERS,32.5,27,5.5,83.08%,,4,8,3,12,1.5,3,1,0
E18000006,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,32.5,24,8.5,73.85%,,3,4,7.5,9.5,1,1.5,3,3
E18000003,RCF,AIREDALE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31,29,2,93.55%,,8,4,7,10,0.5,0.5,0,1
E18000003,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32,30,2,93.75%,,9,4,4,13,0.5,1.5,0,0
E18000003,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,86,74,12,86.05%,,17.5,9,16,31.5,4.5,3,0,4.5
E18000006,RC9,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25.5,24,1.5,94.12%,,4.5,3,5.5,11,0,0.5,0.5,0.5
E18000006,RC1,BEDFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,46.5,40,6.5,86.02%,,15,6,5.5,13.5,2,2,1.5,1
E18000010,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,29.5,24.5,5,83.05%,,5,5,6,8.5,3.5,0,1,0.5
E18000002,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,16,11.5,4.5,71.88%,,1,1,4,5.5,3,1,0,0.5
E18000002,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22.5,22,0.5,97.78%,,9,6,1,6,0,0.5,0,0
E18000002,RBQ,LIVERPOOL HEART AND CHEST NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,14,11,3,78.57%,,0.5,0,4.5,6,2,0.5,0,0.5
E18000002,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,40.5,37,3.5,91.36%,,10,11.5,7,8.5,1,2,0,0.5
E18000002,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,57.5,50.5,7,87.83%,,19,8.5,12,11,1.5,3,1.5,1
E18000005,RBK,WALSALL HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,24.5,19,5.5,77.55%,,4,3,3,9,0.5,2,2.5,0.5
E18000010,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33.5,29,4.5,86.57%,,3.5,5,11,9.5,0.5,1,1.5,1.5
