31-DAY (DIAGNOSIS TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,
PERIOD: JANUARY 2016,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,
,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2,2,0,100.00%,,2,0,0,0,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,122,121,1,99.18%,,121,1,0,0,0
,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52,50,2,96.15%,,50,0,2,0,0
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,83,81,2,97.59%,,81,2,0,0,0
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,121,114,7,94.21%,,114,3,3,0,1
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,111,108,3,97.30%,,108,1,2,0,0
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41,40,1,97.56%,,40,1,0,0,0
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,99,99,0,100.00%,,99,0,0,0,0
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,170,165,5,97.06%,,165,2,2,1,0
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,83,80,3,96.39%,,80,0,2,1,0
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31,30,1,96.77%,,30,1,0,0,0
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,63,63,0,100.00%,,63,0,0,0,0
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,83,80,3,96.39%,,80,2,1,0,0
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,127,114,13,89.76%,,114,6,4,1,2
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,69,69,0,100.00%,,69,0,0,0,0
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,125,122,3,97.60%,,122,3,0,0,0
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,28,26,2,92.86%,,26,2,0,0,0
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,45,45,0,100.00%,,45,0,0,0,0
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,190,177,13,93.16%,,177,7,6,0,0
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,85,83,2,97.65%,,83,0,1,0,1
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52,52,0,100.00%,,52,0,0,0,0
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,93,86,7,92.47%,,86,3,2,1,1
,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,26,26,0,100.00%,,26,0,0,0,0
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,186,173,13,93.01%,,173,4,5,3,1
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,112,109,3,97.32%,,109,2,1,0,0
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,119,115,4,96.64%,,115,2,2,0,0
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,35,34,1,97.14%,,34,0,1,0,0
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,160,159,1,99.38%,,159,1,0,0,0
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,81,80,1,98.77%,,80,0,0,0,1
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,39,39,0,100.00%,,39,0,0,0,0
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,185,185,0,100.00%,,185,0,0,0,0
,RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23,23,0,100.00%,,23,0,0,0,0
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,95,92,3,96.84%,,92,2,0,1,0
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,190,178,12,93.68%,,178,8,2,1,1
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,106,104,2,98.11%,,104,1,1,0,0
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47,47,0,100.00%,,47,0,0,0,0
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,225,225,0,100.00%,,225,0,0,0,0
,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ADMITTED,ALL CANCERS,40,40,0,100.00%,,40,0,0,0,0
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,19,19,0,100.00%,,19,0,0,0,0
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,204,200,4,98.04%,,200,3,0,0,1
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,152,145,7,95.39%,,145,2,4,0,1
,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,106,105,1,99.06%,,105,0,0,0,1
,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,24,24,0,100.00%,,24,0,0,0,0
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,67,67,0,100.00%,,67,0,0,0,0
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,79,76,3,96.20%,,76,2,1,0,0
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,163,158,5,96.93%,,158,1,3,1,0
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,54,53,1,98.15%,,53,0,1,0,0
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,180,174,6,96.67%,,174,1,0,4,1
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,312,302,10,96.79%,,302,6,2,1,1
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,ADMITTED,ALL CANCERS,56,50,6,89.29%,,50,3,3,0,0
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46,45,1,97.83%,,45,1,0,0,0
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24,24,0,100.00%,,24,0,0,0,0
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,84,83,1,98.81%,,83,0,1,0,0
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,50,50,0,100.00%,,50,0,0,0,0
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,123,113,10,91.87%,,113,7,2,1,0
,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,74,62,12,83.78%,,62,6,3,3,0
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44,42,2,95.45%,,42,0,1,0,1
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,146,140,6,95.89%,,140,1,2,2,1
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,109,107,2,98.17%,,107,1,1,0,0
,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34,33,1,97.06%,,33,1,0,0,0
,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22,18,4,81.82%,,18,1,0,2,1
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,236,230,6,97.46%,,230,5,1,0,0
,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,173,156,17,90.17%,,156,4,7,5,1
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,68,65,3,95.59%,,65,1,0,1,1
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,39,39,0,100.00%,,39,0,0,0,0
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,72,71,1,98.61%,,71,1,0,0,0
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,87,83,4,95.40%,,83,1,2,1,0
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,60,60,0,100.00%,,60,0,0,0,0
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,99,99,0,100.00%,,99,0,0,0,0
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,83,80,3,96.39%,,80,2,1,0,0
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,249,231,18,92.77%,,231,5,6,3,4
,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,198,184,14,92.93%,,184,8,2,2,2
,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,11,11,0,100.00%,,11,0,0,0,0
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,86,85,1,98.84%,,85,0,1,0,0
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,96,95,1,98.96%,,95,0,1,0,0
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,183,176,7,96.17%,,176,3,4,0,0
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,118,118,0,100.00%,,118,0,0,0,0
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,187,177,10,94.65%,,177,3,6,0,1
,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,34,5,87.18%,,34,2,1,2,0
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,125,119,6,95.20%,,119,2,1,0,3
,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27,25,2,92.59%,,25,1,0,1,0
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,143,137,6,95.80%,,137,3,1,1,1
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,182,179,3,98.35%,,179,3,0,0,0
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,141,134,7,95.04%,,134,3,3,1,0
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,95,93,2,97.89%,,93,0,0,1,1
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,106,91,15,85.85%,,91,1,1,4,9
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,76,75,1,98.68%,,75,1,0,0,0
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,55,54,1,98.18%,,54,1,0,0,0
,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,75,75,0,100.00%,,75,0,0,0,0
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,96,94,2,97.92%,,94,1,1,0,0
,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,7,7,0,100.00%,,7,0,0,0,0
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,305,289,16,94.75%,,289,7,6,2,1
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,65,58,7,89.23%,,58,0,3,3,1
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,148,147,1,99.32%,,147,0,0,1,0
,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,90,87,3,96.67%,,87,0,2,1,0
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,174,169,5,97.13%,,169,2,2,1,0
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,12,12,0,100.00%,,12,0,0,0,0
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34,33,1,97.06%,,33,0,1,0,0
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,81,75,6,92.59%,,75,2,3,1,0
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,39,39,0,100.00%,,39,0,0,0,0
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,119,108,11,90.76%,,108,4,4,1,2
,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,122,118,4,96.72%,,118,4,0,0,0
,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,55,54,1,98.18%,,54,0,0,1,0
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,92,87,5,94.57%,,87,1,0,1,3
,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23,23,0,100.00%,,23,0,0,0,0
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,118,112,6,94.92%,,112,2,4,0,0
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,72,69,3,95.83%,,69,0,2,1,0
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,14,12,2,85.71%,,12,1,1,0,0
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45,45,0,100.00%,,45,0,0,0,0
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,294,285,9,96.94%,,285,4,4,1,0
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,41,38,3,92.68%,,38,2,1,0,0
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,45,45,0,100.00%,,45,0,0,0,0
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44,44,0,100.00%,,44,0,0,0,0
,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,115,104,11,90.43%,,104,5,1,2,3
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,116,114,2,98.28%,,114,0,1,0,1
,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,16,16,0,100.00%,,16,0,0,0,0
,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,10,10,0,100.00%,,10,0,0,0,0
,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,17,17,0,100.00%,,17,0,0,0,0
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,146,139,7,95.21%,,139,4,2,1,0
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,190,178,12,93.68%,,178,4,2,3,3
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,178,176,2,98.88%,,176,1,1,0,0
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,209,194,15,92.82%,,194,6,6,2,1
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,185,181,4,97.84%,,181,1,2,0,1
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,140,139,1,99.29%,,139,0,1,0,0
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,ALL CANCERS,128,126,2,98.44%,,126,0,0,0,2
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,ALL CANCERS,236,214,22,90.68%,,214,8,7,4,3
,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,80,77,3,96.25%,,77,1,1,1,0
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ADMITTED,ALL CANCERS,209,192,17,91.87%,,192,10,5,2,0
,RBK,WALSALL HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,51,48,3,94.12%,,48,2,1,0,0
,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18,18,0,100.00%,,18,0,0,0,0
,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,62,59,3,95.16%,,59,3,0,0,0
,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,88,88,0,100.00%,,88,0,0,0,0
,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,133,133,0,100.00%,,133,0,0,0,0
,RA3,WESTON AREA HEALTH NHS TRUST,ADMITTED,ALL CANCERS,28,26,2,92.86%,,26,2,0,0,0
,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,111,107,4,96.40%,,107,0,1,2,1
,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,161,157,4,97.52%,,157,1,1,1,1
,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,37,37,0,100.00%,,37,0,0,0,0
,RLQ,WYE VALLEY NHS TRUST,ADMITTED,ALL CANCERS,61,59,2,96.72%,,59,0,2,0,0
,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,173,171,2,98.84%,,171,1,0,1,0
,NV3,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,33,26,7,78.79%,,26,4,2,1,0
,NVM,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,5,5,0,100.00%,,5,0,0,0,0
,,,,,,,,,,,,,,
,,ALL ENGLISH PROVIDERS,ADMITTED,ALL CANCERS,14536,13978,558,96.16%,,13978,236,170,84,68
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PART B:NON ADMITTED CARE,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,
,ODS CODE (1),PROVIDER (4) (5),CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 31 DAYS,AFTER 31 DAYS,TREATED WITHIN 31 DAYS,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,AFTER 62 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,30,30,0,100.00%,,30,0,0,0,0
,RCF,AIREDALE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,37,37,0,100.00%,,37,0,0,0,0
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,42,41,1,97.62%,,41,0,0,0,1
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",NON-ADMITTED,ALL CANCERS,71,69,2,97.18%,,69,2,0,0,0
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,28,28,0,100.00%,,28,0,0,0,0
,R1H,BARTS HEALTH NHS TRUST,NON-ADMITTED,ALL CANCERS,90,90,0,100.00%,,90,0,0,0,0
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,58,58,0,100.00%,,58,0,0,0,0
,RC1,BEDFORD HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,21,21,0,100.00%,,21,0,0,0,0
,RQ3,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,29,29,0,100.00%,,29,0,0,0,0
,RMC,BOLTON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,37,37,0,100.00%,,37,0,0,0,0
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,36,36,0,100.00%,,36,0,0,0,0
,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,4,4,0,100.00%,,4,0,0,0,0
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,86,86,0,100.00%,,86,0,0,0,0
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,49,49,0,100.00%,,49,0,0,0,0
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,28,28,0,100.00%,,28,0,0,0,0
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,33,33,0,100.00%,,33,0,0,0,0
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,86,85,1,98.84%,,85,0,1,0,0
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,20,20,0,100.00%,,20,0,0,0,0
