31-DAY (DIAGNOSIS TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,
Oct-15,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,
,RQ3,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,15,15,0,100.00%,,15,0,0,0,0
,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2,2,0,100.00%,,2,0,0,0,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,115,114,1,99.13%,,114,1,0,0,0
,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,57,56,1,98.25%,,56,0,1,0,0
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,101,98,3,97.03%,,98,2,1,0,0
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,144,136,8,94.44%,,136,3,1,3,1
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,111,110,1,99.10%,,110,1,0,0,0
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49,48,1,97.96%,,48,1,0,0,0
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,94,94,0,100.00%,,94,0,0,0,0
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,184,176,8,95.65%,,176,4,1,1,2
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,91,89,2,97.80%,,89,1,0,1,0
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35,35,0,100.00%,,35,0,0,0,0
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,73,72,1,98.63%,,72,0,1,0,0
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,88,88,0,100.00%,,88,0,0,0,0
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,112,106,6,94.64%,,106,1,3,0,2
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,62,60,2,96.77%,,60,1,0,0,1
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,135,134,1,99.26%,,134,0,1,0,0
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,35,35,0,100.00%,,35,0,0,0,0
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,36,35,1,97.22%,,35,0,1,0,0
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,200,188,12,94.00%,,188,5,3,2,2
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,85,83,2,97.65%,,83,0,1,1,0
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,57,56,1,98.25%,,56,0,1,0,0
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,77,75,2,97.40%,,75,2,0,0,0
,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,38,38,0,100.00%,,38,0,0,0,0
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,177,168,9,94.92%,,168,2,3,2,2
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,106,106,0,100.00%,,106,0,0,0,0
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,115,115,0,100.00%,,115,0,0,0,0
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,22,21,1,95.45%,,21,0,1,0,0
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,83,82,1,98.80%,,82,1,0,0,0
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,96,96,0,100.00%,,96,0,0,0,0
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,37,37,0,100.00%,,37,0,0,0,0
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,221,221,0,100.00%,,221,0,0,0,0
,RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,16,16,0,100.00%,,16,0,0,0,0
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,94,91,3,96.81%,,91,1,2,0,0
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,228,214,14,93.86%,,214,3,8,1,2
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,123,119,4,96.75%,,119,2,1,0,1
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45,44,1,97.78%,,44,0,1,0,0
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,236,231,5,97.88%,,231,2,3,0,0
,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,74,74,0,100.00%,,74,0,0,0,0
,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ADMITTED,ALL CANCERS,27,26,1,96.30%,,26,0,1,0,0
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24,24,0,100.00%,,24,0,0,0,0
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,208,203,5,97.60%,,203,2,1,1,1
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,162,157,5,96.91%,,157,2,1,2,0
,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,132,127,5,96.21%,,127,2,2,1,0
,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,33,33,0,100.00%,,33,0,0,0,0
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,84,84,0,100.00%,,84,0,0,0,0
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,72,71,1,98.61%,,71,1,0,0,0
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,153,153,0,100.00%,,153,0,0,0,0
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48,46,2,95.83%,,46,1,0,1,0
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,150,146,4,97.33%,,146,3,0,0,1
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,315,310,5,98.41%,,310,1,3,1,0
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,ADMITTED,ALL CANCERS,52,50,2,96.15%,,50,1,0,1,0
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47,46,1,97.87%,,46,1,0,0,0
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38,38,0,100.00%,,38,0,0,0,0
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,102,100,2,98.04%,,100,2,0,0,0
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,68,68,0,100.00%,,68,0,0,0,0
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,133,127,6,95.49%,,127,6,0,0,0
,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,74,65,9,87.84%,,65,5,1,2,1
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41,40,1,97.56%,,40,0,1,0,0
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,152,137,15,90.13%,,137,7,5,2,1
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,120,120,0,100.00%,,120,0,0,0,0
,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48,46,2,95.83%,,46,1,1,0,0
,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18,18,0,100.00%,,18,0,0,0,0
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,261,253,8,96.93%,,253,3,0,2,3
,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,209,199,10,95.22%,,199,2,4,2,2
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,90,87,3,96.67%,,87,1,1,1,0
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,28,28,0,100.00%,,28,0,0,0,0
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,84,84,0,100.00%,,84,0,0,0,0
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,81,75,6,92.59%,,75,5,0,1,0
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,46,42,4,91.30%,,42,2,1,1,0
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,93,93,0,100.00%,,93,0,0,0,0
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,88,87,1,98.86%,,87,0,0,0,1
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,277,264,13,95.31%,,264,3,4,3,3
,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,225,220,5,97.78%,,220,2,2,1,0
,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,9,9,0,100.00%,,9,0,0,0,0
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,95,94,1,98.95%,,94,1,0,0,0
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,97,97,0,100.00%,,97,0,0,0,0
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,229,222,7,96.94%,,222,5,1,1,0
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,104,103,1,99.04%,,103,1,0,0,0
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,162,156,6,96.30%,,156,2,3,1,0
,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,55,52,3,94.55%,,52,3,0,0,0
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,107,102,5,95.33%,,102,2,3,0,0
,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45,43,2,95.56%,,43,1,0,1,0
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,148,138,10,93.24%,,138,3,6,1,0
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,252,217,35,86.11%,,217,8,14,5,8
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,182,181,1,99.45%,,181,0,1,0,0
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,86,84,2,97.67%,,84,0,0,0,2
,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,17,17,0,100.00%,,17,0,0,0,0
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,147,145,2,98.64%,,145,1,0,1,0
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,95,95,0,100.00%,,95,0,0,0,0
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,86,80,6,93.02%,,80,0,1,4,1
,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,66,66,0,100.00%,,66,0,0,0,0
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,107,103,4,96.26%,,103,1,3,0,0
,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,9,9,0,100.00%,,9,0,0,0,0
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,335,328,7,97.91%,,328,3,0,3,1
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,82,82,0,100.00%,,82,0,0,0,0
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,147,144,3,97.96%,,144,1,1,1,0
,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,92,90,2,97.83%,,90,2,0,0,0
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,162,154,8,95.06%,,154,1,4,2,1
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,21,21,0,100.00%,,21,0,0,0,0
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43,43,0,100.00%,,43,0,0,0,0
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,88,83,5,94.32%,,83,1,1,2,1
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,33,31,2,93.94%,,31,1,0,1,0
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,117,112,5,95.73%,,112,4,0,0,1
,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,164,159,5,96.95%,,159,4,0,0,1
,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56,56,0,100.00%,,56,0,0,0,0
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,75,73,2,97.33%,,73,0,1,1,0
,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28,28,0,100.00%,,28,0,0,0,0
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,109,105,4,96.33%,,105,4,0,0,0
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,72,71,1,98.61%,,71,1,0,0,0
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28,26,2,92.86%,,26,2,0,0,0
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,99,97,2,97.98%,,97,2,0,0,0
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30,30,0,100.00%,,30,0,0,0,0
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,308,296,12,96.10%,,296,3,5,2,2
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,61,61,0,100.00%,,61,0,0,0,0
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,52,52,0,100.00%,,52,0,0,0,0
,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2,2,0,100.00%,,2,0,0,0,0
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,55,55,0,100.00%,,55,0,0,0,0
,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,135,124,11,91.85%,,124,1,3,2,5
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,144,143,1,99.31%,,143,0,0,1,0
,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,11,11,0,100.00%,,11,0,0,0,0
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,ALL CANCERS,153,147,6,96.08%,,147,1,1,1,3
,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,10,10,0,100.00%,,10,0,0,0,0
,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,26,26,0,100.00%,,26,0,0,0,0
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,171,168,3,98.25%,,168,0,1,0,2
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,187,179,8,95.72%,,179,1,2,2,3
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,185,182,3,98.38%,,182,2,0,1,0
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,184,176,8,95.65%,,176,3,3,1,1
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,157,150,7,95.54%,,150,5,2,0,0
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,173,171,2,98.84%,,171,0,0,0,2
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,ALL CANCERS,136,136,0,100.00%,,136,0,0,0,0
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,ALL CANCERS,254,243,11,95.67%,,243,5,1,3,2
,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,85,85,0,100.00%,,85,0,0,0,0
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ADMITTED,ALL CANCERS,240,235,5,97.92%,,235,2,2,1,0
,RBK,WALSALL HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,69,69,0,100.00%,,69,0,0,0,0
,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23,23,0,100.00%,,23,0,0,0,0
,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,76,75,1,98.68%,,75,0,0,0,1
,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,84,84,0,100.00%,,84,0,0,0,0
,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,174,171,3,98.28%,,171,2,0,1,0
,RA3,WESTON AREA HEALTH NHS TRUST,ADMITTED,ALL CANCERS,18,17,1,94.44%,,17,1,0,0,0
,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,117,114,3,97.44%,,114,2,1,0,0
,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,162,153,9,94.44%,,153,0,1,3,5
,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,74,73,1,98.65%,,73,0,1,0,0
,RLQ,WYE VALLEY NHS TRUST,ADMITTED,ALL CANCERS,49,47,2,95.92%,,47,1,1,0,0
,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42,41,1,97.62%,,41,1,0,0,0
,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,165,164,1,99.39%,,164,1,0,0,0
,NV3,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,40,38,2,95.00%,,38,1,0,1,0
,NVM,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,7,7,0,100.00%,,7,0,0,0,0
,NYT,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0
,RFW,DISCONTINUED ORGANISATION,ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0
,,,,,,,,,,,,,,
,,ALL ENGLISH PROVIDERS,ADMITTED,ALL CANCERS,15777,15319,458,97.10%,,15319,181,129,78,70
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PART B:NON ADMITTED CARE,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,
,ODS CODE (1),PROVIDER (4) (5),CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 31 DAYS,AFTER 31 DAYS,TREATED WITHIN 31 DAYS,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,AFTER 62 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,27,27,0,100.00%,,27,0,0,0,0
,RCF,AIREDALE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,37,37,0,100.00%,,37,0,0,0,0
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,48,48,0,100.00%,,48,0,0,0,0
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",NON-ADMITTED,ALL CANCERS,72,71,1,98.61%,,71,1,0,0,0
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,35,35,0,100.00%,,35,0,0,0,0
,R1H,BARTS HEALTH NHS TRUST,NON-ADMITTED,ALL CANCERS,123,123,0,100.00%,,123,0,0,0,0
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,73,71,2,97.26%,,71,1,0,0,1
,RC1,BEDFORD HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,40,40,0,100.00%,,40,0,0,0,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,39,39,0,100.00%,,39,0,0,0,0
,RMC,BOLTON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,38,38,0,100.00%,,38,0,0,0,0
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,36,36,0,100.00%,,36,0,0,0,0
