62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: November 2016,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,66,46.5,19.5,70.45%,,10,8,8,20.5,5.5,7,0.5,6.5
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43.5,34,9.5,78.16%,,8,6.5,8,11.5,2.5,1.5,1.5,4
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31.5,27.5,4,87.30%,,4,4,3.5,16,1,1,0.5,1.5
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43,38.5,4.5,89.53%,,10.5,8,8,12,0.5,2.5,0.5,1
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47.5,39.5,8,83.16%,,11,4,12,12.5,1,2.5,0,4.5
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,64.5,50.5,14,78.29%,,21,7.5,2,20,7.5,1,3,2.5
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45.5,40,5.5,87.91%,,7,8,13.5,11.5,1.5,0,1,3
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,91,73,18,80.22%,,30.5,9,12,21.5,6,5,2,5
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,40.5,33.5,7,82.72%,,8.5,5,9,11,3,1,0.5,2.5
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,31,24,7,77.42%,,4,5,4.5,10.5,0,5,1,1
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,95.5,71,24.5,74.35%,,22,17,6.5,25.5,2.5,9,7,6
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40,34.5,5.5,86.25%,,6,6,9,13.5,1.5,1.5,1.5,1
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34,31,3,91.18%,,2,6,6,17,1.5,0,0,1.5
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,43,23,20,53.49%,,7,4,1,11,2.5,3,4,10.5
,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,14.5,13,1.5,89.66%,,5.5,0.5,3.5,3.5,0.5,1,0,0
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,138.5,101.5,37,73.29%,,26.5,16,21,38,6,5.5,13.5,12
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,65,59.5,5.5,91.54%,,18,8.5,8,25,1,1,2,1.5
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,84,66,18,78.57%,,23,9,8.5,25.5,7.5,3.5,1,6
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,33,28.5,4.5,86.36%,,4.5,3,10,11,0,3,0.5,1
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,80,75.5,4.5,94.38%,,29.5,17,10.5,18.5,0,1,2,1.5
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41.5,39,2.5,93.98%,,13,7,11,8,1,0,1.5,0
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,20.5,16,4.5,78.05%,,4.5,4.5,2.5,4.5,1.5,1.5,0,1.5
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,94.5,75,19.5,79.37%,,11.5,13.5,12,38,7.5,3.5,2,6.5
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49,42,7,85.71%,,6.5,6.5,13.5,15.5,2,1.5,3.5,0
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,84.5,56.5,28,66.86%,,2.5,2.5,15,36.5,8.5,6,5,8.5
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,76.5,69,7.5,90.20%,,25,10,17,17,1.5,2,1,3
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24.5,21.5,3,87.76%,,7.5,1,5,8,1,2,0,0
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,108,101.5,6.5,93.98%,,24,12.5,25,40,2,2,0,2.5
,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ADMITTED,ALL CANCERS,17.5,14,3.5,80.00%,,4,3,2,5,2.5,1,0,0
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,12,8.5,3.5,70.83%,,2,1,1.5,4,2,0.5,0.5,0.5
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,91.5,66.5,25,72.68%,,19.5,6,14.5,26.5,4.5,10,4.5,6
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,55.5,45,10.5,81.08%,,12,4,7,22,2.5,3.5,1,3.5
,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,61.5,49.5,12,80.49%,,11,10,9,19.5,3,1,1.5,6.5
,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,16,13,3,81.25%,,2,1,4,6,0,0.5,1,1.5
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38,32,6,84.21%,,11,3,6.5,11.5,1.5,1,1.5,2
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45,41.5,3.5,92.22%,,10,5,5.5,21,0,1,0.5,2
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,83.5,70,13.5,83.83%,,17.5,11,10.5,31,4.5,6,2,1
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22.5,21.5,1,95.56%,,13.5,4,1,3,0,0.5,0.5,0
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,88.5,73.5,15,83.05%,,22.5,11.5,18,21.5,4.5,3,2.5,5
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,139.5,114,25.5,81.72%,,21.5,22.5,30,40,7.5,6.5,5.5,6
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,ADMITTED,ALL CANCERS,41.5,31.5,10,75.90%,,4.5,4.5,12.5,10,5.5,0.5,0.5,3.5
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,6.5,6,0.5,92.31%,,3,1,1,1,0,0,0,0.5
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,17.5,15.5,2,88.57%,,1,1.5,2,11,0,0,2,0
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,49,44,5,89.80%,,6,5,13.5,19.5,1,1,2.5,0.5
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38.5,32.5,6,84.42%,,5,6,7,14.5,1.5,0.5,0,4
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,54.5,34.5,20,63.30%,,6.5,0,9.5,18.5,8.5,3.5,2,6
,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48,27,21,56.25%,,1,3.5,10,12.5,7.5,2,3.5,8
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27.5,25.5,2,92.73%,,7.5,3.5,6,8.5,1,0,0.5,0.5
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,76.5,55,21.5,71.90%,,15,6,6,28,7,5,4.5,5
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,73.5,59.5,14,80.95%,,16,8.5,13.5,21.5,5,3.5,3.5,2
,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39.5,31,8.5,78.48%,,7,2,10,12,2.5,2.5,2,1.5
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,128,105,23,82.03%,,28,20,20.5,36.5,9,5,4.5,4.5
,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,96,83,13,86.46%,,33,9.5,15,25.5,2,5.5,0.5,5
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,49.5,42.5,7,85.86%,,15,8,11,8.5,5,0,2,0
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,13,11.5,1.5,88.46%,,2,1,2,6.5,0,0,0,1.5
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,59.5,53.5,6,89.92%,,16,14,9,14.5,0.5,3.5,0.5,1.5
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,54.5,44,10.5,80.73%,,5,5,14,20,2.5,2,2.5,3.5
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,35.5,32,3.5,90.14%,,17,2,8,5,1,1,1.5,0
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47,37.5,9.5,79.79%,,8.5,3,3.5,22.5,1.5,5,2,1
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38.5,30.5,8,79.22%,,7.5,2.5,9,11.5,2,5,0.5,0.5
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,114.5,88.5,26,77.29%,,18.5,14,22.5,33.5,5.5,5,3.5,12
,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,129.5,98.5,31,76.06%,,41,12,26.5,19,5.5,10.5,8,7
,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,4,3,1,75.00%,,0,0,0,3,0,0.5,0.5,0
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,47.5,41,6.5,86.32%,,13,6,8.5,13.5,2.5,1,1.5,1.5
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,62.5,49,13.5,78.40%,,18,3,8,20,4.5,4,1.5,3.5
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,87,64.5,22.5,74.14%,,12,12,16.5,24,9,1.5,5,7
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,62,58,4,93.55%,,24,7.5,6,20.5,2,2,0,0
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,95.5,71,24.5,74.35%,,18.5,14,18,20.5,3,10,4,7.5
,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,15,13,2,86.67%,,1.5,3.5,3,5,1,0,0,1
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,59.5,48,11.5,80.67%,,12,5,8.5,22.5,1,5,1.5,4
,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,10,4.5,5.5,45.00%,,0.5,0.5,0.5,3,0,1,2,2.5
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,107,95,12,88.79%,,42,12,24,17,5,3,2,2
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,121,105.5,15.5,87.19%,,42,28.5,10,25,4,4,3.5,4
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,74.5,60.5,14,81.21%,,23.5,2.5,8.5,26,6,2,1,5
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,32.5,27,5.5,83.08%,,5,4.5,5.5,12,1,2,0.5,2
,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,3.5,3.5,0,100.00%,,0,0,1,2.5,0,0,0,0
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49.5,42.5,7,85.86%,,11.5,10.5,7,13.5,2,0.5,0.5,4
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42,34,8,80.95%,,6,6,9.5,12.5,8,0,0,0
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25,22,3,88.00%,,5,1.5,5.5,10,1,0.5,1,0.5
,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32.5,32,0.5,98.46%,,3,6.5,14.5,8,0,0,0.5,0
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,53,45,8,84.91%,,9.5,8,12.5,15,2.5,3.5,2,0
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,103.5,77.5,26,74.88%,,21.5,14,17,25,7,8,4,7
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,51.5,43.5,8,84.47%,,5.5,5.5,17.5,15,2,3.5,2,0.5
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,86,66.5,19.5,77.33%,,14,4,23,25.5,7,6,1.5,5
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,108.5,86.5,22,79.72%,,32,15.5,16.5,22.5,8.5,7.5,3,3
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,7,6,1,85.71%,,1.5,0,0,4.5,0,0,0,1
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31,27,4,87.10%,,3.5,5,11,7.5,3.5,0,0.5,0
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46.5,31.5,15,67.74%,,7.5,8,7,9,5.5,2.5,3,4
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,21.5,15,6.5,69.77%,,2,2,4.5,6.5,1.5,2.5,0,2.5
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,54.5,42,12.5,77.06%,,5.5,9.5,13.5,13.5,2,2.5,3,5
,RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,53.5,47,6.5,87.85%,,14.5,11.5,4,17,0.5,2,2,2
,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25,23,2,92.00%,,6,6.5,4,6.5,0.5,1.5,0,0
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,66,62,4,93.94%,,15.5,19,15.5,12,2,0,0,2
,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22.5,21,1.5,93.33%,,3.5,3.5,5.5,8.5,0,0.5,0,1
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,85,69,16,81.18%,,15,24,19,11,4,5.5,5,1.5
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,19,13.5,5.5,71.05%,,0,0.5,2.5,10.5,1.5,1,1,2
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0,0,0,0
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,54,44.5,9.5,82.41%,,10,7,7,20.5,1.5,4,1.5,2.5
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,21.5,16,5.5,74.42%,,9,2,1,4,1,2.5,2,0
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,102,88.5,13.5,86.76%,,15.5,15.5,24.5,33,4,2.5,2.5,4.5
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,26,25.5,0.5,98.08%,,6,5,6.5,8,0,0,0,0.5
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,34,28,6,82.35%,,9,4,4.5,10.5,0.5,2,2.5,1
,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0.5,0,0,0,0,0
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38,32.5,5.5,85.53%,,14,4,7.5,7,2,2,1,0.5
,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,66.5,58.5,8,87.97%,,25,9.5,11,13,1,1.5,2,3.5
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40,31.5,8.5,78.75%,,4.5,4.5,6.5,16,1.5,3,1,3
,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0.5,0,0,0,0,0
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,ALL CANCERS,68,45,23,66.18%,,12,3,7,23,4,5,6.5,7.5
,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,13.5,12.5,1,92.59%,,6,0,2.5,4,0,0,0,1
,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37.5,35.5,2,94.67%,,10,2,6.5,17,0,2,0,0
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,72.5,46.5,26,64.14%,,12,9,11,14.5,6.5,7.5,1.5,10.5
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,69.5,53.5,16,76.98%,,13.5,7,11,22,7,1.5,0.5,7
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,57.5,49.5,8,86.09%,,12.5,4.5,10,22.5,3,2.5,0.5,2
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,85.5,61.5,24,71.93%,,12.5,5.5,25,18.5,6,5.5,1.5,11
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,58,43,15,74.14%,,8,4.5,10.5,20,2.5,3.5,7,2
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,82.5,75,7.5,90.91%,,23,13.5,12.5,26,2,1,1.5,3
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,ALL CANCERS,61,48,13,78.69%,,2,8.5,10.5,27,5,3.5,3,1.5
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,ALL CANCERS,105,78,27,74.29%,,15,14.5,15,33.5,10,7,4,6
,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33.5,31.5,2,94.03%,,9,1.5,11,10,1.5,0,0.5,0
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ADMITTED,ALL CANCERS,137.5,89,48.5,64.73%,,20,12,16,41,13.5,15,9,11
,RBK,WALSALL HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,29.5,26,3.5,88.14%,,10,2,7,7,1.5,0.5,1.5,0
,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,15,15,0,100.00%,,5,2,1,7,0,0,0,0
,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,43.5,40,3.5,91.95%,,7,11,9,13,1.5,2,0,0
,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49,39,10,79.59%,,9,6.5,9,14.5,2,5,2,1
