31-DAY WAIT FOR SECOND OR SUBSEQUENT TREATMENT: RADIOTHERAPY TREATMENTS,,,,,,,,,,,,,,
PERIOD: September 2015,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,
Footnotes: See bottom of page,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING SECOND OR SUBSEQUENT TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 31 DAYS,,NUMBER OF PEOPLE RECEIVING SECOND OR SUBSEQUENT TREATMENT,,,,
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,6,6,0,100.00%,,6,0,0,0,0
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,RADIOTHERAPY,29,29,0,100.00%,,29,0,0,0,0
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,RADIOTHERAPY,16,16,0,100.00%,,16,0,0,0,0
,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,RADIOTHERAPY,4,4,0,100.00%,,4,0,0,0,0
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,8,8,0,100.00%,,8,0,0,0,0
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,RADIOTHERAPY,54,54,0,100.00%,,54,0,0,0,0
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,RADIOTHERAPY,31,29,2,93.55%,,29,0,1,1,0
,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,23,22,1,95.65%,,22,1,0,0,0
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,RADIOTHERAPY,14,13,1,92.86%,,13,1,0,0,0
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,RADIOTHERAPY,136,134,2,98.53%,,134,0,2,0,0
,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,RADIOTHERAPY,3,1,2,33.33%,,1,1,1,0,0
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,69,69,0,100.00%,,69,0,0,0,0
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,RADIOTHERAPY,4,4,0,100.00%,,4,0,0,0,0
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,10,9,1,90.00%,,9,0,0,1,0
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,2,1,1,50.00%,,1,0,1,0,0
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,RADIOTHERAPY,7,6,1,85.71%,,6,0,1,0,0
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,17,17,0,100.00%,,17,0,0,0,0
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,32,32,0,100.00%,,32,0,0,0,0
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,3,3,0,100.00%,,3,0,0,0,0
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,3,3,0,100.00%,,3,0,0,0,0
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,21,21,0,100.00%,,21,0,0,0,0
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,RADIOTHERAPY,11,11,0,100.00%,,11,0,0,0,0
,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,12,10,2,83.33%,,10,2,0,0,0
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,18,18,0,100.00%,,18,0,0,0,0
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,20,20,0,100.00%,,20,0,0,0,0
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,8,8,0,100.00%,,8,0,0,0,0
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,12,12,0,100.00%,,12,0,0,0,0
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,20,18,2,90.00%,,18,1,0,0,1
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,10,9,1,90.00%,,9,0,0,0,1
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,25,24,1,96.00%,,24,1,0,0,0
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,RADIOTHERAPY,9,9,0,100.00%,,9,0,0,0,0
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,RADIOTHERAPY,14,14,0,100.00%,,14,0,0,0,0
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,64,63,1,98.44%,,63,0,0,1,0
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,35,34,1,97.14%,,34,0,1,0,0
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,50,50,0,100.00%,,50,0,0,0,0
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,RADIOTHERAPY,15,15,0,100.00%,,15,0,0,0,0
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,RADIOTHERAPY,16,15,1,93.75%,,15,0,1,0,0
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ADMITTED,RADIOTHERAPY,5,5,0,100.00%,,5,0,0,0,0
,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,ADMITTED,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,,,,,,,,,,,,,,
,,ALL ENGLISH PROVIDERS,ADMITTED,RADIOTHERAPY,954,929,25,97.38%,,929,11,9,3,2
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PART B:NON ADMITTED CARE,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING SECOND OR SUBSEQUENT TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 31 DAYS,,NUMBER OF PEOPLE RECEIVING SECOND OR SUBSEQUENT TREATMENT,,,,
,ODS CODE (1),PROVIDER,CARE SETTING (2),TREATMENT TYPE (3),TOTAL,WITHIN 31 DAYS,AFTER 31 DAYS,,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,AFTER 62 DAYS
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",NON-ADMITTED,RADIOTHERAPY,43,43,0,100.00%,,43,0,0,0,0
,R1H,BARTS HEALTH NHS TRUST,NON-ADMITTED,RADIOTHERAPY,107,103,4,96.26%,,103,0,2,2,0
,RC1,BEDFORD HOSPITAL NHS TRUST,NON-ADMITTED,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,RADIOTHERAPY,132,130,2,98.48%,,130,0,2,0,0
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,223,213,10,95.52%,,213,6,2,2,0
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,127,119,8,93.70%,,119,3,3,2,0
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,NON-ADMITTED,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,89,82,7,92.13%,,82,4,3,0,0
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,NON-ADMITTED,RADIOTHERAPY,304,288,16,94.74%,,288,6,2,3,5
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,144,144,0,100.00%,,144,0,0,0,0
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,235,225,10,95.74%,,225,5,4,0,1
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,17,17,0,100.00%,,17,0,0,0,0
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,RADIOTHERAPY,158,151,7,95.57%,,151,3,2,2,0
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NON-ADMITTED,RADIOTHERAPY,89,88,1,98.88%,,88,1,0,0,0
,RGQ,IPSWICH HOSPITAL NHS TRUST,NON-ADMITTED,RADIOTHERAPY,93,88,5,94.62%,,88,4,1,0,0
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,273,267,6,97.80%,,267,5,0,1,0
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,NON-ADMITTED,RADIOTHERAPY,336,336,0,100.00%,,336,0,0,0,0
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,NON-ADMITTED,RADIOTHERAPY,326,313,13,96.01%,,313,8,3,2,0
,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,5,5,0,100.00%,,5,0,0,0,0
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,169,162,7,95.86%,,162,3,3,0,1
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,RADIOTHERAPY,42,41,1,97.62%,,41,0,0,1,0
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,NON-ADMITTED,RADIOTHERAPY,68,67,1,98.53%,,67,1,0,0,0
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,NON-ADMITTED,RADIOTHERAPY,82,81,1,98.78%,,81,0,0,1,0
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,RADIOTHERAPY,14,13,1,92.86%,,13,1,0,0,0
,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,RADIOTHERAPY,214,209,5,97.66%,,209,3,2,0,0
,RK9,PLYMOUTH HOSPITALS NHS TRUST,NON-ADMITTED,RADIOTHERAPY,65,59,6,90.77%,,59,3,2,1,0
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,153,152,1,99.35%,,152,1,0,0,0
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,NON-ADMITTED,RADIOTHERAPY,170,164,6,96.47%,,164,2,2,1,1
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,119,113,6,94.96%,,113,4,1,1,0
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,NON-ADMITTED,RADIOTHERAPY,99,99,0,100.00%,,99,0,0,0,0
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,123,122,1,99.19%,,122,0,1,0,0
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,12,12,0,100.00%,,12,0,0,0,0
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,184,174,10,94.57%,,174,3,5,1,1
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,43,43,0,100.00%,,43,0,0,0,0
,RNZ,SALISBURY NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,250,250,0,100.00%,,250,0,0,0,0
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,NON-ADMITTED,RADIOTHERAPY,73,73,0,100.00%,,73,0,0,0,0
,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,47,47,0,100.00%,,47,0,0,0,0
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,167,164,3,98.20%,,164,2,0,0,1
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,98,98,0,100.00%,,98,0,0,0,0
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,49,48,1,97.96%,,48,1,0,0,0
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,279,278,1,99.64%,,278,1,0,0,0
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,348,335,13,96.26%,,335,4,4,5,0
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,296,292,4,98.65%,,292,3,1,0,0
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,266,254,12,95.49%,,254,5,3,2,2
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,NON-ADMITTED,RADIOTHERAPY,74,74,0,100.00%,,74,0,0,0,0
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,RADIOTHERAPY,89,84,5,94.38%,,84,2,3,0,0
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,67,63,4,94.03%,,63,3,0,1,0
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,164,163,1,99.39%,,163,1,0,0,0
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,309,296,13,95.79%,,296,9,3,1,0
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,174,165,9,94.83%,,165,4,4,0,1
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,NON-ADMITTED,RADIOTHERAPY,162,157,5,96.91%,,157,3,2,0,0
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,NON-ADMITTED,RADIOTHERAPY,100,92,8,92.00%,,92,5,1,2,0
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,NON-ADMITTED,RADIOTHERAPY,132,131,1,99.24%,,131,1,0,0,0
,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,NON-ADMITTED,RADIOTHERAPY,16,16,0,100.00%,,16,0,0,0,0
,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,,,,,,,,,,,,,,
,,ALL ENGLISH PROVIDERS,NON-ADMITTED,RADIOTHERAPY,7425,7210,215,97.10%,,7210,110,61,31,13
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PART C:ALL CARE,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING SECOND OR SUBSEQUENT TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 31 DAYS,,NUMBER OF PEOPLE RECEIVING SECOND OR SUBSEQUENT TREATMENT,,,,
,ODS CODE (1),PROVIDER,CARE SETTING (2),TREATMENT TYPE (3),TOTAL,WITHIN 31 DAYS,AFTER 31 DAYS,,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,AFTER 62 DAYS
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ALL CARE,RADIOTHERAPY,43,43,0,100.00%,,43,0,0,0,0
,R1H,BARTS HEALTH NHS TRUST,ALL CARE,RADIOTHERAPY,108,104,4,96.30%,,104,0,2,2,0
,RC1,BEDFORD HOSPITAL NHS TRUST,ALL CARE,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ALL CARE,RADIOTHERAPY,159,157,2,98.74%,,157,0,2,0,0
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,229,219,10,95.63%,,219,6,2,2,0
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,136,127,9,93.38%,,127,4,3,2,0
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ALL CARE,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,106,98,8,92.45%,,98,5,3,0,0
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ALL CARE,RADIOTHERAPY,321,302,19,94.08%,,302,8,3,3,5
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ALL CARE,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,155,155,0,100.00%,,155,0,0,0,0
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,259,249,10,96.14%,,249,5,4,0,1
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,23,23,0,100.00%,,23,0,0,0,0
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ALL CARE,RADIOTHERAPY,187,180,7,96.26%,,180,3,2,2,0
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ALL CARE,RADIOTHERAPY,105,104,1,99.05%,,104,1,0,0,0
,RGQ,IPSWICH HOSPITAL NHS TRUST,ALL CARE,RADIOTHERAPY,97,92,5,94.85%,,92,4,1,0,0
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,281,275,6,97.86%,,275,5,0,1,0
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ALL CARE,RADIOTHERAPY,390,390,0,100.00%,,390,0,0,0,0
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ALL CARE,RADIOTHERAPY,357,342,15,95.80%,,342,8,4,3,0
,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,6,6,0,100.00%,,6,0,0,0,0
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,192,184,8,95.83%,,184,4,3,0,1
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ALL CARE,RADIOTHERAPY,42,41,1,97.62%,,41,0,0,1,0
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ALL CARE,RADIOTHERAPY,68,67,1,98.53%,,67,1,0,0,0
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ALL CARE,RADIOTHERAPY,96,94,2,97.92%,,94,1,0,1,0
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ALL CARE,RADIOTHERAPY,150,147,3,98.00%,,147,1,2,0,0
,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ALL CARE,RADIOTHERAPY,217,210,7,96.77%,,210,4,3,0,0
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,69,69,0,100.00%,,69,0,0,0,0
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ALL CARE,RADIOTHERAPY,69,63,6,91.30%,,63,3,2,1,0
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,163,161,2,98.77%,,161,1,0,1,0
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ALL CARE,RADIOTHERAPY,170,164,6,96.47%,,164,2,2,1,1
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,121,114,7,94.21%,,114,4,2,1,0
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ALL CARE,RADIOTHERAPY,106,105,1,99.06%,,105,0,1,0,0
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,140,139,1,99.29%,,139,0,1,0,0
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,44,44,0,100.00%,,44,0,0,0,0
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,187,177,10,94.65%,,177,3,5,1,1
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,46,46,0,100.00%,,46,0,0,0,0
,RNZ,SALISBURY NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,271,271,0,100.00%,,271,0,0,0,0
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ALL CARE,RADIOTHERAPY,84,84,0,100.00%,,84,0,0,0,0
,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,59,57,2,96.61%,,57,2,0,0,0
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,185,182,3,98.38%,,182,2,0,0,1
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,118,118,0,100.00%,,118,0,0,0,0
