62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: September 2015,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See bottom of page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 62 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30.5,25.5,5,83.61%,,2,2.5,6,15,2,0,0.5,2.5
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,32.5,27,5.5,83.08%,,5,3,4,15,0,2.5,1,2
,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,19.5,16,3.5,82.05%,,2.5,4.5,4,5,0.5,2,1,0
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,128.5,87,41.5,67.70%,,26,6.5,15,39.5,14.5,10,4.5,12.5
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,56,46,10,82.14%,,7.5,10,7.5,21,2.5,4,2.5,1
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,77,56.5,20.5,73.38%,,9,6.5,16.5,24.5,7.5,7,2,4
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,27,20,7,74.07%,,2.5,2.5,5,10,2,2,1.5,1.5
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37,31,6,83.78%,,8,4,7.5,11.5,2,1.5,2,0.5
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37.5,31.5,6,84.00%,,6,5.5,8.5,11.5,4.5,0.5,1,0
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,21.5,19.5,2,90.70%,,7,3.5,0.5,8.5,0,0.5,0,1.5
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,95.5,70,25.5,73.30%,,10,7,17.5,35.5,13,4,4,4.5
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36.5,32,4.5,87.67%,,14,3,7,8,2,1.5,0.5,0.5
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,75,52,23,69.33%,,8.5,3.5,9.5,30.5,6.5,8,3.5,5
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,57.5,49,8.5,85.22%,,11,10,11.5,16.5,3.5,2.5,0.5,2
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23,18,5,78.26%,,7,1,3.5,6.5,2,1,0,2
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,99,82,17,82.83%,,20,13,18,31,8,1.5,2,5.5
,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,35.5,3.5,91.03%,,13.5,4,12.5,5.5,1,0,1,1.5
,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ADMITTED,ALL CANCERS,27,25.5,1.5,94.44%,,8,3.5,4,10,0,1.5,0,0
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,13,11,2,84.62%,,1.5,1.5,1.5,6.5,1,1,0,0
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,76,59.5,16.5,78.29%,,15.5,8,10.5,25.5,6.5,3.5,1,5.5
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,61.5,50,11.5,81.30%,,5,6,13.5,25.5,1.5,3,2,5
,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,59,51.5,7.5,87.29%,,14.5,15,10,12,1,2,1.5,3
,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,15.5,11.5,4,74.19%,,3,1,4,3.5,1.5,0.5,0,2
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37.5,32,5.5,85.33%,,9,5,5.5,12.5,2,1,1,1.5
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38.5,25.5,13,66.23%,,4,1,6.5,14,3.5,4,3.5,2
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,73,60,13,82.19%,,24,5.5,8.5,22,4.5,2,3,3.5
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22,22,0,100.00%,,10,4.5,3.5,4,0,0,0,0
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,66.5,53.5,13,80.45%,,13.5,9.5,8.5,22,4,5,1.5,2.5
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,118,99,19,83.90%,,24,14,15,46,5.5,6,4.5,3
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,ADMITTED,ALL CANCERS,37,28,9,75.68%,,8,2.5,9.5,8,3,1.5,4,0.5
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,10.5,7.5,3,71.43%,,0,1,2.5,4,1.5,0.5,0.5,0.5
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,16.5,15,1.5,90.91%,,0,0.5,1.5,13,0,0.5,1,0
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,49.5,40,9.5,80.81%,,9,3.5,6.5,21,3,1.5,2.5,2.5
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29.5,26,3.5,88.14%,,7,2.5,6,10.5,0,2,1.5,0
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,62.5,45,17.5,72.00%,,1.5,3,8,32.5,4.5,5,4.5,3.5
,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25.5,16.5,9,64.71%,,6,1,3,6.5,4,1,1.5,2.5
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25.5,19,6.5,74.51%,,7,3.5,2,6.5,2.5,3,0,1
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,66.5,47.5,19,71.43%,,12.5,8,12.5,14.5,7.5,4,2,5.5
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,69,58.5,10.5,84.78%,,10,6,11,31.5,2,6,1,1.5
,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30.5,28,2.5,91.80%,,2.5,5,9,11.5,1,1,0.5,0
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,112.5,82,30.5,72.89%,,18,11,22.5,30.5,11.5,4,6,9
,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,90.5,73,17.5,80.66%,,21.5,10.5,15,26,6.5,3.5,2.5,5
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,60,46,14,76.67%,,11,7.5,10,17.5,6.5,5.5,1,1
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,9,6,3,66.67%,,2,2,0,2,1.5,0.5,0,1
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33.5,26,7.5,77.61%,,10,2.5,5.5,8,1,0.5,1.5,4.5
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,45.5,39,6.5,85.71%,,13.5,4,10.5,11,3.5,1,1.5,0.5
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,35,30.5,4.5,87.14%,,11,3,8,8.5,0.5,1,1.5,1.5
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47.5,42,5.5,88.42%,,7,4.5,5,25.5,1.5,2,0,2
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,51.5,44,7.5,85.44%,,15,7.5,12.5,9,4,0.5,2,1
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,86.5,65.5,21,75.72%,,11.5,7,16,31,5,5,2.5,8.5
,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,122.5,103.5,19,84.49%,,42,13,18,30.5,2,5,7,5
,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,4.5,2,2.5,44.44%,,0,0,0.5,1.5,0,1.5,1,0
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,72,66,6,91.67%,,9.5,5,13,38.5,2.5,2,0.5,1
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,74,64.5,9.5,87.16%,,15,9.5,17.5,22.5,3,3.5,0,3
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,86.5,61.5,25,71.10%,,17,9,9.5,26,10,4.5,1.5,9
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,68,60,8,88.24%,,27.5,11,11.5,10,2.5,1,1.5,3
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,69.5,59.5,10,85.61%,,7,5,19,28.5,5,3,0,2
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,53.5,39.5,14,73.83%,,7.5,2,4.5,25.5,5,3.5,2.5,3
,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,6,3.5,2.5,58.33%,,0,0,0,3.5,0,1,0.5,1
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,82.5,64.5,18,78.18%,,24,9,9.5,22,6.5,7,3,1.5
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,121.5,98.5,23,81.07%,,28,15.5,33,22,5.5,9.5,1,7
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,60,40.5,19.5,67.50%,,7,5,9.5,19,6,5.5,2,6
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,28,25.5,2.5,91.07%,,3,2.5,8,12,0.5,0,0.5,1.5
,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,5,2,3,40.00%,,0,0,0,2,0,1,0,2
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47.5,37.5,10,78.95%,,6,6.5,8,17,2,2,2,4
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41,36.5,4.5,89.02%,,8,5.5,7,16,3,1.5,0,0
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26.5,20,6.5,75.47%,,2.5,3.5,6.5,7.5,2.5,0.5,0.5,3
,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47.5,44.5,3,93.68%,,19.5,5.5,12,7.5,1.5,0.5,0,1
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,58.5,52,6.5,88.89%,,9,5,9.5,28.5,0,2,2.5,2
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,95.5,73,22.5,76.44%,,13.5,10,17.5,32,9,6.5,3.5,3.5
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44.5,38.5,6,86.52%,,12,8,8,10.5,1.5,1,1.5,2
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,73.5,64,9.5,87.07%,,13,8,16.5,26.5,3.5,2,0.5,3.5
,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,57.5,49,8.5,85.22%,,9,7,4,29,1.5,4,2,1
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,105,79.5,25.5,75.71%,,8,9.5,29.5,32.5,8.5,10,3,4
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,6.5,5,1.5,76.92%,,0,0,3,2,0,0.5,0,1
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32.5,28.5,4,87.69%,,3,3,6.5,16,0,1,2,1
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,28.5,10.5,73.08%,,2,7.5,10,9,7,1,1.5,1
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,25.5,20.5,5,80.39%,,7.5,3,2.5,7.5,0.5,1.5,0,3
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41.5,35.5,6,85.54%,,7,7,7,14.5,2,0,1.5,2.5
,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,37.5,34.5,3,92.00%,,12,4.5,7,11,0.5,0,0.5,2
,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28.5,25.5,3,89.47%,,6,5.5,3.5,10.5,0,0.5,1,1.5
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,60,55,5,91.67%,,11.5,17.5,6.5,19.5,2.5,0.5,0.5,1.5
,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,19.5,17.5,2,89.74%,,4.5,0.5,3,9.5,0.5,0,0.5,1
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,75.5,58,17.5,76.82%,,20,8.5,9.5,20,3,6.5,3,5
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,20.5,15,5.5,73.17%,,1,3.5,5,5.5,3,1.5,0,1
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,4.5,2.5,2,55.56%,,1,0.5,0,1,0,0.5,0.5,1
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,67,56,11,83.58%,,17.5,10,7,21.5,3.5,2.5,0.5,4.5
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,17,16,1,94.12%,,4,3.5,4,4.5,0,0,0.5,0.5
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,97.5,86,11.5,88.21%,,18,10,19.5,38.5,4.5,3.5,0.5,3
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,27.5,23,4.5,83.64%,,7,5,7,4,0.5,2,2,0
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,47,39,8,82.98%,,8,8,11.5,11.5,1,2,3.5,1.5
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26,22,4,84.62%,,9,6.5,3.5,3,1.5,0.5,1,1
,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,64.5,52,12.5,80.62%,,22,5.5,7.5,17,4,3.5,2,3
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45,33.5,11.5,74.44%,,6,4,9,14.5,2,3.5,3,3
,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,5.5,5.5,0,100.00%,,0.5,1,0,4,0,0,0,0
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,ALL CANCERS,55,42,13,76.36%,,5.5,2.5,9.5,24.5,4,3,1,5
,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,7.5,5,2.5,66.67%,,1,1.5,1,1.5,0.5,0.5,0.5,1
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,85,61.5,23.5,72.35%,,14,10,15,22.5,7.5,5.5,4.5,6
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52.5,36.5,16,69.52%,,8.5,0.5,11,16.5,4.5,3.5,1.5,6.5
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48,38.5,9.5,80.21%,,9,4.5,9,16,1.5,4,1.5,2.5
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,78,61,17,78.21%,,18.5,7,10.5,25,8,3,4.5,1.5
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,50.5,31.5,19,62.38%,,7,3.5,11,10,6.5,3.5,1.5,7.5
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,68.5,55.5,13,81.02%,,21,4.5,10.5,19.5,4.5,3.5,1,4
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,ALL CANCERS,57.5,47,10.5,81.74%,,7,6.5,14,19.5,1,2.5,3,4
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,ALL CANCERS,127,88.5,38.5,69.69%,,27,18.5,20.5,22.5,13,11,8.5,6
,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44.5,39.5,5,88.76%,,11.5,1,6,21,0.5,3,0.5,1
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ADMITTED,ALL CANCERS,115,86.5,28.5,75.22%,,17,10,19,40.5,7.5,8.5,4,8.5
,RBK,WALSALL HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,36,25,11,69.44%,,7,2,9,7,3.5,5,0,2.5
,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28,24.5,3.5,87.50%,,7,7.5,4,6,1,1.5,0.5,0.5
,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,50.5,46,4.5,91.09%,,11,9.5,12,13.5,2,0,0.5,2
,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32,27,5,84.38%,,3,6,7.5,10.5,2,0,2,1
,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,83,75,8,90.36%,,13,16,15.5,30.5,3,2,0,3
