31-DAY (DIAGNOSIS TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,
PERIOD: June 2015,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,
Footnotes: See bottom of page,,,,,,,,,,,,,,
"Percentage data was in decimal, so converted",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 31 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,
E18000001,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,70,70,0,100,,70,0,0,0,0
E18000010,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,182,181,1,99.45054945,,181,1,0,0,0
E18000001,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,322,311,11,96.58385093,,311,4,3,3,1
E18000007,RT3,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35,35,0,100,,35,0,0,0,0
E18000007,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,218,192,26,88.0733945,,192,3,9,8,6
E18000005,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,180,155,25,86.11111111,,155,8,4,9,4
E18000005,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,12,12,0,100,,12,0,0,0,0
E18000002,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,59,57,2,96.61016949,,57,2,0,0,0
E18000003,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,343,336,7,97.95918367,,336,4,2,0,1
E18000001,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,85,84,1,98.82352941,,84,0,0,0,1
E18000005,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,224,221,3,98.66071429,,221,0,3,0,0
E18000007,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,13,13,0,100,,13,0,0,0,0
E18000006,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,46,45,1,97.82608696,,45,1,0,0,0
E18000006,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ADMITTED,ALL CANCERS,26,26,0,100,,26,0,0,0,0
E18000007,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,19,19,0,100,,19,0,0,0,0
E18000006,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,138,122,16,88.4057971,,122,8,4,2,2
E18000002,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,94,91,3,96.80851064,,91,1,1,0,1
E18000005,RQ3,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,17,17,0,100,,17,0,0,0,0
E18000007,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,172,171,1,99.41860465,,171,1,0,0,0
E18000008,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,68,67,1,98.52941176,,67,0,1,0,0
E18000008,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52,49,3,94.23076923,,49,0,2,1,0
E18000007,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,4,4,0,100,,4,0,0,0,0
E18000003,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,91,90,1,98.9010989,,90,0,1,0,0
E18000007,RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,6,6,0,100,,6,0,0,0,0
E18000010,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,65,64,1,98.46153846,,64,1,0,0,0
E18000004,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,112,107,5,95.53571429,,107,5,0,0,0
E18000004,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,88,88,0,100,,88,0,0,0,0
E18000002,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,87,82,5,94.25287356,,82,2,0,3,0
E18000005,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,129,129,0,100,,129,0,0,0,0
E18000008,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,57,57,0,100,,57,0,0,0,0
E18000009,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,104,104,0,100,,104,0,0,0,0
E18000010,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,100,96,4,96,,96,1,3,0,0
E18000002,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45,44,1,97.77777778,,44,1,0,0,0
E18000002,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,84,84,0,100,,84,0,0,0,0
E18000002,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,72,67,5,93.05555556,,67,1,1,2,1
E18000002,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,168,163,5,97.02380952,,163,2,1,1,1
E18000006,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,284,272,12,95.77464789,,272,6,2,1,3
E18000005,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,4,4,0,100,,4,0,0,0,0
E18000005,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,39,39,0,100,,39,0,0,0,0
E18000005,RLQ,WYE VALLEY NHS TRUST,ADMITTED,ALL CANCERS,50,49,1,98,,49,1,0,0,0
E18000001,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,96,94,2,97.91666667,,94,0,1,1,0
E18000005,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,ALL CANCERS,139,132,7,94.96402878,,132,4,3,0,0
E18000005,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,3,3,0,100,,3,0,0,0,0
E18000007,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,25,25,0,100,,25,0,0,0,0
E18000005,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,ALL CANCERS,126,125,1,99.20634921,,125,0,0,1,0
E18000010,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,227,217,10,95.59471366,,217,2,4,2,2
E18000004,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,82,81,1,98.7804878,,81,0,1,0,0
E18000007,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,169,168,1,99.40828402,,168,0,1,0,0
E18000002,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,69,66,3,95.65217391,,66,2,1,0,0
E18000002,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,36,33,3,91.66666667,,33,2,1,0,0
E18000003,RJL,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,82,81,1,98.7804878,,81,0,0,1,0
E18000005,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,38,1,97.43589744,,38,0,0,0,1
E18000005,RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,244,227,17,93.03278689,,227,8,5,2,2
E18000005,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,38,1,97.43589744,,38,0,1,0,0
E18000007,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,101,100,1,99.00990099,,100,0,1,0,0
E18000007,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,31,31,0,100,,31,0,0,0,0
E18000007,RJ2,LEWISHAM HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,75,75,0,100,,75,0,0,0,0
E18000007,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,219,207,12,94.52054795,,207,3,6,1,2
E18000009,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,97,90,7,92.78350515,,90,2,4,1,0
E18000009,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,161,151,10,93.78881988,,151,2,7,1,0
E18000003,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,321,311,10,96.8847352,,311,6,3,1,0
E18000009,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,188,181,7,96.27659574,,181,1,5,0,1
E18000010,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,231,194,37,83.98268398,,194,7,14,10,6
E18000006,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,168,155,13,92.26190476,,155,7,3,2,1
E18000006,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,85,85,0,100,,85,0,0,0,0
E18000006,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,104,103,1,99.03846154,,103,1,0,0,0
E18000006,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,82,82,0,100,,82,0,0,0,0
E18000006,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,93,92,1,98.92473118,,92,1,0,0,0
E18000006,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,15,15,0,100,,15,0,0,0,0
E18000007,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,19,19,0,100,,19,0,0,0,0
E18000004,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,85,84,1,98.82352941,,84,1,0,0,0
E18000003,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,53,52,1,98.11320755,,52,1,0,0,0
E18000003,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45,45,0,100,,45,0,0,0,0
E18000007,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ADMITTED,ALL CANCERS,126,122,4,96.82539683,,122,2,2,0,0
E18000002,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,8,8,0,100,,8,0,0,0,0
E18000002,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36,36,0,100,,36,0,0,0,0
E18000002,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,17,17,0,100,,17,0,0,0,0
E18000002,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,91,91,0,100,,91,0,0,0,0
E18000010,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,140,135,5,96.42857143,,135,4,1,0,0
E18000001,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,17,17,0,100,,17,0,0,0,0
E18000010,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,131,119,12,90.83969466,,119,3,2,3,4
E18000006,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,123,112,11,91.05691057,,112,4,2,2,3
E18000006,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46,46,0,100,,46,0,0,0,0
E18000009,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27,26,1,96.2962963,,26,0,0,0,1
E18000009,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,90,90,0,100,,90,0,0,0,0
E18000010,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,126,125,1,99.20634921,,125,1,0,0,0
E18000010,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,ADMITTED,ALL CANCERS,76,75,1,98.68421053,,75,0,0,1,0
E18000006,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,65,65,0,100,,65,0,0,0,0
E18000003,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,4,3,1,75,,3,0,1,0,0
E18000003,RCF,AIREDALE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43,43,0,100,,43,0,0,0,0
E18000003,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49,49,0,100,,49,0,0,0,0
E18000003,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,164,151,13,92.07317073,,151,7,5,0,1
E18000006,RC9,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,58,58,0,100,,58,0,0,0,0
E18000006,RC1,BEDFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,81,81,0,100,,81,0,0,0,0
E18000010,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,44,41,3,93.18181818,,41,1,0,1,1
E18000002,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,80,77,3,96.25,,77,0,1,2,0
E18000002,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46,45,1,97.82608696,,45,1,0,0,0
E18000002,RBQ,LIVERPOOL HEART AND CHEST NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,61,61,0,100,,61,0,0,0,0
E18000002,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,123,122,1,99.18699187,,122,0,1,0,0
E18000002,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,108,106,2,98.14814815,,106,0,2,0,0
E18000005,RBK,WALSALL HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,51,50,1,98.03921569,,50,0,0,1,0
E18000010,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56,56,0,100,,56,0,0,0,0
E18000010,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,112,112,0,100,,112,0,0,0,0
E18000007,RAX,KINGSTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,33,32,1,96.96969697,,32,1,0,0,0
E18000007,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47,47,0,100,,47,0,0,0,0
E18000007,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,28,26,2,92.85714286,,26,1,1,0,0
E18000007,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,16,16,0,100,,16,0,0,0,0
E18000007,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,132,132,0,100,,132,0,0,0,0
E18000006,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,115,111,4,96.52173913,,111,1,1,0,2
E18000003,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,112,112,0,100,,112,0,0,0,0
E18000010,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,89,88,1,98.87640449,,88,0,0,0,1
E18000010,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,166,158,8,95.18072289,,158,2,4,2,0
E18000010,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,53,53,0,100,,53,0,0,0,0
E18000010,RA3,WESTON AREA HEALTH NHS TRUST,ADMITTED,ALL CANCERS,30,30,0,100,,30,0,0,0,0
E18000008,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,130,129,1,99.23076923,,129,1,0,0,0
N/A,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,101,100,1,99.00990099,,100,0,1,0,0
E18000007,R1H,BARTS HEALTH NHS TRUST,ADMITTED,ALL CANCERS,139,133,6,95.68345324,,133,2,3,1,0
E18000009,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,31,31,0,100,,31,0,0,0,0
N/A,NYT,ASSURA EAST RIDING LLP,ADMITTED,ALL CANCERS,2,2,0,100,,2,0,0,0,0
N/A,NV3,CIRCLE,ADMITTED,ALL CANCERS,57,57,0,100,,57,0,0,0,0
,,,,,,,,#DIV/0!,,,,,,
,,ALL ENGLISH PROVIDERS,ADMITTED,ALL CANCERS,15777,15239,538,96.58997275,,15239,190,174,96,78
,,,,,,,,#DIV/0!,,,,,,
,,,,,,,,#DIV/0!,,,,,,
,,,,,,,,#DIV/0!,,,,,,
PART B:NON ADMITTED CARE,,,,,,,,#DIV/0!,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,#VALUE!,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,
ONS AREA ID (1),ODS CODE (2),PROVIDER,CARE SETTING (3),CANCER TYPE (4),TOTAL,WITHIN 31 DAYS,AFTER 31 DAYS,#VALUE!,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,AFTER 62 DAYS
E18000008,RYR,WESTERN SUSSEX HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,89,87,2,97.75280899,,87,0,1,1,0
E18000007,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,48,47,1,97.91666667,,47,0,0,1,0
E18000002,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,8,8,0,100,,8,0,0,0,0
E18000005,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,99,97,2,97.97979798,,97,1,1,0,0
E18000002,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,51,51,0,100,,51,0,0,0,0
E18000009,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,34,34,0,100,,34,0,0,0,0
