31-DAY (DIAGNOSIS TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,
PERIOD: August 2015,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,
Footnotes: See bottom of page,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 31 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,
E18000005,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,33,33,0,100.00%,,33,0,0,0,0
E18000007,RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,10,10,0,100.00%,,10,0,0,0,0
E18000010,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,108,103,5,95.37%,,103,3,1,1,0
E18000007,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,241,225,16,93.36%,,225,3,5,4,4
E18000009,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,109,107,2,98.17%,,107,1,0,1,0
E18000003,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36,36,0,100.00%,,36,0,0,0,0
E18000005,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,242,234,8,96.69%,,234,4,2,1,1
E18000009,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,71,71,0,100.00%,,71,0,0,0,0
E18000006,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ADMITTED,ALL CANCERS,44,44,0,100.00%,,44,0,0,0,0
E18000007,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23,23,0,100.00%,,23,0,0,0,0
E18000003,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,201,192,9,95.52%,,192,2,5,1,1
E18000007,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,148,144,4,97.30%,,144,4,0,0,0
E18000006,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,87,82,5,94.25%,,82,2,1,2,0
E18000009,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,33,33,0,100.00%,,33,0,0,0,0
E18000006,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,80,80,0,100.00%,,80,0,0,0,0
E18000004,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,67,67,0,100.00%,,67,0,0,0,0
E18000007,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,163,162,1,99.39%,,162,0,1,0,0
E18000007,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,55,53,2,96.36%,,53,1,0,0,1
E18000002,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,165,159,6,96.36%,,159,5,1,0,0
E18000003,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,279,277,2,99.28%,,277,1,0,1,0
E18000007,RJ2,LEWISHAM AND GREENWICH NHS TRUST,ADMITTED,ALL CANCERS,18,17,1,94.44%,,17,1,0,0,0
E18000002,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47,47,0,100.00%,,47,0,0,0,0
E18000002,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,19,19,0,100.00%,,19,0,0,0,0
N/A,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,76,74,2,97.37%,,74,0,1,1,0
E18000006,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48,48,0,100.00%,,48,0,0,0,0
E18000008,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,113,109,4,96.46%,,109,0,1,2,1
E18000008,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,51,44,7,86.27%,,44,0,6,0,1
E18000002,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38,38,0,100.00%,,38,0,0,0,0
E18000006,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,146,135,11,92.47%,,135,2,5,1,3
E18000003,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,141,141,0,100.00%,,141,0,0,0,0
E18000009,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29,29,0,100.00%,,29,0,0,0,0
E18000007,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,15,15,0,100.00%,,15,0,0,0,0
E18000006,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,248,233,15,93.95%,,233,9,4,0,2
E18000010,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,179,159,20,88.83%,,159,5,4,4,7
E18000002,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,92,88,4,95.65%,,88,3,0,1,0
E18000007,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,41,40,1,97.56%,,40,0,0,1,0
E18000001,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,84,84,0,100.00%,,84,0,0,0,0
E18000004,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,93,90,3,96.77%,,90,1,2,0,0
E18000010,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,35,34,1,97.14%,,34,0,1,0,0
E18000003,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,75,75,0,100.00%,,75,0,0,0,0
E18000001,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,74,70,4,94.59%,,70,3,1,0,0
E18000004,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,244,234,10,95.90%,,234,2,3,4,1
E18000009,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,207,199,8,96.14%,,199,6,2,0,0
E18000006,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,12,12,0,100.00%,,12,0,0,0,0
E18000002,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,91,91,0,100.00%,,91,0,0,0,0
E18000006,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,97,97,0,100.00%,,97,0,0,0,0
E18000010,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,175,173,2,98.86%,,173,2,0,0,0
E18000010,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,113,112,1,99.12%,,112,1,0,0,0
E18000009,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,171,164,7,95.91%,,164,4,1,2,0
E18000008,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44,43,1,97.73%,,43,0,0,0,1
E18000009,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,89,86,3,96.63%,,86,3,0,0,0
E18000007,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22,22,0,100.00%,,22,0,0,0,0
E18000010,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,133,131,2,98.50%,,131,0,0,2,0
E18000010,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,211,189,22,89.57%,,189,7,4,7,4
E18000007,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,124,121,3,97.58%,,121,3,0,0,0
E18000002,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,78,75,3,96.15%,,75,1,0,1,1
E18000007,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,15,14,1,93.33%,,14,1,0,0,0
E18000008,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,115,111,4,96.52%,,111,1,1,1,1
E18000010,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,87,87,0,100.00%,,87,0,0,0,0
E18000002,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,57,54,3,94.74%,,54,1,0,1,1
E18000010,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,60,60,0,100.00%,,60,0,0,0,0
E18000005,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,90,89,1,98.89%,,89,1,0,0,0
E18000003,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,3,3,0,100.00%,,3,0,0,0,0
E18000003,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,281,271,10,96.44%,,271,1,6,3,0
E18000004,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,66,65,1,98.48%,,65,1,0,0,0
E18000005,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,123,120,3,97.56%,,120,0,2,0,1
E18000009,R1C,SOLENT NHS TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0
E18000010,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,73,73,0,100.00%,,73,0,0,0,0
E18000001,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,156,153,3,98.08%,,153,0,3,0,0
E18000001,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,12,12,0,100.00%,,12,0,0,0,0
E18000005,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49,47,2,95.92%,,47,2,0,0,0
E18000006,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,105,100,5,95.24%,,100,1,1,3,0
E18000002,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,25,25,0,100.00%,,25,0,0,0,0
E18000007,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,126,125,1,99.21%,,125,0,1,0,0
E18000002,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,130,125,5,96.15%,,125,1,2,0,2
E18000002,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,51,49,2,96.08%,,49,1,0,1,0
E18000008,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,89,88,1,98.88%,,88,0,1,0,0
E18000002,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30,30,0,100.00%,,30,0,0,0,0
E18000010,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,92,87,5,94.57%,,87,0,5,0,0
E18000002,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52,50,2,96.15%,,50,0,2,0,0
E18000002,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,19,19,0,100.00%,,19,0,0,0,0
E18000005,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,92,92,0,100.00%,,92,0,0,0,0
E18000007,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52,51,1,98.08%,,51,1,0,0,0
E18000001,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,308,291,17,94.48%,,291,7,6,3,1
E18000006,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,35,32,3,91.43%,,32,1,1,1,0
E18000006,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,58,57,1,98.28%,,57,1,0,0,0
E18000005,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0
E18000003,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,58,58,0,100.00%,,58,0,0,0,0
E18000010,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,114,102,12,89.47%,,102,4,2,4,2
E18000007,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,166,165,1,99.40%,,165,0,1,0,0
E18000005,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,13,12,1,92.31%,,12,0,1,0,0
E18000005,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,ALL CANCERS,119,112,7,94.12%,,112,0,0,4,3
E18000002,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,11,11,0,100.00%,,11,0,0,0,0
E18000007,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,17,17,0,100.00%,,17,0,0,0,0
E18000004,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,129,115,14,89.15%,,115,3,9,1,1
E18000007,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,187,162,25,86.63%,,162,3,5,12,5
E18000002,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,155,153,2,98.71%,,153,1,0,0,1
E18000009,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,184,174,10,94.57%,,174,3,4,1,2
E18000005,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,143,140,3,97.90%,,140,2,1,0,0
E18000010,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,167,160,7,95.81%,,160,5,2,0,0
E18000005,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,ALL CANCERS,109,107,2,98.17%,,107,2,0,0,0
E18000004,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,ALL CANCERS,221,212,9,95.93%,,212,4,2,2,1
E18000002,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,92,91,1,98.91%,,91,1,0,0,0
E18000005,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ADMITTED,ALL CANCERS,210,202,8,96.19%,,202,3,2,2,1
E18000005,RBK,WALSALL HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,47,46,1,97.87%,,46,0,1,0,0
E18000002,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,20,20,0,100.00%,,20,0,0,0,0
E18000006,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,87,86,1,98.85%,,86,0,1,0,0
E18000007,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,17,17,0,100.00%,,17,0,0,0,0
E18000006,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,86,86,0,100.00%,,86,0,0,0,0
E18000008,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,150,149,1,99.33%,,149,0,1,0,0
E18000010,RA3,WESTON AREA HEALTH NHS TRUST,ADMITTED,ALL CANCERS,18,18,0,100.00%,,18,0,0,0,0
E18000002,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,111,104,7,93.69%,,104,1,2,4,0
E18000005,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,139,139,0,100.00%,,139,0,0,0,0
E18000002,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,61,57,4,93.44%,,57,4,0,0,0
E18000005,RLQ,WYE VALLEY NHS TRUST,ADMITTED,ALL CANCERS,53,52,1,98.11%,,52,0,1,0,0
E18000010,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,50,49,1,98.00%,,49,1,0,0,0
E18000003,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,186,184,2,98.92%,,184,1,1,0,0
N/A,NV3,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,36,35,1,97.22%,,35,0,0,0,1
N/A,NVM,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,2,2,0,100.00%,,2,0,0,0,0
,,,,,,,,,,,,,,
,,ALL ENGLISH PROVIDERS,ADMITTED,ALL CANCERS,14190,13722,468,96.70%,,13722,170,146,93,59
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PART B:NON ADMITTED CARE,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 31 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,
ONS AREA ID (1),ODS CODE (2),PROVIDER,CARE SETTING (3),CANCER TYPE (4),TOTAL,WITHIN 31 DAYS,AFTER 31 DAYS,,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,AFTER 62 DAYS
E18000002,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,32,32,0,100.00%,,32,0,0,0,0
E18000003,RCF,AIREDALE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,27,27,0,100.00%,,27,0,0,0,0
E18000008,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,42,41,1,97.62%,,41,0,0,0,1
