62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: February 2016,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41,33,8,80.49%,,8,7,6.5,11.5,0.5,5.5,1,1
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,100.5,74.5,26,74.13%,,15.5,11,23.5,24.5,6.5,7,3.5,9
,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,120.5,102.5,18,85.06%,,47,12,17.5,26,6,7,3,2
,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2,0.5,1.5,25.00%,,0,0,0.5,0,1,0,0,0.5
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,56.5,43.5,13,76.99%,,9.5,7,9.5,17.5,4,4,2,3
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,50.5,38.5,12,76.24%,,5,8,7,18.5,3.5,6,0.5,2
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,85.5,66.5,19,77.78%,,21.5,10,14,21,5.5,3,6,4.5
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48,41.5,6.5,86.46%,,19.5,8,4.5,9.5,2.5,1.5,2,0.5
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,60.5,51,9.5,84.30%,,10,4.5,11.5,25,3,2.5,1.5,2.5
,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,12,9.5,2.5,79.17%,,6.5,0.5,1,1.5,1.5,0.5,0.5,0
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52,34.5,17.5,66.35%,,6,5,10,13.5,4,4,4.5,5
,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,10,5,5,50.00%,,1,0.5,0,3.5,1.5,0.5,1,2
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,79.5,66.5,13,83.65%,,32.5,12,7,15,5,2,3.5,2.5
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,103,76.5,26.5,74.27%,,30,15.5,9,22,8,12.5,1,5
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,77,48,29,62.34%,,17,3.5,8,19.5,7,10.5,4.5,7
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,25.5,22.5,3,88.24%,,6.5,6.5,4.5,5,0,0.5,1,1.5
,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,6,1,5,16.67%,,1,0,0,0,0,4.5,0.5,0
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,51,43.5,7.5,85.29%,,11,4.5,8.5,19.5,1.5,0,1.5,4.5
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45.5,39,6.5,85.71%,,5.5,2,14,17.5,3.5,0,1,2
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,20.5,16,4.5,78.05%,,7,0,3,6,2.5,1,0,1
,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,29.5,3.5,89.39%,,10.5,8,4.5,6.5,0,2.5,0,1
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,51,43.5,7.5,85.29%,,16,6,3.5,18,2,1,1.5,3
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,88.5,67.5,21,76.27%,,15,3,25,24.5,5.5,4,3.5,8
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42,40,2,95.24%,,15,8.5,2.5,14,1,0,0.5,0.5
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,57,47,10,82.46%,,9,10,6,22,2.5,1,5.5,1
,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,31.5,7.5,80.77%,,6,6.5,5,14,3.5,2,2,0
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,87,67.5,19.5,77.59%,,25,8,13,21.5,5,7.5,3.5,3.5
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,11,9,2,81.82%,,1,1,1.5,5.5,1,0,0.5,0.5
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27,22,5,81.48%,,11.5,3.5,2,5,2.5,1.5,0,1
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45,29,16,64.44%,,7.5,8,3.5,10,3,6,2.5,4.5
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,16.5,14.5,2,87.88%,,3,1.5,6.5,3.5,0.5,1.5,0,0
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48,38,10,79.17%,,6.5,7.5,8.5,15.5,4.5,1,1.5,3
,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,42,39,3,92.86%,,22.5,6,3,7.5,2,0.5,0.5,0
,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29.5,26.5,3,89.83%,,8.5,2,5,11,0,2,1,0
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,46.5,40.5,6,87.10%,,15,10,6,9.5,2,2,0,2
,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18.5,17.5,1,94.59%,,3.5,4,7.5,2.5,0.5,0,0.5,0
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,81.5,74.5,7,91.41%,,26,14,17,17.5,2.5,1.5,1,2
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,14,9,5,64.29%,,3,0,1.5,4.5,0,3,0.5,1.5
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2.5,0.5,2,20.00%,,0,0,0,0.5,0.5,0.5,0.5,0.5
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,58.5,55,3.5,94.02%,,22,8,9,16,1.5,1,0.5,0.5
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,16.5,13.5,3,81.82%,,4.5,4,1,4,2,0,0,1
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,93.5,82.5,11,88.24%,,19,13,11.5,39,0.5,4,2,4.5
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,30,23.5,6.5,78.33%,,3.5,3,4,13,2.5,0.5,2.5,1
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,36.5,31.5,5,86.30%,,10,6,8,7.5,3,0.5,0.5,1
,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0,0,0,0
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,19,15,4,78.95%,,4,2.5,3,5.5,1,2.5,0,0.5
,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,70.5,62.5,8,88.65%,,25.5,10.5,10.5,16,4.5,0.5,0.5,2.5
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44,36.5,7.5,82.95%,,3.5,10.5,8,14.5,2.5,2,1,2
,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1.5,1.5,0,100.00%,,0,0,1.5,0,0,0,0,0
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,ALL CANCERS,51.5,38,13.5,73.79%,,14,4,9,11,3.5,3,3.5,3.5
,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,17,15.5,1.5,91.18%,,11,0,1.5,3,0,1,0,0.5
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,76.5,48.5,28,63.40%,,11,6.5,12,19,9.5,7.5,5,6
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,62.5,35.5,27,56.80%,,11,3.5,4,17,3.5,11,6,6.5
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35.5,29,6.5,81.69%,,7,5,6.5,10.5,1.5,3.5,0.5,1
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,71,54.5,16.5,76.76%,,16,6,6,26.5,4,8,2,2.5
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49,36,13,73.47%,,10,8,8,10,5.5,2.5,0.5,4.5
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,64.5,48,16.5,74.42%,,16.5,7,13.5,11,5,5.5,1,5
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,ALL CANCERS,64.5,52.5,12,81.40%,,17,10.5,7.5,17.5,1.5,2,3,5.5
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,ALL CANCERS,110.5,78,32.5,70.59%,,17.5,15.5,19,26,9,7.5,5.5,10.5
,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34,31.5,2.5,92.65%,,8.5,5,5,13,0.5,2,0,0
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ADMITTED,ALL CANCERS,110.5,73.5,37,66.52%,,22,5,12,34.5,14.5,14,4,4.5
,RBK,WALSALL HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,19.5,13.5,6,69.23%,,4,2,3,4.5,0,2,2,2
,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,14,12,2,85.71%,,3,2,4,3,1,0.5,0.5,0
,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,35,29.5,5.5,84.29%,,13,4,7,5.5,0.5,1.5,2,1.5
,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40,34,6,85.00%,,8,4.5,10.5,11,3.5,0,0,2.5
