62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
42583,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30,27,3,90.00%,,9,3,7.5,7.5,1,0.5,0,1.5
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,63.5,42.5,21,66.93%,,8,2,9.5,23,3,10.5,5,2.5
,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29.5,24.5,5,83.05%,,4,0,7.5,13,0.5,2,0.5,2
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24.5,20,4.5,81.63%,,7.5,3,4,5.5,1,1,0.5,2
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,63,42.5,20.5,67.46%,,2,9,14,17.5,9.5,3,4,4
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,63.5,49,14.5,77.17%,,8,10,12,19,4.5,6,2.5,1.5
,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23,18.5,4.5,80.43%,,4,5,4,5.5,0,1,1.5,2
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,126.5,102,24.5,80.63%,,38,12.5,19,32.5,10.5,6,5,3
,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,96.5,84,12.5,87.05%,,34,11.5,14.5,24,2,4.5,3,3
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,38,34.5,3.5,90.79%,,13,6,7.5,8,2,1,0,0.5
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,21,17.5,3.5,83.33%,,5.5,2,2,8,2.5,1,0,0
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52,44.5,7.5,85.58%,,11,10.5,11,12,2.5,2,1.5,1.5
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,51,41.5,9.5,81.37%,,5,6,12,18.5,4,3,1.5,1
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,32.5,28,4.5,86.15%,,9,4.5,4.5,10,1,1,0.5,2
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,60.5,55.5,5,91.74%,,11.5,5,12,27,2,1,0.5,1.5
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32,24.5,7.5,76.56%,,5.5,1.5,5.5,12,2.5,3.5,0,1.5
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,93,64,29,68.82%,,12,8,16,28,5.5,6.5,8,9
,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,131.5,103,28.5,78.33%,,51,11,16.5,24.5,11.5,5.5,2,9.5
,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,4.5,3,1.5,66.67%,,0,0.5,1,1.5,0.5,0.5,0,0.5
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,62.5,53,9.5,84.80%,,6.5,7,8.5,31,2,1.5,1,5
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,57.5,51,6.5,88.70%,,10,8,7,26,2,2.5,0.5,1.5
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,85,55.5,29.5,65.29%,,17,11.5,13.5,13.5,8,8,3.5,10
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,68,64,4,94.12%,,31.5,7,11,14.5,2,0.5,1,0.5
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,106.5,91,15.5,85.45%,,16,15.5,21,38.5,5,3.5,3,4
,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,17.5,13.5,4,77.14%,,7,1,1.5,4,1.5,1.5,1,0
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,50.5,41.5,9,82.18%,,15,3,7.5,16,1.5,2,2,3.5
,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,8.5,7,1.5,82.35%,,2,0,1,4,0.5,1,0,0
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,87.5,75,12.5,85.71%,,29,7,22,17,6,2,2,2.5
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,120,98,22,81.67%,,47,12.5,17.5,21,2,7,4,9
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,102.5,76,26.5,74.15%,,28,7,8,33,7,10,4,5.5
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,38,31.5,6.5,82.89%,,6.5,5,9.5,10.5,1.5,2.5,1,1.5
,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,7.5,4,3.5,53.33%,,0,0,1,3,1,0,0,2.5
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46,31.5,14.5,68.48%,,9.5,5.5,6.5,10,0.5,3,4.5,6.5
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35,30,5,85.71%,,9,3.5,7.5,10,3,1,1,0
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27,21.5,5.5,79.63%,,6,3,6.5,6,1.5,2.5,1,0.5
,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46,42.5,3.5,92.39%,,15,6,7,14.5,3,0,0,0.5
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,44,36.5,7.5,82.95%,,9,3.5,4.5,19.5,2.5,2,1,2
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,105,87.5,17.5,83.33%,,16.5,15,15.5,40.5,7,5.5,3.5,1.5
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37.5,30.5,7,81.33%,,10,3.5,8.5,8.5,3,1.5,1,1.5
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,76,63,13,82.89%,,14,6,19,24,3,3.5,3.5,3
,R1C,SOLENT NHS TRUST,ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0,0,0,0.5
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,89,73.5,15.5,82.58%,,21,14.5,14,24,7,3.5,2.5,2.5
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,12.5,9.5,3,76.00%,,1,1,2,5.5,1.5,1,0,0.5
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31.5,28,3.5,88.89%,,3.5,4,2.5,18,0,1,0.5,2
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40,24,16,60.00%,,3,4,6.5,10.5,2.5,5,3,5.5
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,26,23,3,88.46%,,6,3.5,3.5,10,1,1.5,0.5,0
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46.5,39.5,7,84.95%,,5.5,6,10.5,17.5,3,1.5,0,2.5
,RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,56,52,4,92.86%,,12.5,6.5,17,16,0,1.5,0,2.5
,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22.5,20,2.5,88.89%,,6,4,4,6,0.5,0.5,1,0.5
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,51.5,45,6.5,87.38%,,12,6,8.5,18.5,1.5,2.5,1.5,1
,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,16.5,15.5,1,93.94%,,4.5,1.5,4.5,5,0,0,0,1
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,70,59.5,10.5,85.00%,,12,8,21.5,18,3.5,4,2,1
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18,10,8,55.56%,,0,0.5,3,6.5,2,2,2,2
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0,0.5,0,0,0,0
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,54,40,14,74.07%,,15,5,7,13,5,3,2.5,3.5
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22,19,3,86.36%,,6,1,4,8,1,1,0,1
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,110.5,94.5,16,85.52%,,14,10,22.5,48,7,2.5,3,3.5
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,24,20.5,3.5,85.42%,,2.5,1,8.5,8.5,0,1.5,1,1
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,40,31.5,8.5,78.75%,,9,9.5,4,9,2.5,1,2,3
,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1.5,1.5,0,100.00%,,0,0,1,0.5,0,0,0,0
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27,23,4,85.19%,,8.5,2.5,6.5,5.5,2,1.5,0.5,0
,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,73.5,64.5,9,87.76%,,22,9,11,22.5,3,3,1.5,1.5
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44,32.5,11.5,73.86%,,3.5,7,10.5,11.5,3.5,3.5,1.5,3
,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,3.5,3.5,0,100.00%,,1,0.5,2,0,0,0,0,0
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,ALL CANCERS,43,31.5,11.5,73.26%,,7,4,5,15.5,5.5,1,2.5,2.5
,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,22,20,2,90.91%,,10.5,2,3,4.5,0,1,0,1
,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56.5,50,6.5,88.50%,,9,11.5,9,20.5,2,2,2.5,0
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,66,45,21,68.18%,,5,4,10,26,5.5,6,3,6.5
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,55.5,41.5,14,74.77%,,11.5,3.5,6,20.5,3.5,2.5,2,6
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,36.5,2.5,93.59%,,9.5,7.5,7,12.5,0,1.5,0.5,0.5
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,74.5,62,12.5,83.22%,,12.5,7,13.5,29,6,2.5,1,3
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42,27.5,14.5,65.48%,,9,3,6.5,9,8,1.5,2.5,2.5
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,85,75,10,88.24%,,15.5,14,18.5,27,3.5,2,4,0.5
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,ALL CANCERS,51.5,42,9.5,81.55%,,4.5,8,9.5,20,2.5,1.5,1.5,4
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,ALL CANCERS,125.5,95.5,30,76.10%,,31.5,12.5,19,32.5,4.5,13.5,6,6
,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49,43,6,87.76%,,9,3.5,8,22.5,2.5,2.5,1,0
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ADMITTED,ALL CANCERS,109,82.5,26.5,75.69%,,20.5,7.5,14.5,40,4,11.5,5,6
,RBK,WALSALL HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,27,24,3,88.89%,,8,5,1.5,9.5,1,1.5,0.5,0
,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,20.5,18.5,2,90.24%,,2.5,1,2.5,12.5,0.5,0.5,0.5,0.5
